period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,247500.0,175950.0,88.37663629760138,133.48951360999553,4.0,2.0,2.0,13.0,3.3,104.0,,0.0,,0.0,0.39,0.0,AK,Fairbanks,Multi-Family (2-4 Unit)
2019-02-28,344950.0,239900.0,104.64305564212845,131.2117235345582,4.0,3.0,3.0,11.0,2.8,75.0,,0.0,,0.0,1.69,0.1840579142404919,AK,Fairbanks,Multi-Family (2-4 Unit)
2019-03-31,,,116.3028604985297,,,,,,,,,,,,3.22,0.11142454494330645,AK,Fairbanks,Multi-Family (2-4 Unit)
2019-04-30,,,116.3028604985297,,,,,,,,,,,,3.25,0.0,AK,Fairbanks,Multi-Family (2-4 Unit)
2019-05-31,230000.0,236200.0,81.50319829424308,135.0730275955293,3.0,2.0,6.0,21.0,7.0,43.0,,0.0,,0.0,1.95,-0.2992158753027967,AK,Fairbanks,Multi-Family (2-4 Unit)
2019-06-30,176875.0,236750.0,83.14419309522572,139.79580812445982,4.0,2.0,2.0,20.0,5.0,80.0,0.9696880517951736,0.0,,0.0,0.42,0.020134115412972164,AK,Fairbanks,Multi-Family (2-4 Unit)
2019-07-31,258950.0,225000.0,128.90824824669966,129.782707253886,4.0,2.0,4.0,20.0,5.0,93.0,0.9774436090225564,0.0,,0.0,0.0,0.5504179359713071,AK,Fairbanks,Multi-Family (2-4 Unit)
2019-08-31,245000.0,252400.0,87.5625446747677,140.3864364801865,3.0,3.0,8.0,24.0,8.0,56.0,,0.0,,0.3333333333333333,0.17,-0.3207374557817755,AK,Fairbanks,Multi-Family (2-4 Unit)
2019-09-30,199900.0,210000.0,92.20479704797047,136.08794541319182,7.0,2.0,3.0,17.0,2.4,155.0,1.0,0.0,,0.0,1.42,0.05301641689886272,AK,Fairbanks,Multi-Family (2-4 Unit)
2019-10-31,247450.0,,74.3975793476671,,4.0,1.0,,14.0,3.5,106.0,,0.0,,0.0,2.55,-0.19312680327292497,AK,Fairbanks,Multi-Family (2-4 Unit)
2019-11-30,250000.0,233000.0,121.42857142857144,103.88349514563107,5.0,2.0,4.0,14.0,2.8,105.0,0.9821428571428572,0.0,,0.0,3.8,0.632157557991557,AK,Fairbanks,Multi-Family (2-4 Unit)
2019-12-31,254850.0,226900.0,102.49770495031892,124.11347517730496,4.0,,4.0,15.0,3.8,144.0,,0.0,,,3.76,-0.1559012533503149,AK,Fairbanks,Multi-Family (2-4 Unit)
2020-01-31,362950.0,180500.0,73.32607056063017,120.09803921568628,3.0,1.0,2.0,13.0,4.3,225.0,,0.0,,0.0,3.18,-0.2846076836923165,AK,Fairbanks,Multi-Family (2-4 Unit)
2020-02-29,278950.0,215000.0,132.33506944444446,123.28042328042328,3.0,1.0,5.0,14.0,4.7,101.0,,0.0,,0.0,3.31,0.8047478670634927,AK,Fairbanks,Multi-Family (2-4 Unit)
2020-03-31,207450.0,245000.0,106.34114360233784,127.58996728462375,4.0,3.0,3.0,13.0,3.3,75.0,0.9595959595959596,0.0,,0.0,5.16,-0.19642507425455447,AK,Fairbanks,Multi-Family (2-4 Unit)
2020-04-30,223235.0,268850.0,73.91887417218543,140.4471092757306,1.0,,4.0,16.0,16.0,122.0,,0.0,,,6.28,-0.30488923037535987,AK,Fairbanks,Multi-Family (2-4 Unit)
2020-05-31,264900.0,207400.0,88.7423935091278,135.55414944903583,7.0,3.0,5.0,14.0,2.0,93.0,,0.0,,0.0,6.71,0.20053767732463967,AK,Fairbanks,Multi-Family (2-4 Unit)
2020-06-30,339250.0,230450.0,114.58516554578377,123.74727668845316,4.0,3.0,7.0,17.0,4.3,70.0,,0.0,,0.0,5.66,0.29121112260734616,AK,Fairbanks,Multi-Family (2-4 Unit)
2020-07-31,139000.0,218500.0,106.06060606060606,129.62962962962962,5.0,4.0,9.0,21.0,4.2,42.0,,0.0,0.0476190476190476,0.25,6.25,-0.07439496591530104,AK,Fairbanks,Multi-Family (2-4 Unit)
2020-08-31,287000.0,262450.0,106.4307585146058,136.6226965159804,4.0,2.0,3.0,19.0,4.8,68.0,0.9661016949152542,0.0,,0.0,6.22,0.0034900088519975725,AK,Fairbanks,Multi-Family (2-4 Unit)
2020-09-30,218500.0,261950.0,117.88617886178862,135.69707104489714,5.0,4.0,6.0,20.0,4.0,59.0,,0.0,0.05,0.0,5.64,0.10763261022527404,AK,Fairbanks,Multi-Family (2-4 Unit)
2020-10-31,221000.0,228950.0,105.1152784467746,141.35037984162477,8.0,2.0,7.0,21.0,2.6,110.0,1.0,0.0,,0.5,6.79,-0.10833246558942933,AK,Fairbanks,Multi-Family (2-4 Unit)
2020-11-30,365000.0,200000.0,134.01697312588402,142.80612244897958,3.0,3.0,2.0,19.0,6.3,88.0,,0.0,,0.0,6.84,0.274952367592727,AK,Fairbanks,Multi-Family (2-4 Unit)
2020-12-31,241000.0,189000.0,120.76814375054668,133.55614973262033,4.0,4.0,1.0,14.0,3.5,80.0,,0.0,0.0714285714285714,0.0,9.85,-0.0988593389800897,AK,Fairbanks,Multi-Family (2-4 Unit)
2021-01-31,273450.0,184900.0,133.57510941691373,144.50867052023122,4.0,3.0,3.0,12.0,3.0,95.0,,0.0,,0.3333333333333333,9.89,0.10604589313569757,AK,Fairbanks,Multi-Family (2-4 Unit)
2021-02-28,212400.0,259900.0,107.48987854251013,147.45413265576803,1.0,,6.0,18.0,18.0,13.0,,0.0,0.0555555555555555,,11.77,-0.1952851170272042,AK,Fairbanks,Multi-Family (2-4 Unit)
2021-03-31,265950.0,263900.0,113.86428336156597,147.4250936329588,8.0,2.0,7.0,16.0,2.0,145.0,0.8161689301760688,0.125,,0.5,10.19,0.05930237251626336,AK,Fairbanks,Multi-Family (2-4 Unit)
2021-04-30,280000.0,280000.0,145.83333333333334,136.577868852459,3.0,3.0,9.0,21.0,7.0,60.0,1.0,0.0,,0.3333333333333333,10.25,0.2807645121714988,AK,Fairbanks,Multi-Family (2-4 Unit)
2021-05-31,374500.0,251500.0,106.57894736842104,154.88113108446618,7.0,3.0,8.0,24.0,3.4,79.0,0.968253968253968,0.0,,0.0,8.89,-0.2691729323308272,AK,Fairbanks,Multi-Family (2-4 Unit)
2021-06-30,299900.0,259900.0,134.39207650273224,156.72404620763035,9.0,6.0,8.0,22.0,2.4,66.0,,0.0,,0.0,9.25,0.26096269311205567,AK,Fairbanks,Multi-Family (2-4 Unit)
2021-07-31,283000.0,274450.0,94.50280112044818,165.8380077369439,9.0,3.0,13.0,28.0,3.1,100.0,0.9926654966654966,0.0,,0.0,8.97,-0.29681270220921907,AK,Fairbanks,Multi-Family (2-4 Unit)
2021-08-31,273925.0,249000.0,101.48455220962066,151.42738932561025,8.0,1.0,7.0,29.0,3.6,104.0,,0.0,,0.0,9.2,0.07387877402992449,AK,Fairbanks,Multi-Family (2-4 Unit)
2021-09-30,239900.0,247900.0,156.18489583333334,142.55555555555554,3.0,3.0,6.0,31.0,10.3,80.0,,0.0,0.032258064516129,0.3333333333333333,8.71,0.5390016749615922,AK,Fairbanks,Multi-Family (2-4 Unit)
2021-10-31,305900.0,249950.0,126.61637931034484,143.3492703533026,7.0,3.0,3.0,26.0,3.7,109.0,,0.0,,0.3333333333333333,9.19,-0.18931738799212317,AK,Fairbanks,Multi-Family (2-4 Unit)
2021-11-30,297925.0,218325.0,127.75999712313003,146.24172199204645,14.0,2.0,1.0,13.0,0.9,118.0,,0.0,,0.0,9.97,0.009032147491614184,AK,Fairbanks,Multi-Family (2-4 Unit)
2021-12-31,285000.0,229900.0,164.93055555555554,151.18295019157088,3.0,3.0,1.0,10.0,3.3,89.0,,0.0,,0.0,11.88,0.29094050774439206,AK,Fairbanks,Multi-Family (2-4 Unit)
2022-01-31,267975.0,253950.0,115.1780675167224,159.02061855670104,2.0,2.0,4.0,10.0,5.0,262.0,,0.0,,0.5,10.55,-0.3016571906354515,AK,Fairbanks,Multi-Family (2-4 Unit)
2022-02-28,247900.0,247250.0,99.95,163.53407031339194,5.0,1.0,6.0,12.0,2.4,162.0,1.0,0.0,,0.0,8.87,-0.1322132576543834,AK,Fairbanks,Multi-Family (2-4 Unit)
2022-03-31,341750.0,304950.0,126.85191100888775,163.41346153846155,4.0,4.0,4.0,11.0,2.8,128.0,,0.0,,0.75,6.65,0.26915368693234365,AK,Fairbanks,Multi-Family (2-4 Unit)
2022-04-30,209950.0,275000.0,111.51685393258428,164.71354166666666,7.0,4.0,6.0,11.0,1.6,81.0,,0.0,,0.0,7.13,-0.12088944466299001,AK,Fairbanks,Multi-Family (2-4 Unit)
2022-05-31,270000.0,280000.0,113.12217194570135,164.79837695434026,7.0,3.0,6.0,12.0,1.7,81.0,0.9193548387096772,0.0,,0.0,8.12,0.014395295029462796,AK,Fairbanks,Multi-Family (2-4 Unit)
2022-06-30,389750.0,279450.0,157.0113358626018,154.28645633166795,4.0,3.0,10.0,19.0,4.8,73.0,0.875,0.0,,0.0,9.77,0.3879802090254001,AK,Fairbanks,Multi-Family (2-4 Unit)
2022-07-31,329850.0,307000.0,145.6709956709957,168.7007874015748,6.0,5.0,5.0,18.0,3.0,74.0,,0.0,,0.2,9.48,-0.07222625124041915,AK,Fairbanks,Multi-Family (2-4 Unit)
2022-08-31,310000.0,299900.0,140.65335753176043,156.3588850174216,9.0,8.0,10.0,18.0,2.0,61.0,0.9850550249169436,0.1111111111111111,,0.25,10.55,-0.03444500475968337,AK,Fairbanks,Multi-Family (2-4 Unit)
2022-09-30,367500.0,304895.0,113.04810245027636,182.84238971989865,8.0,2.0,4.0,16.0,2.0,92.0,0.9627406851712929,0.0,,0.0,10.9,-0.19626445870835774,AK,Fairbanks,Multi-Family (2-4 Unit)
2022-10-31,267500.0,214950.0,132.36235595390525,153.98056014750762,4.0,3.0,3.0,15.0,3.8,76.0,,0.0,0.0666666666666666,0.3333333333333333,11.02,0.17084986908227107,AK,Fairbanks,Multi-Family (2-4 Unit)
2022-11-30,279900.0,227450.0,134.20823277017968,143.43682212581345,6.0,1.0,2.0,13.0,2.2,100.0,,0.0,,0.0,9.89,0.013945632827185861,AK,Fairbanks,Multi-Family (2-4 Unit)
2022-12-31,324950.0,275500.0,126.51064213564214,141.41414141414143,4.0,2.0,2.0,11.0,2.8,110.0,,0.0,,0.5,9.64,-0.0573555770436156,AK,Fairbanks,Multi-Family (2-4 Unit)
2023-01-31,413000.0,274900.0,119.09747292418773,139.35340022296543,3.0,2.0,3.0,10.0,3.3,60.0,,0.0,,0.0,8.63,-0.05859719851477918,AK,Fairbanks,Multi-Family (2-4 Unit)
2023-02-28,311950.0,299000.0,183.2113515707265,147.61604091130636,2.0,,2.0,10.0,5.0,113.0,,0.0,,,9.86,0.538331142318619,AK,Fairbanks,Multi-Family (2-4 Unit)
2023-03-31,962000.0,270000.0,158.5699444058725,158.33333333333334,2.0,6.0,5.0,8.0,4.0,45.0,,0.0,,0.5,8.07,-0.13449716381433652,AK,Fairbanks,Multi-Family (2-4 Unit)
