period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,3.81
2019-02-28,-0.3285804654617583,4.24
2019-03-31,0.2406346808544091,3.77
2019-04-30,-0.235256271100419,5.7
2019-05-31,0.1730878099536894,5.88
2019-06-30,0.6454629474023619,4.86
2019-07-31,-0.3582323781475577,4.32
2019-08-31,0.066437678478707,3.62
2019-09-30,-0.1441458435583348,6.24
2019-10-31,-0.0552213604074373,4.15
2019-11-30,-0.1528171426455391,3.31
2019-12-31,0.2695136116116496,4.05
2020-01-31,0.84947690147599,4.23
2020-02-29,-0.5491183486540566,3.92
2020-03-31,0.2064675732997276,4.25
2020-04-30,-0.1787340090246971,8.18
2020-05-31,0.1222704564493408,6.84
2020-06-30,-0.0337195376065384,6.5
2020-07-31,-0.0038500758656798,5.32
2020-08-31,0.0391354499747669,6.67
2020-09-30,0.2278932080906401,7.56
2020-10-31,-0.0744249877410542,7.03
2020-11-30,0.1417208993944443,6.12
2020-12-31,-0.1833472810325052,7.13
2021-01-31,-0.0855166120913359,7.05
2021-02-28,0.1242320968230206,8.36
2021-03-31,0.0593953502769504,8.5
2021-04-30,-0.0372464755551187,7.9
2021-05-31,0.1123319101712159,8.04
2021-06-30,-0.0493918778561148,8.93
2021-07-31,0.1867734819949364,9.06
2021-08-31,-0.1469245416267172,9.55
2021-09-30,-0.0054315786264337,7.27
2021-10-31,0.0010781704345741,9.95
2021-11-30,0.011230588134653,8.65
2021-12-31,-0.0173594525980115,8.09
2022-01-31,-0.0327548311372918,8.43
2022-02-28,0.1553361287290655,7.93
2022-03-31,0.0017294548466495,9.23
2022-04-30,-0.069342652175274,10.24
2022-05-31,0.0692365530511014,10.66
2022-06-30,-0.0763108788208896,10.2
2022-07-31,0.0531813923553303,10.31
2022-08-31,0.110498936236999,9.16
2022-09-30,-0.0840326037736602,10.09
2022-10-31,0.2989707694239425,11.24
2022-11-30,-0.3027057470774947,10.72
2022-12-31,0.0851382260255373,9.52
2023-01-31,0.4707515374061433,9.64
2023-02-28,-0.2147539800853277,10.1
2023-03-31,-0.2031976969221758,9.22
2023-04-30,0.2279495185203039,11.97
2023-05-31,-0.0967073231369433,10.25
2023-06-30,0.4982495670876856,9.23
2023-07-31,-0.0830781445722218,9.62
2023-08-31,-0.1312217689692439,10.53
2023-09-30,-0.1219758029772331,9.06
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
