period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,2.04
2019-02-28,-0.0393496359219883,2.09
2019-03-31,0.0105683205049789,2.07
2019-04-30,0.2131468476486837,2.45
2019-05-31,-0.0819975858415686,4.39
2019-06-30,-0.0590721645560446,3.46
2019-07-31,-0.0867978651701609,3.24
2019-08-31,0.2504325421182463,2.6
2019-09-30,0.2897696241820215,3.99
2019-10-31,0.0501900664312882,4.84
2019-11-30,-0.1834868836700667,3.52
2019-12-31,-0.1206375885468565,3.34
2020-01-31,0.0457431560102008,3.15
2020-02-29,-0.0147715871149909,2.63
2020-03-31,-0.105207992837532,3.75
2020-04-30,-0.1146722822348249,4.8
2020-05-31,0.1484323392593074,4.19
2020-06-30,0.1126247620408724,4.34
2020-07-31,-0.0424327438224546,5.02
2020-08-31,-0.0719770008429937,4.99
2020-09-30,0.6107019331460575,6.28
2020-10-31,-0.2594552831400638,5.7
2020-11-30,0.0978044062327883,6.49
2020-12-31,0.0063429885484529,6.29
2021-01-31,-0.1320999203099874,6.69
2021-02-28,0.2150964535494171,8.04
2021-03-31,-0.2130153137905738,7.04
2021-04-30,0.2997880739316758,6.34
2021-05-31,-0.1033002436933607,6.3
2021-06-30,-0.0363898018756426,7.13
2021-07-31,0.1236392757650064,9.03
2021-08-31,-0.1247381851378311,9.06
2021-09-30,0.1360758764017666,8.33
2021-10-31,-0.0620334128086021,9.09
2021-11-30,-0.0110655092605153,9.79
2021-12-31,0.2609206168106817,8.75
2022-01-31,-0.1913876344734222,9.78
2022-02-28,0.0506295660072262,11.02
2022-03-31,0.0386589252697313,12.12
2022-04-30,-0.0782039551018831,12.37
2022-05-31,0.051231873637122,11.55
2022-06-30,-0.0770921276251361,15.55
2022-07-31,0.0657761431001033,12.46
2022-08-31,-0.0023377278099383,9.35
2022-09-30,0.265281272911104,12.18
2022-10-31,-0.0430198454767081,11.18
2022-11-30,0.0551631398149197,10.67
2022-12-31,-0.1838302836330564,10.2
2023-01-31,0.256416246253347,11.38
2023-02-28,-0.1792126064441447,10.55
2023-03-31,-0.0627463459815736,9.87
2023-04-30,-0.002910430917009,10.83
2023-05-31,-0.0529664385538797,10.34
2023-06-30,0.1275726334351861,10.26
2023-07-31,-0.0047985058250206,9.93
2023-08-31,-0.1982850163880841,9.95
2023-09-30,0.4881811262939095,9.44
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
