period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,1.4
2019-02-28,-0.1122894870362973,2.36
2019-03-31,-0.018301355141199,2.47
2019-04-30,0.0353346606213895,3.17
2019-05-31,0.0204604987780345,3.73
2019-06-30,0.0017476823384625,3.63
2019-07-31,-0.0452973281020537,3.8
2019-08-31,0.0171714965292946,3.47
2019-09-30,0.0691983122362871,3.79
2019-10-31,-0.1229281767955802,5.16
2019-11-30,0.1410994887043326,5.02
2019-12-31,0.0496125912510967,5.09
2020-01-31,-0.0168394426884108,4.12
2020-02-29,-0.129140719317767,4.18
2020-03-31,0.1324830736535662,4.7
2020-04-30,-0.0241866596359929,4.81
2020-05-31,-0.0380180754301604,4.8
2020-06-30,0.0637579019537777,3.91
2020-07-31,0.0627665633185661,3.59
2020-08-31,-0.0607956586315783,4.37
2020-09-30,0.0730582114717546,5.06
2020-10-31,-0.0347443630138817,5.56
2020-11-30,-0.0147974621766715,5.85
2020-12-31,-0.0552567957376315,6.17
2021-01-31,0.1836475156154726,6.97
2021-02-28,-0.043842527496782,7.76
2021-03-31,-0.0288308270354651,7.94
2021-04-30,0.0343198501120913,7.38
2021-05-31,-0.0269738742874607,6.14
2021-06-30,0.0828600911514316,6.15
2021-07-31,0.0478791380870686,6.57
2021-08-31,-0.0561461155139173,7.61
2021-09-30,-0.0722573464224008,7.75
2021-10-31,0.0487394957983196,8.08
2021-11-30,0.1520146520146519,7.56
2021-12-31,-0.0560520429420904,7.3
2022-01-31,-0.0360214454870874,6.5
2022-02-28,0.0577918807239663,6.83
2022-03-31,-0.056860478231446,7.08
2022-04-30,0.0894423812898652,6.79
2022-05-31,0.0149666759880686,5.45
2022-06-30,0.0311635948756134,3.98
2022-07-31,0.0273094140323151,3.63
2022-08-31,-0.0882713695218948,3.39
2022-09-30,-0.0299984961275285,3.97
2022-10-31,0.0307632258093408,4.4
2022-11-30,-0.0012883030967218,4.66
2022-12-31,0.1007508113848132,4.72
2023-01-31,-0.0946652891174106,4.39
2023-02-28,0.0497286783754715,4.13
2023-03-31,0.0438706018206818,4.04
2023-04-30,-0.138664920374376,3.99
2023-05-31,0.2349501471765709,4.34
2023-06-30,-0.0581504114449963,4.28
2023-07-31,0.0476284416594094,4.61
2023-08-31,-0.024225490064809,4.64
2023-09-30,0.0196054474160578,4.7
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
