period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,5.73
2019-02-28,0.5077595769657417,5.24
2019-03-31,0.1630359442921487,4.92
2019-04-30,-0.5701477202643668,5.48
2019-05-31,-0.0595847320323558,5.88
2019-06-30,-0.2076438945533457,5.27
2019-07-31,0.3177947011396917,4.7
2019-08-31,0.8216135204576673,4.77
2019-09-30,0.878663122655261,6.13
2019-10-31,-0.2200896995275051,5.3
2019-11-30,8.54439494495033,5.31
2019-12-31,-0.9478404348185064,5.26
2020-01-31,0.8627763041556142,4.98
2020-02-29,-0.6940663583839735,5.46
2020-03-31,0.4722463632330984,6.18
2020-04-30,0.5764907988722441,14.92
2020-05-31,0.839777927779882,10.95
2020-06-30,-0.6640568216664018,11.87
2020-07-31,-0.3261286638659522,13.01
2020-08-31,0.3294466970034566,12.29
2020-09-30,1.43570995471213,13.06
2020-10-31,-0.530987990613697,13.63
2020-11-30,-0.1281842068794737,13.02
2020-12-31,4.679272958401563,13.34
2021-01-31,-0.5099265296367836,13.1
2021-02-28,-0.3174323925434698,13.42
2021-03-31,0.0646286575218781,14.21
2021-04-30,0.1810710920579972,13.27
2021-05-31,0.3030658171225373,13.03
2021-06-30,-0.9178425957485896,13.81
2021-07-31,7.621912041652818,13.85
2021-08-31,0.219641108585417,15.95
2021-09-30,-0.3896614867445713,14.81
2021-10-31,0.7963042457067413,16.0
2021-11-30,-0.3302540625498527,15.51
2021-12-31,0.0676729662036945,14.1
2022-01-31,-0.2625032135692037,18.2
2022-02-28,0.5195004899770614,18.05
2022-03-31,-0.1780402051002593,15.72
2022-04-30,0.2848955013386551,19.28
2022-05-31,0.0208320145455096,19.51
2022-06-30,0.3765488615338592,20.3
2022-07-31,-0.3144746225440528,19.23
2022-08-31,-0.4661356886738486,17.06
2022-09-30,3.1830448747151445,18.18
2022-10-31,-0.4250099862876378,20.95
2022-11-30,1.1450617541020338,18.6
2022-12-31,-0.7855958117494466,18.02
2023-01-31,4.455842818285352,17.65
2023-02-28,-0.5041380985429458,17.93
2023-03-31,-0.2721869123523536,15.8
2023-04-30,-0.6513398799732875,15.73
2023-05-31,1.642515556981806,14.71
2023-06-30,-0.3659486736586165,14.98
2023-07-31,0.7957003591212182,13.75
2023-08-31,0.0438655013676694,14.35
2023-09-30,0.3307948680494694,15.49
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
