period_begin,asset_value_momentum,occupancy,rank_desirability,remote_work_share
2019-01-31,0.0613098,0.82870924,15.0,5.73
2019-02-28,0.0613098,0.83852244,15.0,5.24
2019-03-31,0.0613098,0.83852244,15.0,4.92
2019-04-30,0.05843086,0.83852244,15.0,5.48
2019-05-31,0.05843086,0.83852244,15.0,5.88
2019-06-30,0.05563989,0.83852244,15.0,5.27
2019-07-31,0.05563989,0.83852244,15.0,4.7
2019-08-31,0.04558833,0.85707657,11.0,4.77
2019-09-30,0.04558833,0.85707657,11.0,6.13
2019-10-31,0.04412706,0.85684229,11.0,5.3
2019-11-30,0.04412706,0.85684229,11.0,5.31
2019-12-31,0.04412706,0.85684229,11.0,5.26
2020-01-31,0.04292239,0.85684229,11.0,4.98
2020-02-29,0.04904693,0.85758037,11.0,5.46
2020-03-31,0.04904693,0.85758037,11.0,6.18
2020-04-30,0.04506683,0.86480994,11.0,14.92
2020-05-31,-0.05906298,0.86480994,11.0,10.95
2020-06-30,-0.05906298,0.86480994,11.0,11.87
2020-07-31,-0.04272332,0.8657695,11.0,13.01
2020-08-31,-0.04114091,0.86577131,7.0,12.29
2020-09-30,-0.04962108,0.86577131,7.0,13.06
2020-10-31,-0.04962108,0.86577131,7.0,13.63
2020-11-30,-0.04962108,0.86577131,7.0,13.02
2020-12-31,-0.04962108,0.86577131,7.0,13.34
2021-01-31,-0.05927064,0.866,7.0,13.1
2021-02-28,-0.01875647,0.84351051,6.0,13.42
2021-03-31,-0.01875647,0.84351051,6.0,14.21
2021-04-30,-0.01525191,0.842,6.0,13.27
2021-05-31,-0.01525191,0.842,6.0,13.03
2021-06-30,-0.01525191,0.842,6.0,13.81
2021-07-31,0.06707196,0.843,6.0,13.85
2021-08-31,0.06726676,0.843,6.0,15.95
2021-09-30,0.06726676,0.843,6.0,14.81
2021-10-31,0.10084298,0.843,6.0,16.0
2021-11-30,0.10084298,0.843,6.0,15.51
2021-12-31,0.10084298,0.843,6.0,14.1
2022-01-31,0.08756414,0.843,6.0,18.2
2022-02-28,0.08744081,0.8357514,6.0,18.05
2022-03-31,0.08744081,0.8357514,6.0,15.72
2022-04-30,0.10400772,0.834,6.0,19.28
2022-05-31,0.10400772,0.834,6.0,19.51
2022-06-30,0.10400772,0.834,6.0,20.3
2022-07-31,0.07599243,0.834,6.0,19.23
2022-08-31,0.01855356,0.834,4.0,17.06
2022-09-30,-0.01878129,0.834,4.0,18.18
2022-10-31,-0.01878129,0.834,4.0,20.95
2022-11-30,-0.13245254,0.834,4.0,18.6
2022-12-31,-0.13245254,0.834,4.0,18.02
2023-01-31,-0.13920923,0.834,4.0,17.65
2023-02-28,-0.20445762,0.79937164,10.0,17.93
2023-03-31,-0.20445762,0.79937164,10.0,15.8
2023-04-30,-0.29999664,0.824,10.0,15.73
2023-05-31,-0.29999664,0.824,10.0,14.71
2023-06-30,-0.29825855,0.824,10.0,14.98
2023-07-31,-0.29825855,0.824,10.0,13.75
2023-08-31,-0.35321643,0.824,2.0,14.35
2023-09-30,,,,
2023-10-31,,,,
2023-11-30,,,,
2023-12-31,,,,
2024-01-31,,,,
2024-02-29,,,,
2024-03-31,,,,
2024-04-30,,,,
2024-05-31,,,,
2024-06-30,,,,
2024-07-31,,,,
2024-08-31,,,,
2024-09-30,,,,
2024-10-31,,,,
2024-11-30,,,,
2024-12-31,,,,
2025-01-31,,,,
2025-02-28,,,,
2025-03-31,,,,
2025-04-30,,,,
2025-05-31,,,,
2025-06-30,,,,
2025-07-31,,,,
2025-08-31,,,,
2025-09-30,,,,
2025-10-31,,,,
2025-11-30,,,,
2025-12-31,,,,
