period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,5.73
2019-02-28,-0.1520059301138467,5.24
2019-03-31,0.147244556360562,4.92
2019-04-30,0.2027385262370182,5.48
2019-05-31,-0.0132044982402936,5.88
2019-06-30,-0.2072518054576875,5.27
2019-07-31,0.2933569726061571,4.7
2019-08-31,-0.2278460311668938,4.77
2019-09-30,-0.0457617199880825,6.13
2019-10-31,0.0581181601715918,5.3
2019-11-30,0.1154215624813346,5.31
2019-12-31,-0.1600340142650496,5.26
2020-01-31,0.1233900226802209,4.98
2020-02-29,-0.0036714680391489,5.46
2020-03-31,-0.1183972712713435,6.18
2020-04-30,0.2962804495395248,14.92
2020-05-31,-0.1021354702907697,10.95
2020-06-30,-0.1353482967417818,11.87
2020-07-31,0.2740081579499362,13.01
2020-08-31,0.0333823642622457,12.29
2020-09-30,-0.1517932363430998,13.06
2020-10-31,0.090907784099893,13.63
2020-11-30,0.0314723387277866,13.02
2020-12-31,0.042199263980811,13.34
2021-01-31,-0.0982623786715856,13.1
2021-02-28,0.0282462759747057,13.42
2021-03-31,0.1662050252132667,14.21
2021-04-30,0.054716769481838,13.27
2021-05-31,0.089907073899333,13.03
2021-06-30,-0.0958269279947658,13.81
2021-07-31,-0.0046955975894474,13.85
2021-08-31,0.0576875143115245,15.95
2021-09-30,-0.0573431978506987,14.81
2021-10-31,0.1090254139161015,16.0
2021-11-30,-0.0996405173479785,15.51
2021-12-31,0.0466349645226902,14.1
2022-01-31,-0.0985231198289766,18.2
2022-02-28,0.0322612580333505,18.05
2022-03-31,0.0757040376740283,15.72
2022-04-30,0.2093361322135289,19.28
2022-05-31,0.0231736493491343,19.51
2022-06-30,-0.1701550840284317,20.3
2022-07-31,0.130880058431396,19.23
2022-08-31,-0.021553336499988,17.06
2022-09-30,0.0688709329640799,18.18
2022-10-31,-0.1542101274575124,20.95
2022-11-30,-0.0322213332474469,18.6
2022-12-31,0.1668881740022221,18.02
2023-01-31,-0.1708888485010681,17.65
2023-02-28,-0.167765348316393,17.93
2023-03-31,0.4048241139921267,15.8
2023-04-30,0.0240195987568225,15.73
2023-05-31,-0.0627465988143071,14.71
2023-06-30,0.0328336699151241,14.98
2023-07-31,-0.0736256608718078,13.75
2023-08-31,0.0400846042215612,14.35
2023-09-30,-0.1117005639652495,15.49
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
