period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,240000.0,449000.0,174.41860465116278,197.4442379182156,5.0,2.0,3.0,19.0,3.8,119.0,0.98126791859871,0.2,,0.0,0.11,0.0,AZ,Prescott,Condo
2019-02-28,254500.0,421000.0,151.6506442474137,205.3875968992248,1.5,1.0,3.0,11.0,6.0,139.0,0.8507960602385267,0.0,,0.0,0.11,-0.13053630631482804,AZ,Prescott,Condo
2019-03-31,175000.0,425000.0,171.70880221982426,210.4965430546825,6.0,6.0,8.0,22.0,3.7,66.0,0.9911245003258856,0.1666666666666666,,0.0,0.86,0.1322655638685335,AZ,Prescott,Condo
2019-04-30,187000.0,425000.0,179.24471827494,207.74354704412988,4.0,4.0,9.0,26.0,6.5,36.0,0.995302713987474,0.0,,0.25,1.77,0.04388776788197579,AZ,Prescott,Condo
2019-05-31,250000.0,429000.0,184.5703125,205.2887961029924,7.0,7.0,17.0,36.0,5.1,36.0,0.9903979158395134,0.0,,0.0,2.77,0.029711303497887087,AZ,Prescott,Condo
2019-06-30,297750.0,341450.0,199.1653773235416,159.70990619265825,4.0,7.0,5.0,19.0,3.55,153.0,0.9148966715547536,0.0,,0.0,2.02,0.07907590676881804,AZ,Prescott,Condo
2019-07-31,309900.0,339900.0,221.10967005786657,160.73946280991737,6.0,4.5,5.0,16.5,1.95,179.5,0.9950585459732322,0.0909090909090909,1.0,0.5,1.81,0.11018126257294569,AZ,Prescott,Condo
2019-08-31,204750.0,419900.0,183.5815021637169,203.67208541746828,12.0,8.0,8.0,22.0,1.8,69.0,0.978995192455184,0.0833333333333333,,0.0,1.37,-0.16972648859874917,AZ,Prescott,Condo
2019-09-30,191725.0,484900.0,150.7544192258283,209.0909090909091,4.5,4.0,8.0,11.5,1.9,46.5,0.9729944896123424,0.0,1.0,0.0,1.46,-0.1788147637478944,AZ,Prescott,Condo
2019-10-31,245000.0,407428.0,181.3471502590673,213.8333333333333,7.0,5.0,5.0,20.0,2.9,61.0,0.966907553527548,0.0,,0.0,1.47,0.20293090703637318,AZ,Prescott,Condo
2019-11-30,166150.0,389000.0,151.48264703540838,209.4378094960676,4.0,4.0,3.0,15.0,2.1,113.0,0.98667371345144,0.0,,0.0,1.92,-0.16468140349046212,AZ,Prescott,Condo
2019-12-31,159415.0,444500.0,132.51454696591853,218.1521404110632,5.0,1.0,3.0,13.0,2.6,152.0,0.99050627647456,0.2,,0.0,1.82,-0.12521632306211383,AZ,Prescott,Condo
2020-01-31,175000.0,444000.0,163.0952380952381,210.4747919725893,5.0,3.0,7.0,16.0,3.2,63.0,0.9715714372755117,0.0,,0.0,1.6,0.23077233277026288,AZ,Prescott,Condo
2020-02-29,175250.0,489450.0,183.294478442474,222.34896674156056,6.0,4.0,9.0,18.0,3.0,98.0,0.9759617438577644,0.0,,0.25,1.63,0.12384935687356324,AZ,Prescott,Condo
2020-03-31,239000.0,444000.0,195.36679783319704,217.4839435036189,6.0,3.0,4.0,16.0,2.7,92.0,0.978828416148586,0.0,,0.0,1.63,0.06586297357839865,AZ,Prescott,Condo
2020-04-30,362500.0,450000.0,203.0812324929972,218.1268658481773,1.0,1.0,1.0,16.0,16.0,72.0,0.9931506849315068,0.0,,0.0,1.7,0.0394869278984995,AZ,Prescott,Condo
2020-05-31,243750.0,497250.0,194.7180092328975,224.44029850746267,4.0,2.0,11.0,23.0,5.8,71.0,0.9751002944423997,0.0,,0.0,0.89,-0.04118166488076691,AZ,Prescott,Condo
2020-06-30,185000.0,464900.0,183.10644726953907,223.00143474799304,8.0,7.0,4.0,19.0,2.4,34.0,0.9792292646268954,0.25,,0.0,2.11,-0.05963270685183575,AZ,Prescott,Condo
2020-07-31,235000.0,485000.0,195.3125,234.93083653214373,7.0,4.0,8.0,18.0,2.6,55.0,0.9988045427375972,0.0,,0.0,2.07,0.06666096640766117,AZ,Prescott,Condo
2020-08-31,240000.0,444250.0,197.4047487575925,237.5837384323199,9.0,7.0,14.0,22.0,2.4,35.0,0.9985749790179022,0.3333333333333333,,0.1428571428571428,3.53,0.010712313638873594,AZ,Prescott,Condo
2020-09-30,177000.0,499000.0,147.13216957605985,237.2262773722628,13.0,11.0,6.0,15.0,1.2,39.0,0.9946252711064107,0.2307692307692307,,0.0909090909090909,2.96,-0.254667526986729,AZ,Prescott,Condo
2020-10-31,285000.0,474750.0,198.7299834345665,247.8134110787172,9.0,7.0,12.0,18.0,2.0,48.0,0.9960984187113552,0.2222222222222222,,0.0,2.79,0.35069022639425707,AZ,Prescott,Condo
2020-11-30,289125.0,499511.5,207.84078473393828,246.6958716958717,8.0,5.0,6.0,17.0,2.1,50.0,0.9845413272446636,0.25,,0.0,2.14,0.045845126849575646,AZ,Prescott,Condo
2020-12-31,264500.0,489500.0,209.61059813249224,241.26027931768152,10.0,10.0,2.0,9.0,0.9,46.0,0.984128269053508,0.2999999999999999,,0.0,2.49,0.008515236318124675,AZ,Prescott,Condo
2021-01-31,230000.0,498250.0,227.9792746113989,247.9452508782396,3.0,2.0,7.0,13.0,4.3,56.0,0.9855003940110322,0.0,,0.0,2.93,0.087632384252327,AZ,Prescott,Condo
2021-02-28,295000.0,564900.0,235.69471607679773,250.92967862744783,6.0,5.0,8.0,13.0,2.2,43.0,0.9958224647547838,0.3333333333333333,,0.2,2.91,0.03384273188231757,AZ,Prescott,Condo
2021-03-31,245000.0,491750.0,245.49098196392785,268.80198296701826,7.0,7.0,6.0,12.0,1.7,41.0,1.0132043941300484,0.8571428571428571,,0.0,2.53,0.0415633665878965,AZ,Prescott,Condo
2021-04-30,251000.0,575000.0,242.62868813451777,273.34300330565407,10.0,10.0,4.0,6.0,0.5999999999999999,49.0,1.0436057869925937,0.5999999999999999,,0.1,2.72,-0.011659466292862297,AZ,Prescott,Condo
2021-05-31,165000.0,575000.0,150.48755013100043,274.94653223342493,2.0,3.0,7.0,10.0,3.3,16.0,1.0124539512774806,0.3333333333333333,,0.0,2.9,-0.37976192639030637,AZ,Prescott,Condo
2021-06-30,255000.0,578000.0,245.9711620016964,275.66465413952653,5.0,7.0,6.0,9.0,1.8,35.0,1.027906446551293,0.8,,0.2857142857142857,3.03,0.6344950913718566,AZ,Prescott,Condo
2021-07-31,275000.0,589950.0,235.1855815457196,283.59172553334986,6.0,5.0,10.0,13.0,2.2,16.0,1.01460414402994,0.6666666666666666,,0.2,2.84,-0.04384896330205734,AZ,Prescott,Condo
2021-08-31,299000.0,548962.5,278.97106058807515,278.29747139906755,6.0,9.0,15.0,19.0,3.2,36.0,1.0130239178870688,0.3333333333333333,,0.3333333333333333,3.3,0.1861741640562422,AZ,Prescott,Condo
2021-09-30,412475.0,595000.0,289.9475867522493,283.1468531468532,6.5,5.0,6.0,15.0,1.3,31.5,0.9871499955260784,0.1666666666666666,,0.0,3.26,0.03934646891701066,AZ,Prescott,Condo
2021-10-31,300000.0,609950.0,269.9430199430199,297.9660843544367,13.0,16.0,11.0,6.0,0.5,42.0,1.0096661551555712,0.4615384615384615,,0.375,3.46,-0.06899373446526613,AZ,Prescott,Condo
2021-11-30,258000.0,599000.0,249.7769848349688,312.29050279329607,7.0,6.0,5.0,4.0,0.5999999999999999,8.0,0.9819157966216788,0.1428571428571428,,0.1666666666666666,3.41,-0.07470478441082795,AZ,Prescott,Condo
2021-12-31,271000.0,594000.0,249.98062389537208,299.5859158072193,4.0,3.0,3.0,4.0,1.0,42.0,1.0074770288279442,0.5,0.25,0.3333333333333333,4.28,0.0008152835239716438,AZ,Prescott,Condo
2022-01-31,300000.0,632400.0,251.6778523489933,309.37742227416794,5.0,7.0,6.0,3.0,0.5999999999999999,36.0,0.9773544436322488,0.2,,0.4285714285714285,4.52,0.006789440026086169,AZ,Prescott,Condo
2022-02-28,260500.0,615000.0,247.0028427264585,321.2328767123288,6.0,6.0,8.0,5.0,0.8,12.0,1.0099486500272812,0.6666666666666666,0.2,0.8333333333333333,3.77,-0.0185753715668715,AZ,Prescott,Condo
2022-03-31,343250.0,700000.0,288.3140803062678,327.15376226826606,6.0,6.0,9.0,8.0,1.3,15.0,1.028405421302257,0.6666666666666666,0.25,0.5,4.14,0.16725004912416774,AZ,Prescott,Condo
2022-04-30,300000.0,675000.0,266.8121079901827,321.24297695293944,8.0,11.0,7.0,4.0,0.5,5.0,1.0179561230875305,0.375,,0.6363636363636364,4.35,-0.07457829424509599,AZ,Prescott,Condo
2022-05-31,615000.0,664500.0,355.41120689837123,327.05609706787925,4.5,2.5,7.0,4.5,1.0,33.0,0.9594898745280344,0.125,0.125,0.3333333333333333,5.28,0.33206551072805324,AZ,Prescott,Condo
2022-06-30,482499.5,559285.5,322.7674937003295,250.24865311521705,2.0,4.0,7.5,9.5,3.85,36.0,1.0077758212695744,0.1666666666666666,0.3970588235294117,0.0,4.47,-0.09184773176659033,AZ,Prescott,Condo
2022-07-31,331450.0,639000.0,296.69601988893794,320.82075590155694,8.0,10.0,8.0,15.0,1.9,34.0,0.9991646929027318,0.125,0.3333333333333333,0.2,4.14,-0.08077478160052076,AZ,Prescott,Condo
2022-08-31,323250.0,625000.0,276.9056702971915,316.17477960904563,8.0,9.0,16.0,21.0,2.6,27.0,0.9916951251355512,0.5,0.2857142857142857,0.3333333333333333,3.64,-0.06670244379804813,AZ,Prescott,Condo
2022-09-30,331407.0,595000.0,267.55999719132205,313.12095032397406,4.0,6.0,8.0,21.0,5.3,66.0,1.005059846347734,0.25,0.619047619047619,0.1666666666666666,3.59,-0.0337503854501755,AZ,Prescott,Condo
2022-10-31,335450.0,,279.08819389438526,,6.0,5.0,,15.0,2.5,33.0,0.97779276959524,0.1666666666666666,0.4,0.2,4.54,0.04308639865480268,AZ,Prescott,Condo
2022-11-30,282000.0,599000.0,279.9145299145299,305.80442544358993,7.0,4.0,8.0,17.0,2.4,66.0,0.9906148780441116,0.1428571428571428,0.2352941176470588,0.25,5.21,0.0029608419066891045,AZ,Prescott,Condo
2022-12-31,450000.0,633718.0,295.8747102423947,323.8778343359556,4.0,1.0,3.0,14.0,3.5,56.0,0.984621466418842,0.0,0.3571428571428571,0.0,5.11,0.05701804880489103,AZ,Prescott,Condo
2023-01-31,377500.0,590233.0,251.61062550217912,318.78629343327304,2.0,4.0,8.0,15.0,5.0,97.0,0.935648148148148,0.0,0.2666666666666666,0.25,4.53,-0.14960415070268207,AZ,Prescott,Condo
2023-02-28,282500.0,650000.0,265.68537142348634,328.2475200755787,10.0,8.0,4.0,10.0,1.0,42.0,0.973742901904162,0.1,0.1,0.5,4.56,0.05593859914785404,AZ,Prescott,Condo
2023-03-31,296500.0,599450.0,285.86609664687137,324.4573999261804,4.0,5.0,4.0,8.0,2.0,35.0,0.9905533243387404,0.0,0.375,0.2,4.97,0.07595723134947541,AZ,Prescott,Condo
2023-04-30,275000.0,674900.0,264.5739910313901,323.90527256479,5.0,2.0,5.0,11.0,2.2,60.0,0.9298981614258292,0.2,0.0909090909090909,0.0,3.94,-0.07448279409566805,AZ,Prescott,Condo
2023-05-31,355000.0,675000.0,310.8779679734953,327.6465441819773,5.0,4.0,9.0,13.0,2.6,41.0,0.9836700242518006,0.0,0.2307692307692307,0.25,2.34,0.1750133365777875,AZ,Prescott,Condo
2023-06-30,556124.75,665000.0,292.1452393838772,316.622691292876,3.5,2.5,9.0,17.0,2.8,56.5,0.967007032701194,0.0,0.1764705882352941,0.125,1.78,-0.06025749818081416,AZ,Prescott,Condo
2023-07-31,304000.0,644250.0,264.49598572702945,333.0952380952381,5.0,7.0,9.0,19.0,3.8,33.0,1.0068983252490198,0.5999999999999999,0.4210526315789473,0.4285714285714285,2.47,-0.09464215030564571,AZ,Prescott,Condo
2023-08-31,343000.0,625000.0,276.369582992641,324.6318607764391,9.0,12.0,13.0,17.0,1.9,36.0,0.9791971754979778,0.1111111111111111,0.4705882352941176,0.3333333333333333,2.85,0.04489140821163762,AZ,Prescott,Condo
2023-09-30,464941.25,619000.0,290.6328359996989,321.10110069302897,6.5,4.0,10.0,15.0,1.3,41.5,0.9901923326026928,0.0833333333333333,0.3333333333333333,0.0,2.61,0.05160934446044907,AZ,Prescott,Condo
