period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.24
2019-02-28,-0.0420060296500145,0.24
2019-03-31,0.0772024466113905,0.24
2019-04-30,0.0289678097107206,0.0
2019-05-31,-0.0130078348346622,0.28
2019-06-30,-0.0066708589903707,0.28
2019-07-31,0.0008597661191063,0.28
2019-08-31,-0.0051652759589749,0.0
2019-09-30,0.0256020575935802,0.58
2019-10-31,0.0048133637349001,0.93
2019-11-30,0.0177649063783362,1.77
2019-12-31,-0.0607433265266711,1.72
2020-01-31,0.0639182173154631,2.18
2020-02-29,-0.0214348749921332,1.98
2020-03-31,0.063604297402634,1.77
2020-04-30,-0.061271966887197,1.23
2020-05-31,-0.0110422196897251,1.65
2020-06-30,0.0403786092123792,2.39
2020-07-31,0.0505710600958375,3.06
2020-08-31,0.0181014207266079,2.89
2020-09-30,-0.0375656425126484,2.54
2020-10-31,0.0374480053377406,2.56
2020-11-30,-0.0131228409160191,2.56
2020-12-31,0.0161348649933088,2.88
2021-01-31,0.0711349790273669,3.67
2021-02-28,-0.0287741364994842,5.11
2021-03-31,0.0119465269301273,5.42
2021-04-30,0.0524203410868442,4.37
2021-05-31,0.0657054171974711,3.09
2021-06-30,-0.0264817843368859,2.63
2021-07-31,0.0422172839837398,3.39
2021-08-31,0.0033568764884042,3.46
2021-09-30,0.0262342318507105,3.56
2021-10-31,-0.0556041162543967,3.85
2021-11-30,-0.0241533669022895,4.27
2021-12-31,0.054699481319854,4.82
2022-01-31,-0.0583563768168649,4.64
2022-02-28,0.1033213967341946,5.04
2022-03-31,0.0141809042412479,5.59
2022-04-30,0.0721999671557811,4.98
2022-05-31,-0.0575703273613712,4.7
2022-06-30,0.0231278177204599,4.31
2022-07-31,-0.0251920891695585,4.33
2022-08-31,-0.0317959571523394,3.54
2022-09-30,-0.0390174685865423,3.28
2022-10-31,0.0133045372747957,3.32
2022-11-30,-0.0165191159121663,3.57
2022-12-31,-0.0561014106410788,3.32
2023-01-31,0.1038741437964487,3.05
2023-02-28,-0.048373073380765,3.35
2023-03-31,0.062691808499095,3.58
2023-04-30,-0.0942526799432605,4.13
2023-05-31,0.0801591426546686,3.75
2023-06-30,-0.0262017239938413,3.13
2023-07-31,-0.0192655840470469,2.87
2023-08-31,0.0371534568220288,2.31
2023-09-30,0.0188921224303009,2.73
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
