period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.0
2019-02-28,-0.2079508383278961,0.0
2019-03-31,0.3045907795907796,0.0
2019-04-30,-0.0697878977715842,0.11
2019-05-31,0.0344183436873175,0.11
2019-06-30,-0.0128409262487475,0.66
2019-07-31,-0.0488247769326624,0.55
2019-08-31,-0.0235042909823056,0.62
2019-09-30,0.0873257673851779,0.07
2019-10-31,-0.0618769349275004,0.07
2019-11-30,-0.0419021689654676,0.08
2019-12-31,0.0170912614805294,0.21
2020-01-31,0.0966318182057059,0.21
2020-02-29,-0.0775915989192879,0.55
2020-03-31,0.1967360845774597,0.98
2020-04-30,-0.0954424571591333,3.39
2020-05-31,-0.0814037048866175,4.26
2020-06-30,-0.0809107486323784,5.71
2020-07-31,-0.3188744965362707,4.18
2020-08-31,0.6646987503861819,4.37
2020-09-30,-0.3688334079639186,4.27
2020-10-31,0.1496972100975202,4.09
2020-11-30,-0.0627700162483734,3.73
2020-12-31,0.1297611739212658,3.16
2021-01-31,-0.0782157142223685,4.54
2021-02-28,0.0900444118301497,5.67
2021-03-31,-0.0168744551835796,6.44
2021-04-30,0.0810480530939337,5.97
2021-05-31,0.5170063460519785,5.99
2021-06-30,-0.2149178620382313,4.7
2021-07-31,0.2831601756306114,4.41
2021-08-31,-0.4042643437257738,4.52
2021-09-30,0.5224084746212259,5.22
2021-10-31,0.1020666342520708,4.71
2021-11-30,-0.3454279774459388,2.82
2021-12-31,0.4026057167215271,3.03
2022-01-31,0.0111314138523552,2.86
2022-02-28,-0.0138424496596495,3.99
2022-03-31,0.1976689169658578,4.29
2022-04-30,-0.1176287967947971,5.26
2022-05-31,0.0475792377747184,5.62
2022-06-30,0.0180157688340238,4.85
2022-07-31,-0.0603287763981957,5.38
2022-08-31,0.1332709405853545,4.26
2022-09-30,-0.1719788304389645,5.05
2022-10-31,-0.1539355699282044,4.34
2022-11-30,0.4613161505174967,4.92
2022-12-31,-0.381792287467134,3.54
2023-01-31,0.2694869374782802,3.17
2023-02-28,0.0524673173434258,3.42
2023-03-31,0.1363701169090387,4.2
2023-04-30,-0.0142585171886012,4.49
2023-05-31,-0.0325250385874726,3.8
2023-06-30,-0.1035418305347514,3.41
2023-07-31,0.2193126075307012,3.02
2023-08-31,-0.1031023727220514,3.3
2023-09-30,0.0168198280923672,3.55
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
