period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,489000.0,425000.0,255.17938352703385,359.29439782653554,3.0,3.0,13.0,26.0,8.699999999999998,37.0,1.0067340067340067,0.3333333333333333,,0.6666666666666666,0.0,0.0,CA,Compton,Multi-Family (2-4 Unit)
2019-02-28,349500.0,419990.0,541.1621950412128,345.6858407079646,2.5,3.0,8.0,28.0,7.0,76.0,0.9338802254459933,0.0,0.0714285714285714,0.3333333333333333,0.0,1.120712839577347,CA,Compton,Multi-Family (2-4 Unit)
2019-03-31,617000.0,412500.0,286.96244667196174,370.51243759219983,8.0,8.0,2.0,20.0,2.5,89.0,0.9900588289378928,0.125,0.1,0.25,0.0,-0.4697293171964686,CA,Compton,Multi-Family (2-4 Unit)
2019-04-30,597500.0,419999.0,312.07869902258176,328.07728606529366,4.0,3.0,4.0,18.0,4.5,35.0,0.9737759989661616,0.25,,0.0,0.09,0.0875245267870588,CA,Compton,Multi-Family (2-4 Unit)
2019-05-31,580000.0,430000.0,332.03125,354.7029702970297,5.0,4.0,12.0,23.0,4.6,64.0,0.994958346830302,0.2,,0.25,0.09,0.06393435707053663,CA,Compton,Multi-Family (2-4 Unit)
2019-06-30,517500.0,420500.0,290.5165751023944,357.945186026697,4.0,2.0,7.0,27.0,6.8,84.0,1.0919444444444444,0.5,0.074074074074074,0.0,0.09,-0.12503243263278851,CA,Compton,Multi-Family (2-4 Unit)
2019-07-31,699000.0,442500.0,320.94594594594594,334.5345179286785,5.0,5.0,11.0,29.0,5.8,108.0,0.9845021190346404,0.0,0.1379310344827586,0.5999999999999999,0.0,0.1047422882251261,CA,Compton,Multi-Family (2-4 Unit)
2019-08-31,525000.0,449000.0,718.1942544459645,347.9118946335078,5.0,7.0,7.0,27.0,5.4,35.0,0.9858336158804072,0.4,0.1851851851851851,0.0,0.13,1.2377420980632157,CA,Compton,Multi-Family (2-4 Unit)
2019-09-30,665000.0,415000.0,276.6230620155039,343.26180257510725,6.0,1.0,6.0,31.0,5.2,68.0,0.9919561287313398,0.1666666666666666,0.1935483870967741,0.0,0.46,-0.6148353174603175,CA,Compton,Multi-Family (2-4 Unit)
2019-10-31,420500.0,449000.0,162.04238921001928,366.3607511789805,3.0,5.0,5.0,29.0,9.7,127.0,1.0,0.0,0.1034482758620689,0.0,0.46,-0.4142122929687717,CA,Compton,Multi-Family (2-4 Unit)
2019-11-30,477500.0,449949.5,297.0977247807017,330.57817158315663,4.0,2.0,2.0,25.0,6.3,69.0,0.9860642852605384,0.25,0.16,0.0,0.33,0.8334568271246632,CA,Compton,Multi-Family (2-4 Unit)
2019-12-31,575000.0,434900.0,238.58921161825725,388.7832699619772,7.0,8.0,4.0,16.0,2.3,115.0,0.978577112939452,0.0,0.0625,0.125,0.0,-0.19693356186295818,CA,Compton,Multi-Family (2-4 Unit)
2020-01-31,550000.0,450000.0,305.3858967240422,388.48765532057297,1.0,,5.0,15.0,15.0,23.0,1.047818632120404,1.0,,,0.35,0.27996523670424645,CA,Compton,Multi-Family (2-4 Unit)
2020-02-29,568250.0,467500.0,301.06907894736844,323.7877222360779,8.0,6.0,8.0,16.0,2.0,64.0,0.9921203658825912,0.5,0.0625,0.1666666666666666,0.35,-0.014135616028708053,CA,Compton,Multi-Family (2-4 Unit)
2020-03-31,550000.0,485000.0,427.6827371695179,359.8449470569088,3.0,2.0,10.0,20.0,6.7,36.0,0.988722748601168,0.3333333333333333,0.05,0.5,0.35,0.4205468680637361,CA,Compton,Multi-Family (2-4 Unit)
2020-04-30,645000.0,467450.0,308.20757655576915,351.54563316823953,6.0,3.0,4.0,18.0,3.0,103.0,0.9773193504484776,0.3333333333333333,0.0555555555555555,0.0,1.15,-0.27935464827141976,CA,Compton,Multi-Family (2-4 Unit)
2020-05-31,642500.0,459000.0,330.2144980689617,386.9047619047619,2.0,4.0,2.0,15.0,7.5,23.0,1.03748593746826,1.0,0.2,0.0,2.89,0.07140292188505115,CA,Compton,Multi-Family (2-4 Unit)
2020-06-30,672500.0,454500.0,306.20350007140087,396.10897709489257,4.0,1.0,7.0,19.0,4.8,72.0,0.9979226670061776,0.25,,0.0,4.18,-0.07271333674921321,CA,Compton,Multi-Family (2-4 Unit)
2020-07-31,825000.0,469950.0,202.8522252274404,371.8581729425574,1.0,4.0,7.0,20.0,20.0,69.0,1.1014686248331107,1.0,0.05,0.25,3.45,-0.33752479909557165,CA,Compton,Multi-Family (2-4 Unit)
2020-08-31,647500.0,479950.0,297.87557859591755,406.3247863247864,2.0,1.0,6.0,24.0,12.0,128.0,0.9786351891003052,0.0,0.125,0.0,1.79,0.46843633715102606,CA,Compton,Multi-Family (2-4 Unit)
2020-09-30,770500.0,499000.0,246.13482556887573,374.06296851574206,4.0,2.0,8.0,29.0,7.3,88.0,0.96193383094172,0.0,0.0689655172413793,0.5,0.89,-0.1736992111637008,CA,Compton,Multi-Family (2-4 Unit)
2020-10-31,570000.0,459950.0,299.05561385099685,410.34770715798055,1.0,3.0,4.0,27.0,27.0,62.0,1.0365521003818876,1.0,0.1111111111111111,0.3333333333333333,1.44,0.21500731625363723,CA,Compton,Multi-Family (2-4 Unit)
2020-11-30,600000.0,492000.0,351.40562248995985,423.0109983079526,9.0,8.0,3.0,19.0,2.1,54.0,0.9726150401387292,0.2222222222222222,0.0526315789473684,0.0,1.95,0.17505108151905868,CA,Compton,Multi-Family (2-4 Unit)
2020-12-31,582500.0,495900.0,323.34384858044166,389.7937632884479,5.0,2.0,3.0,16.0,3.2,90.0,1.0209223258929678,1.0,,0.0,2.28,-0.0798557908968004,CA,Compton,Multi-Family (2-4 Unit)
2021-01-31,435000.0,479499.5,254.29326287978864,398.60444107898417,3.0,2.0,4.0,12.0,4.0,118.0,0.9286253338782549,0.3333333333333333,,0.5,2.18,-0.21355156748397075,CA,Compton,Multi-Family (2-4 Unit)
2021-02-28,585000.0,485000.0,258.4421534936999,435.04860696710193,4.0,1.0,1.0,10.0,2.5,82.0,0.9945835404288282,0.5,0.1,0.0,2.55,0.016315377634965378,CA,Compton,Multi-Family (2-4 Unit)
2021-03-31,485000.0,499000.0,353.1746031746032,423.2209737827715,3.0,2.0,3.0,10.0,3.3,79.0,0.9960379427046094,0.3333333333333333,,0.5,2.65,0.3665518507731078,CA,Compton,Multi-Family (2-4 Unit)
2021-04-30,567500.0,535000.0,470.274873307292,409.3918721727711,2.0,2.0,5.0,12.0,6.0,87.0,1.0023365041682673,0.5,0.0833333333333333,0.5,3.09,0.33156480981390546,CA,Compton,Multi-Family (2-4 Unit)
2021-05-31,595000.0,549450.0,425.60801144492126,378.86449415779725,1.0,,12.0,21.0,21.0,5.0,1.0084745762711864,1.0,0.0476190476190476,,2.92,-0.0949803283093631,CA,Compton,Multi-Family (2-4 Unit)
2021-06-30,790000.0,540900.0,333.93821654732835,445.63279857397504,4.0,8.0,9.0,22.0,5.5,56.0,1.0104413474653202,0.5,0.0909090909090909,0.5,2.91,-0.2153855012887982,CA,Compton,Multi-Family (2-4 Unit)
2021-07-31,1012500.0,549950.0,266.9172932330827,423.7003180103268,2.0,3.0,6.0,22.0,11.0,1291.0,0.9719612686598011,0.5,0.2272727272727272,0.3333333333333333,2.43,-0.20069857235027455,CA,Compton,Multi-Family (2-4 Unit)
2021-08-31,642500.0,557500.0,411.522633744856,429.0228228612908,8.0,4.0,9.0,24.0,3.0,75.0,0.9836272260624748,0.375,0.1666666666666666,0.25,1.86,0.5417608531849536,CA,Compton,Multi-Family (2-4 Unit)
2021-09-30,757000.0,544000.0,420.0,437.7588165106589,5.0,8.0,5.0,19.0,3.8,42.0,0.9693113588943064,0.4,0.0526315789473684,0.125,1.78,0.02059999999999995,CA,Compton,Multi-Family (2-4 Unit)
2021-10-31,613000.0,587000.0,402.046783625731,474.0041996062956,7.0,7.0,9.0,19.0,2.7,37.0,1.0011590110612996,0.4285714285714285,0.1052631578947368,0.5714285714285714,1.91,-0.04274575327206909,CA,Compton,Multi-Family (2-4 Unit)
2021-11-30,702500.0,550000.0,351.53490892039406,461.0951008645533,6.0,4.0,7.0,17.0,2.8,126.0,1.0010517743027882,0.6666666666666666,,0.25,2.72,-0.12563680835800173,CA,Compton,Multi-Family (2-4 Unit)
