period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,3.18
2019-02-28,-0.0914671205683171,5.62
2019-03-31,0.0024368799492697,9.3
2019-04-30,0.2086306028351132,7.62
2019-05-31,-0.0416095747252526,7.41
2019-06-30,-0.1252869639428205,5.21
2019-07-31,-0.0250696378830084,3.99
2019-08-31,0.1158278276871176,4.6
2019-09-30,-0.1459672590438385,6.08
2019-10-31,0.0682121227021019,7.79
2019-11-30,0.0174900686362686,7.57
2019-12-31,-0.033797395265285,7.02
2020-01-31,-0.0138759741245153,7.03
2020-02-29,0.116370980505251,7.05
2020-03-31,0.0985483022553457,6.69
2020-04-30,-0.0656363636363637,6.83
2020-05-31,0.0431405187959494,6.72
2020-06-30,-0.1463452299245022,8.47
2020-07-31,0.0077780916214209,9.01
2020-08-31,0.0070796460176993,10.49
2020-09-30,0.0573747335147907,9.77
2020-10-31,0.0930065282341467,10.39
2020-11-30,-0.1826195624429882,10.16
2020-12-31,0.326016013829757,10.08
2021-01-31,-0.0621401978698795,9.37
2021-02-28,-0.0182646360706446,8.42
2021-03-31,0.1141361256544502,8.11
2021-04-30,-0.0481087392538837,8.65
2021-05-31,0.1491623004953313,8.67
2021-06-30,-0.1087272117673542,8.43
2021-07-31,-0.1289880196916656,7.27
2021-08-31,0.2284063172725892,6.65
2021-09-30,-0.0656436083543179,6.13
2021-10-31,0.1165730689845738,6.32
2021-11-30,-0.2091118255353137,6.14
2021-12-31,0.3572329259272304,6.26
2022-01-31,0.0272272722406019,6.37
2022-02-28,-0.1466814396511667,6.3
2022-03-31,-0.0421603603603606,6.93
2022-04-30,0.1051483641643367,7.61
2022-05-31,-0.03779141003808,9.04
2022-06-30,0.0365542658628554,8.94
2022-07-31,-0.0561416504378783,8.67
2022-08-31,0.0585844155844155,6.87
2022-09-30,0.0881102019683939,6.39
2022-10-31,-0.1981727059996759,5.6
2022-11-30,0.41412501058028,5.77
2022-12-31,-0.2782958184259702,4.78
2023-01-31,0.3201216702000182,4.82
2023-02-28,-0.1360363336614245,4.94
2023-03-31,-0.1524896266917907,5.72
2023-04-30,0.0698692453842397,5.21
2023-05-31,0.1779113036728423,5.2
2023-06-30,-0.0942328523836988,5.09
2023-07-31,0.0320433648963907,5.24
2023-08-31,-0.1494911915964546,5.35
2023-09-30,0.2552291061593603,5.15
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
