period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,569500.0,1124950.0,523.9626191499668,648.2248224525322,2.0,3.0,3.0,4.0,2.0,27.0,1.0048543689320388,0.5,0.25,0.0,2.51,0.0,CA,El Segundo,Condo
2019-02-28,605000.0,1500000.0,515.7715260017051,623.1206147677915,3.0,,1.0,4.0,1.3,81.0,0.9923998429492598,0.3333333333333333,0.25,,2.4,-0.015632972370338782,CA,El Segundo,Condo
2019-03-31,697500.0,1295000.0,613.9964788732393,583.568650521293,1.0,1.0,3.0,6.0,6.0,48.0,0.9978540772532188,0.0,0.3333333333333333,0.0,2.31,0.19044275986497472,CA,El Segundo,Condo
2019-04-30,600000.0,1189000.0,509.7706032285472,842.7891449033998,1.0,1.0,1.0,5.0,5.0,124.0,0.9836871874743832,0.0,0.2,0.0,2.02,-0.1697499566055488,CA,El Segundo,Condo
2019-05-31,685000.0,1045495.0,541.053006322991,603.977328977329,4.0,4.0,3.0,2.0,0.5,44.0,0.991705704335868,0.25,0.5,0.25,2.82,0.06136564740360062,CA,El Segundo,Condo
2019-06-30,580000.0,1364000.0,531.5112417452381,657.3428321459818,2.0,2.0,2.0,2.0,1.0,69.0,1.003982133393898,0.5,,0.5,2.87,-0.01763554488422303,CA,El Segundo,Condo
2019-07-31,695000.0,1400000.0,591.4893617021277,736.122284794851,1.0,,1.0,3.0,3.0,27.0,1.0072463768115942,1.0,,,2.5,0.11284449931848872,CA,El Segundo,Condo
2019-08-31,684500.0,1249000.0,491.38549892318736,597.9375570835771,1.0,2.0,2.0,3.0,3.0,63.0,0.9848920863309352,0.0,,0.0,3.76,-0.16924034354712925,CA,El Segundo,Condo
2019-09-30,525000.0,1575000.0,551.470588235294,684.7826086956521,1.0,1.0,1.0,3.0,3.0,42.0,1.0,0.0,,0.0,5.04,0.1222768873802258,CA,El Segundo,Condo
2019-10-31,525000.0,1099500.0,591.2162162162163,840.2982994578822,3.0,2.0,3.0,4.0,1.3,41.0,1.0284303516497433,1.0,,0.5,3.17,0.07207207207207222,CA,El Segundo,Condo
2019-11-30,638500.0,,547.7602019074369,,4.0,3.0,,,,51.0,0.991069539687832,0.0,,0.0,3.04,-0.0735027442022782,CA,El Segundo,Condo
2019-12-31,695500.0,745000.0,560.3794998927817,655.7142857142857,2.0,,3.0,3.0,1.5,16.0,1.0232065668253068,1.0,,,3.46,0.023037997177234315,CA,El Segundo,Condo
2020-01-31,761000.0,1192500.0,572.6109857035365,740.6927833757101,1.0,2.0,2.0,3.0,3.0,48.0,1.0214765100671142,1.0,,0.5,3.32,0.021827147162048144,CA,El Segundo,Condo
2020-02-29,620000.0,1299000.0,526.7629566694987,722.7966464502318,1.0,1.0,2.0,4.0,4.0,54.0,0.984126984126984,0.0,,0.0,2.54,-0.08006837133539568,CA,El Segundo,Condo
2020-03-31,632500.0,,555.2829007827106,,2.0,2.0,,2.0,1.0,26.0,1.0370732573446693,1.0,0.5,0.0,3.0,0.05414189390524249,CA,El Segundo,Condo
2020-04-30,590000.0,1399000.0,500.0,703.8062283737024,1.0,1.0,1.0,2.0,2.0,54.0,0.9849749582637728,0.0,,0.0,4.54,-0.09955808238428632,CA,El Segundo,Condo
2020-05-31,699000.0,,610.4803493449782,,1.0,1.0,,,,32.0,1.0,0.0,,0.0,6.59,0.22096069868995638,CA,El Segundo,Condo
2020-06-30,845500.0,,528.4375,,1.0,,,,,40.0,1.0077473182359953,1.0,,,8.6,-0.13439064735336204,CA,El Segundo,Condo
2020-07-31,,,598.5206862815846,,,,,,,,,,,,6.76,0.13262341579010695,CA,El Segundo,Condo
2020-08-31,785000.0,1484500.0,590.6696764484575,681.917885264342,1.0,1.0,1.0,4.0,4.0,28.0,1.0342555994729907,1.0,0.5,0.0,9.36,-0.01311735753345955,CA,El Segundo,Condo
2020-09-30,638000.0,1599450.0,531.3853916760437,708.9437166729647,2.0,1.0,2.0,5.0,2.5,26.0,0.9972736314066026,0.0,0.2,1.0,10.17,-0.1003679165127872,CA,El Segundo,Condo
2020-10-31,686000.0,1399500.0,582.8377230246389,654.5622302975244,1.0,4.0,3.0,4.0,4.0,84.0,0.9956458635703918,0.0,0.25,0.0,10.81,0.09682677046561117,CA,El Segundo,Condo
2020-11-30,727500.0,1577000.0,592.1467480579488,714.6166557890211,4.0,2.0,1.0,3.0,0.8,38.0,0.9956406726590548,0.25,,0.0,10.51,0.015971898635868564,CA,El Segundo,Condo
2020-12-31,719000.0,1250000.0,632.9225352112676,651.4084507042254,1.0,3.0,2.0,2.0,2.0,35.0,1.0,0.0,0.5,0.3333333333333333,13.87,0.0688609492276202,CA,El Segundo,Condo
2021-01-31,814500.0,1399500.0,640.987382100499,736.3873578826849,2.0,,2.0,4.0,2.0,32.0,0.9887695367363678,0.0,,,16.32,0.012742233749884369,CA,El Segundo,Condo
2021-02-28,732000.0,1529000.0,644.3661971830985,763.8888888888889,1.0,1.0,5.0,8.0,8.0,50.0,0.9891891891891892,0.0,,0.0,17.2,0.005271266138698882,CA,El Segundo,Condo
2021-03-31,764000.0,1174000.0,651.3213981244671,737.8809129529348,5.0,5.0,2.0,5.0,1.0,44.0,1.0120804711763047,0.5999999999999999,,0.0,16.18,0.010793863756003663,CA,El Segundo,Condo
2021-04-30,740000.0,1349000.0,642.7962489343563,680.0,3.0,4.0,3.0,4.0,1.3,32.0,1.004588243553514,0.6666666666666666,0.25,0.0,14.23,-0.01308900523560208,CA,El Segundo,Condo
2021-05-31,697500.0,1569000.0,637.525140256166,785.4982371497495,2.0,1.0,1.0,4.0,2.0,38.0,0.9871740081606072,0.0,,0.0,16.64,-0.008200279150553436,CA,El Segundo,Condo
2021-06-30,749000.0,1449000.0,638.5336743393009,668.8513513513514,1.0,2.0,4.0,6.0,6.0,47.0,1.0,0.0,0.5,0.5,13.16,0.0015819518626820628,CA,El Segundo,Condo
