period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,5.8
2019-02-28,-0.2438818676612061,6.35
2019-03-31,0.4243443541991409,1.45
2019-04-30,0.0786511156186613,1.7
2019-05-31,-0.0450760826206153,1.4
2019-06-30,0.1780826089715339,0.75
2019-07-31,0.0,0.89
2019-08-31,0.0409807555119634,0.9
2019-09-30,-0.2317976948545375,1.4
2019-10-31,0.1234303227665014,1.42
2019-11-30,0.1192421772381127,1.76
2019-12-31,0.0450182058920889,1.79
2020-01-31,-0.1355237760722646,2.05
2020-02-29,0.1008662915793892,2.25
2020-03-31,0.0,2.25
2020-04-30,-0.0713360671023517,3.25
2020-05-31,-0.1625343278025167,3.55
2020-06-30,0.2760490279851637,3.88
2020-07-31,-0.0651086051341602,3.35
2020-08-31,0.0778191196861188,3.9
2020-09-30,0.0,4.76
2020-10-31,-0.2111939250718645,4.52
2020-11-30,0.1396501377134449,4.02
2020-12-31,0.069874857056196,3.53
2021-01-31,-0.0741532365292477,4.05
2021-02-28,-0.1019372496471895,4.72
2021-03-31,0.0443609324629588,5.02
2021-04-30,0.0873791724978088,4.81
2021-05-31,0.0370370370370372,4.57
2021-06-30,1.2926361894333418,3.85
2021-07-31,-0.5526163172407755,3.73
2021-08-31,0.1516237113402063,3.57
2021-09-30,-0.8475901294447494,3.37
2021-10-31,5.695736434108527,3.25
2021-11-30,0.0441146773552001,2.77
2021-12-31,0.5566061827956983,3.01
2022-01-31,-0.4580125182097593,3.24
2022-02-28,-0.0507243454204614,3.53
2022-03-31,-0.9122289478057783,3.59
2022-04-30,13.750102707749765,3.44
2022-05-31,-0.2113923424416665,3.64
2022-06-30,0.5462255703333727,4.71
2022-07-31,-0.3326902550249904,5.74
2022-08-31,0.6427591823455046,6.1
2022-09-30,-0.3912680502736765,5.62
2022-10-31,0.0,5.29
2022-11-30,0.0,5.66
2022-12-31,0.0,5.54
2023-01-31,-0.0662729336319009,5.16
2023-02-28,0.1742889988504024,4.12
2023-03-31,0.0685334057021136,4.03
2023-04-30,-0.2496552068505666,3.65
2023-05-31,0.3876927313309248,3.11
2023-06-30,-0.1587734805565189,3.11
2023-07-31,0.0338788864372265,3.41
2023-08-31,0.1379731379731379,4.05
2023-09-30,-0.0068967617253473,3.48
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
