period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,945000.0,999999.0,669.4203232329577,663.817663817664,8.0,18.0,21.0,28.0,3.5,17.0,1.027577717733693,0.75,0.1785714285714285,0.3888888888888889,1.29,0.0,CA,Fremont,Townhouse
2019-02-28,544000.0,580920.0,386.17246998838255,368.49844412280754,6.5,17.0,14.5,21.0,4.05,83.0,0.9950855683607668,0.25,0.2702702702702702,0.4705882352941176,2.11,-0.4231240722968088,CA,Fremont,Townhouse
2019-03-31,550250.0,1050000.0,356.0258882469951,674.5689655172414,12.0,10.0,37.0,27.5,2.15,71.5,0.9901433278575726,0.2826086956521738,0.2075471698113207,0.1666666666666666,2.4,-0.07806507217434311,CA,Fremont,Townhouse
2019-04-30,498750.0,593687.5,359.767089331056,394.68557650741593,7.0,34.0,18.5,27.0,2.45,42.0,0.99905327050529,0.625,0.3962264150943396,0.3823529411764705,2.21,0.010508227652999746,CA,Fremont,Townhouse
2019-05-31,539250.0,1000000.0,377.5533066307723,679.4244186046511,19.0,32.0,35.0,27.0,1.0,81.5,0.9803629604984376,0.25,0.7452830188679245,0.40625,2.03,0.049438144363864955,CA,Fremont,Townhouse
2019-06-30,577750.0,575198.75,369.883638682884,374.2908956680528,14.0,19.0,18.0,25.0,1.2,29.5,0.969474649693555,0.1538461538461538,0.2040816326530612,0.1486486486486486,2.08,-0.02031413263555082,CA,Fremont,Townhouse
2019-07-31,880000.0,981500.0,615.3846153846154,668.5481874399089,27.0,27.0,25.0,42.0,1.6,21.0,1.002888838836377,0.4814814814814814,0.4285714285714285,0.3703703703703703,1.86,0.6637248881186906,CA,Fremont,Townhouse
2019-08-31,534750.0,602460.0,340.3479711547779,384.06912242475136,15.5,10.5,14.5,23.0,2.7,22.5,0.987427407604913,0.1333333333333333,0.2321428571428571,0.131578947368421,2.38,-0.4469345468734859,CA,Fremont,Townhouse
2019-09-30,473750.0,577500.0,343.77562751469986,375.9454408504922,8.5,22.0,11.5,23.0,2.85,33.5,0.963641523012121,0.1666666666666666,0.2958333333333332,0.3181818181818181,2.76,0.010071035088859759,CA,Fremont,Townhouse
2019-10-31,896000.0,950000.0,615.3846153846154,668.0064196131227,21.0,22.0,19.0,32.0,1.5,32.0,0.9803182194014703,0.238095238095238,0.4375,0.3181818181818181,2.1,0.7900763350604356,CA,Fremont,Townhouse
2019-11-30,555750.0,544444.0,336.71821618743303,384.2377857794745,11.5,17.0,6.5,12.0,1.25,61.5,0.988806663295807,0.119047619047619,0.0952380952380952,0.2941176470588235,1.78,-0.4528328986954213,CA,Fremont,Townhouse
2019-12-31,500500.0,571975.0,352.87697612101863,381.43857113902624,9.5,4.5,3.0,8.0,0.9,49.5,0.9718129899322197,0.1176470588235294,0.4285714285714285,0.5357142857142857,1.86,0.04798896868885438,CA,Fremont,Townhouse
