period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,6.09
2019-02-28,-0.2106837026437465,4.83
2019-03-31,0.2266784223840214,5.52
2019-04-30,0.0473169621718525,6.36
2019-05-31,-0.0007078634829994,5.33
2019-06-30,-0.0894775040476092,5.56
2019-07-31,0.107485452246653,4.48
2019-08-31,0.00544893280797,6.55
2019-09-30,0.0213387561898452,5.92
2019-10-31,-0.1358395341064182,6.46
2019-11-30,0.1387297344392879,6.35
2019-12-31,0.0283440880973206,5.21
2020-01-31,-0.0414598330375894,4.79
2020-02-29,-0.272799972708736,5.86
2020-03-31,0.3999230865812282,5.22
2020-04-30,0.0183153702072484,6.95
2020-05-31,-0.0592608422377495,6.97
2020-06-30,0.0599953169695872,7.08
2020-07-31,-0.0006228590996381,7.03
2020-08-31,0.0405246224870059,7.57
2020-09-30,-0.005980742502609,8.6
2020-10-31,-0.0163276980644957,8.94
2020-11-30,0.0406630103384724,7.81
2020-12-31,-0.0061614728029995,9.63
2021-01-31,0.0340115901559272,7.98
2021-02-28,0.0287442648236084,8.82
2021-03-31,-0.0135005373657062,9.12
2021-04-30,0.0907836076841612,7.84
2021-05-31,0.0188792283367162,7.21
2021-06-30,-0.2057018734394304,6.84
2021-07-31,0.0394892298491025,6.68
2021-08-31,0.273418786172813,7.1
2021-09-30,0.0098962510493656,7.73
2021-10-31,0.00035882652528,8.25
2021-11-30,-0.0014471239300007,9.2
2021-12-31,0.030107019823675,8.78
2022-01-31,0.0181171893594882,8.83
2022-02-28,-0.0048450244348566,8.23
2022-03-31,-0.0938058412235516,9.6
2022-04-30,0.0916047980359506,8.76
2022-05-31,-0.0062397149068555,8.56
2022-06-30,-0.1806143899410777,8.28
2022-07-31,0.2245871172285927,7.4
2022-08-31,-0.1239065565674735,5.49
2022-09-30,0.2273284062452736,7.87
2022-10-31,-0.2332807196304601,7.72
2022-11-30,0.0553514278562188,8.76
2022-12-31,0.2081544200659588,7.74
2023-01-31,0.0159972199277085,7.07
2023-02-28,0.0182011907047479,8.25
2023-03-31,-0.2857896425988433,7.56
2023-04-30,0.2622005741337316,9.22
2023-05-31,0.0834081452172761,8.85
2023-06-30,-0.0566434629868793,8.24
2023-07-31,0.0567611209054648,6.94
2023-08-31,-0.1877974916341789,8.5
2023-09-30,0.0147412088723437,7.92
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
