period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.44
2019-02-28,0.1707022352051703,0.93
2019-03-31,-0.0456790218222624,1.53
2019-04-30,0.0289581003322796,1.58
2019-05-31,0.1490469493401958,1.52
2019-06-30,-0.337557603686636,1.24
2019-07-31,0.2396750524109014,1.33
2019-08-31,-0.0781343427037251,1.43
2019-09-30,-0.2012335842777073,1.83
2019-10-31,0.1052333889021199,1.41
2019-11-30,0.0327102803738312,1.46
2019-12-31,-0.1249410903597501,1.35
2020-01-31,0.2534598157760281,1.66
2020-02-29,-0.084987988752905,1.7
2020-03-31,-0.1240433110438822,1.75
2020-04-30,0.0427170638438243,3.54
2020-05-31,0.1360000000000001,5.45
2020-06-30,0.4078841512469831,7.98
2020-07-31,-0.3106423469387755,8.71
2020-08-31,-0.0075548493211785,9.76
2020-09-30,0.0935225018285117,9.8
2020-10-31,-0.1616439925922922,10.67
2020-11-30,0.1928106808611223,9.59
2020-12-31,0.158839847061502,10.01
2021-01-31,-0.1759036144578313,10.39
2021-02-28,0.056078611922447,12.36
2021-03-31,-0.1476325017708863,13.45
2021-04-30,0.1453123657299988,12.83
2021-05-31,-0.0666372220530003,14.03
2021-06-30,0.0621745929932258,13.17
2021-07-31,-0.1141556650358369,13.07
2021-08-31,0.1694177432611656,12.22
2021-09-30,-0.1402327099518793,13.62
2021-10-31,0.0536014388113146,14.84
2021-11-30,0.174413929788461,14.59
2021-12-31,-0.1869504548685729,13.93
2022-01-31,0.2507023576571623,14.07
2022-02-28,0.0052958371727347,14.25
2022-03-31,-0.0906424356618188,14.59
2022-04-30,-0.1305841930386683,14.52
2022-05-31,0.2617145274341848,16.09
2022-06-30,0.0472909824027343,16.59
2022-07-31,-0.0555256064690027,17.13
2022-08-31,-0.0783759217543793,15.64
2022-09-30,0.0152846323077922,15.71
2022-10-31,0.0959985441162001,16.74
2022-11-30,-0.1013259315665243,16.5
2022-12-31,-0.0854298101006825,16.27
2023-01-31,0.2823529411764705,15.18
2023-02-28,-0.1473409888339836,15.62
2023-03-31,0.4612086583462993,15.2
2023-04-30,-0.3156350434360724,16.07
2023-05-31,-0.0362474856891784,15.7
2023-06-30,-0.0536548174973792,16.08
2023-07-31,0.1716657127594627,13.89
2023-08-31,-0.1670734683915059,13.61
2023-09-30,0.1235036382422805,11.7
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
