period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,422000.0,712450.0,364.42141623488766,409.79956679427767,1.0,4.0,5.0,7.0,7.0,42.0,0.9690011481056257,0.0,0.2857142857142857,0.0,0.53,0.0,CA,Mission Viejo,Townhouse
2019-02-28,585000.0,710000.0,358.37651122625215,390.0430828147439,3.0,2.0,5.0,10.0,3.3,29.0,0.9868130117174094,0.0,0.1,0.0,2.44,-0.016587677725118266,CA,Mission Viejo,Townhouse
2019-03-31,510000.0,738500.0,390.126050420168,384.3205128205128,2.0,2.0,5.0,13.0,6.5,44.0,0.9897338782019336,0.0,0.1538461538461538,0.5,7.59,0.08859269008808313,CA,Mission Viejo,Townhouse
2019-04-30,487500.0,719900.0,421.1033603360336,401.076724693746,2.0,5.0,10.0,17.0,8.5,29.0,0.9863880499386732,0.0,0.2941176470588235,0.0,7.62,0.07940333613329043,CA,Mission Viejo,Townhouse
2019-05-31,562500.0,719000.0,401.4804115422551,385.9090909090909,6.0,5.0,14.0,24.0,4.0,48.0,1.0003019721018684,0.3333333333333333,0.25,0.2,5.76,-0.046598889113873776,CA,Mission Viejo,Townhouse
2019-06-30,535000.0,719000.0,332.35077376565954,396.708957952468,7.0,7.0,11.0,28.0,4.0,33.0,0.9955267443034008,0.2857142857142857,0.3214285714285714,0.2857142857142857,0.86,-0.17218682602979207,CA,Mission Viejo,Townhouse
2019-07-31,535000.0,699949.5,374.1552722571967,396.0516893048903,10.0,7.0,8.0,26.0,2.6,37.0,0.9918333580502776,0.4,0.2692307692307692,0.2857142857142857,0.81,0.1257842670798579,CA,Mission Viejo,Townhouse
2019-08-31,517500.0,720000.0,369.77810400499976,393.82840242564816,6.0,7.0,7.0,25.0,4.2,41.0,0.9753523063733824,0.0,0.16,0.2857142857142857,1.06,-0.011698801478301935,CA,Mission Viejo,Townhouse
2019-09-30,562500.0,726500.0,373.1455343323484,402.3371982192775,8.0,4.0,7.0,22.0,2.8,90.0,0.988117273108012,0.25,0.3181818181818181,0.25,1.08,0.009106624461742374,CA,Mission Viejo,Townhouse
2019-10-31,477500.0,689475.0,362.4575090945447,413.4083660364736,4.0,5.0,14.0,29.0,7.3,49.0,0.9972447277124687,0.5,0.1379310344827586,0.2,0.85,-0.02864304742900714,CA,Mission Viejo,Townhouse
2019-11-30,563750.0,727000.0,388.833623078016,400.2260180995475,4.0,10.0,5.0,19.0,4.8,46.0,0.9902789095971388,0.25,0.3157894736842105,0.1,0.6,0.0727702236032064,CA,Mission Viejo,Townhouse
2019-12-31,548000.0,704950.0,370.89783281733753,436.5945510700195,13.0,5.0,3.0,12.0,0.9,66.0,0.999463482757659,0.5384615384615384,,0.0,0.38,-0.046127158754169284,CA,Mission Viejo,Townhouse
2020-01-31,552500.0,739900.0,366.9304515543454,397.44542469135007,8.0,2.0,7.0,14.0,1.8,88.0,0.9903416232059304,0.375,0.0714285714285714,0.0,0.58,-0.010696695725763483,CA,Mission Viejo,Townhouse
2020-02-29,528500.0,715000.0,393.5175631914466,410.0,6.0,9.0,9.0,13.0,2.2,52.0,0.9966854074745556,0.0,0.0769230769230769,0.2222222222222222,0.73,0.07245817708635571,CA,Mission Viejo,Townhouse
2020-03-31,555000.0,759900.0,378.667304320102,401.2206874397687,12.0,9.0,7.0,9.0,0.8,39.0,1.0067612373009174,0.5833333333333333,0.3333333333333333,0.3333333333333333,0.98,-0.03773722003894375,CA,Mission Viejo,Townhouse
2020-04-30,468750.0,725000.0,416.3673578896351,408.6744043982896,2.0,5.0,8.0,12.0,6.0,62.0,0.9972086531751568,0.0,0.1666666666666666,0.2,1.94,0.09955983297059046,CA,Mission Viejo,Townhouse
2020-05-31,556950.0,759900.0,376.93774954792445,417.4361493123772,8.0,11.0,8.0,9.0,1.1,36.0,1.0083416584113327,0.375,0.5555555555555555,0.0909090909090909,2.7,-0.09469908626257417,CA,Mission Viejo,Townhouse
2020-06-30,548000.0,749000.0,409.28527794746486,413.76451077943614,7.0,5.0,5.0,8.0,1.1,33.0,0.9937224390803676,0.4285714285714285,0.125,0.2,3.58,0.08581663268891493,CA,Mission Viejo,Townhouse
2020-07-31,589500.0,750000.0,383.616851414008,410.1552734375,8.0,6.0,4.0,4.0,0.5,26.0,0.9969158713786702,0.375,0.25,0.1666666666666666,2.85,-0.062715245127267,CA,Mission Viejo,Townhouse
2020-08-31,550000.0,795000.0,373.64130434782606,426.8172888015717,7.0,4.0,9.0,8.0,1.1,43.0,0.996004060215006,0.4285714285714285,0.25,0.0,3.4,-0.02600393342839913,CA,Mission Viejo,Townhouse
2020-09-30,622500.0,749999.0,398.1713903121015,424.92917847025495,4.0,6.0,13.0,15.0,3.8,25.0,1.01088438596589,0.75,0.1333333333333333,0.6666666666666666,3.18,0.06565143007166085,CA,Mission Viejo,Townhouse
2020-10-31,680000.0,789000.0,364.64088397790056,420.45454545454544,7.0,6.0,12.0,21.0,3.0,37.0,1.003293460757133,0.5714285714285714,0.0952380952380952,0.1666666666666666,4.39,-0.08421123955671073,CA,Mission Viejo,Townhouse
2020-11-30,582500.0,799000.0,409.07890828685527,423.33333333333326,12.0,11.0,7.0,13.0,1.1,33.0,0.9939871827020714,0.25,0.1538461538461538,0.1818181818181818,3.84,0.12186791515031525,CA,Mission Viejo,Townhouse
