period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,2.32
2019-02-28,-0.1293321684060498,2.08
2019-03-31,0.0138277493739145,1.6
2019-04-30,-0.0788364164941115,2.02
2019-05-31,-0.0395508848841053,2.12
2019-06-30,0.3007387392976628,1.66
2019-07-31,-0.0847524901451347,1.49
2019-08-31,-0.1678449999999999,1.57
2019-09-30,0.1970062872755238,2.48
2019-10-31,-0.0330815972222222,1.37
2019-11-30,-0.1900220102714599,2.61
2019-12-31,0.2353132059212874,2.63
2020-01-31,0.1341689624128403,2.22
2020-02-29,-0.0152602039746306,2.71
2020-03-31,-0.0705884831861987,2.89
2020-04-30,-0.0202508736025841,8.68
2020-05-31,-0.1766744361136606,7.35
2020-06-30,0.2427628155428325,7.02
2020-07-31,-0.1710931485758273,8.17
2020-08-31,0.0953635405690198,10.96
2020-09-30,0.1271874866811577,9.96
2020-10-31,0.0753501315829274,7.86
2020-11-30,-0.1282447152759908,10.36
2020-12-31,0.0655470743779238,8.68
2021-01-31,0.0648774426919844,8.84
2021-02-28,-0.1795580248245897,10.22
2021-03-31,0.1181345838036258,11.22
2021-04-30,-0.02705245057057,7.45
2021-05-31,0.0688329213846654,8.44
2021-06-30,0.1036868481018771,8.5
2021-07-31,-0.0564088383712685,8.59
2021-08-31,-0.0688959509881315,7.77
2021-09-30,0.2387806390883307,8.67
2021-10-31,-0.1626052792275877,10.23
2021-11-30,0.2869630696699843,7.97
2021-12-31,-0.2263607453656915,8.23
2022-01-31,0.1691929923974122,8.56
2022-02-28,0.0392569498571058,12.38
2022-03-31,-0.0901938272438711,8.85
2022-04-30,0.230930273714041,10.13
2022-05-31,-0.0209618924602339,9.15
2022-06-30,-0.0497820852734812,9.75
2022-07-31,0.2073170731707319,10.0
2022-08-31,-0.1079315146406521,8.09
2022-09-30,-0.1498740868434617,9.49
2022-10-31,-0.0379013218537469,9.59
2022-11-30,0.607724910906351,9.41
2022-12-31,-0.392946244530461,9.03
2023-01-31,-0.0529258763826994,8.48
2023-02-28,0.2898432423651722,9.34
2023-03-31,0.0584096553883286,9.76
2023-04-30,-0.1886637973655872,9.18
2023-05-31,0.2858829915795888,9.61
2023-06-30,-0.2823741914651005,9.9
2023-07-31,0.3361078682533831,8.66
2023-08-31,-0.3111501071078492,9.04
2023-09-30,0.5380316153676461,10.16
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
