period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.62
2019-02-28,-0.4833845805339057,1.33
2019-03-31,0.873944880073801,2.05
2019-04-30,-0.2029430571037968,3.62
2019-05-31,-0.2260947657114254,5.04
2019-06-30,2.0609700853643385,6.86
2019-07-31,-0.6077046060133191,6.51
2019-08-31,0.6277289396060217,5.51
2019-09-30,-0.4660840733966206,4.67
2019-10-31,63.08846358780197,3.28
2019-11-30,-0.98012326982101,2.22
2019-12-31,0.0791966608177106,0.59
2020-01-31,45.61808879693201,0.55
2020-02-29,-0.9681364910466974,0.83
2020-03-31,-0.3706281822589053,0.84
2020-04-30,-0.0226229978362553,0.57
2020-05-31,0.7899947255244042,2.0
2020-06-30,-0.5619992509303497,2.66
2020-07-31,3220.899614194584,3.73
2020-08-31,-0.999359347699476,3.06
2020-09-30,-0.1749189003140729,3.27
2020-10-31,-0.2226277554758813,2.93
2020-11-30,0.7669814617940549,2.39
2020-12-31,-0.1498740554156168,2.15
2021-01-31,-0.5055621820241702,2.56
2021-02-28,0.1692430038486638,2.92
2021-03-31,3.5916046224211096,4.03
2021-04-30,-0.6503786203047344,3.97
2021-05-31,0.2522910443662403,3.74
2021-06-30,-0.0421803730298514,2.63
2021-07-31,-0.2680895737484317,2.5
2021-08-31,-0.084130828359605,3.24
2021-09-30,-0.1815409377668363,3.31
2021-10-31,0.3845432238126445,3.2
2021-11-30,0.9250861467264742,2.37
2021-12-31,-0.328866050649259,2.64
2022-01-31,28.951107996003167,2.79
2022-02-28,-0.9605361300735042,3.02
2022-03-31,0.0303099000627404,2.91
2022-04-30,0.1001084103733147,2.89
2022-05-31,-0.2638994366031111,3.52
2022-06-30,-0.3392780264315072,3.54
2022-07-31,2.708138106476357,3.5
2022-08-31,-0.6145956486042694,3.02
2022-09-30,31.163889119494343,2.77
2022-10-31,0.0,2.65
2022-11-30,-0.9834761405600853,2.73
2022-12-31,0.1894950564971751,2.73
2023-01-31,49.87751213414818,2.93
2023-02-28,-0.9712836833283846,2.97
2023-03-31,0.2264657528537945,3.49
2023-04-30,-0.1057019434402791,3.08
2023-05-31,-0.0860026446255987,3.16
2023-06-30,-0.2094047892030003,3.27
2023-07-31,0.0877276988028281,4.68
2023-08-31,0.6963598185101696,4.84
2023-09-30,0.1329520697167758,4.72
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
