period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,7.97
2019-02-28,-0.0065698451660481,6.24
2019-03-31,-0.0050759147630946,4.51
2019-04-30,0.0671642979661848,5.37
2019-05-31,-0.006974974394577,6.07
2019-06-30,0.0669821721476777,5.62
2019-07-31,-0.0489589074835632,2.78
2019-08-31,0.058258597398108,6.25
2019-09-30,0.000708382217635,6.42
2019-10-31,-0.06514237815594,4.3
2019-11-30,0.1140035265774803,6.46
2019-12-31,0.0772683795145279,4.82
2020-01-31,-0.1607446707008518,5.32
2020-02-29,0.0130306689205506,6.48
2020-03-31,-0.039447336804165,4.41
2020-04-30,0.1420181091443024,10.09
2020-05-31,0.072232897040922,10.58
2020-06-30,-0.193816316350462,13.88
2020-07-31,0.1019684664488893,11.01
2020-08-31,0.0218276373465249,13.12
2020-09-30,0.0553001282642395,15.72
2020-10-31,-0.0320408245268614,13.95
2020-11-30,0.0653198262018057,13.82
2020-12-31,-0.1360516856999072,13.78
2021-01-31,0.0159154275092936,12.31
2021-02-28,0.1082614985833985,13.63
2021-03-31,-0.0359890767851923,12.87
2021-04-30,0.0173031358755979,13.77
2021-05-31,0.0632998493187892,11.58
2021-06-30,0.1192952909862528,13.66
2021-07-31,-0.0561320754716979,14.22
2021-08-31,0.0464290755385663,15.93
2021-09-30,-0.0258326186392224,13.88
2021-10-31,-0.0323786296566132,20.31
2021-11-30,-0.0852021563342317,18.25
2021-12-31,0.1985872384219746,13.22
2022-01-31,0.010500485908649,16.09
2022-02-28,-0.0101809954751129,16.99
2022-03-31,0.1979763912310286,14.62
2022-04-30,-0.1776940943938956,16.37
2022-05-31,0.1371510338680464,16.96
2022-06-30,-0.0893154035382731,17.01
2022-07-31,-0.1471028093665626,13.6
2022-08-31,0.1978145791165133,10.93
2022-09-30,-0.0628684024016733,15.45
2022-10-31,0.1271216249783124,16.53
2022-11-30,-0.1720568661418198,13.57
2022-12-31,0.0544051855391687,13.02
2023-01-31,-0.0763478096829395,11.77
2023-02-28,-0.0823578248235784,13.67
2023-03-31,0.4526352858316707,14.84
2023-04-30,-0.2395355710365209,14.45
2023-05-31,0.0232904772758391,12.27
2023-06-30,-0.3049273133521666,13.25
2023-07-31,0.5419501133786844,12.44
2023-08-31,0.0505304827663,11.5
2023-09-30,0.1124207253833928,9.51
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
