period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,10.17
2019-02-28,0.2737223488600266,8.11
2019-03-31,-0.3365877030911581,15.22
2019-04-30,0.0142919154679925,8.24
2019-05-31,0.1104234970827735,10.48
2019-06-30,-0.1786776920899502,8.93
2019-07-31,0.0585365853658534,3.73
2019-08-31,0.1456675828149862,2.65
2019-09-30,-0.086389925216141,7.59
2019-10-31,0.0813715294703036,3.62
2019-11-30,0.4081269220983035,3.71
2019-12-31,-0.3348839988103103,3.01
2020-01-31,0.345894583680945,3.61
2020-02-29,-0.2789491237644776,4.27
2020-03-31,0.1843657233326738,2.61
2020-04-30,-0.1505168986987706,7.92
2020-05-31,-0.2038174273858921,6.01
2020-06-30,0.4523057293142309,4.87
2020-07-31,-0.1985948278167737,8.82
2020-08-31,0.072324793664424,8.83
2020-09-30,0.0553909709693292,9.3
2020-10-31,-0.0891755745656946,7.04
2020-11-30,0.2822550372862393,8.94
2020-12-31,-0.1667081565080008,9.23
2021-01-31,0.3237854259649604,9.45
2021-02-28,-0.219085776514348,8.34
2021-03-31,0.2147493755817437,10.07
2021-04-30,-0.04399937410205,5.4
2021-05-31,-0.0331198219472762,8.42
2021-06-30,0.1800292822418561,7.51
2021-07-31,-0.1806971561209162,7.91
2021-08-31,0.199972913902545,9.12
2021-09-30,-0.1785437597827416,8.43
2021-10-31,0.1287584792554033,10.36
2021-11-30,0.0926034172661867,9.84
2021-12-31,0.1818856076815491,8.99
2022-01-31,-0.3550847156346207,10.66
2022-02-28,0.5750282620466063,11.98
2022-03-31,-0.1062326022186324,15.18
2022-04-30,0.1082530178129572,11.26
2022-05-31,-0.0017780764052243,11.17
2022-06-30,-0.2345048523063779,8.55
2022-07-31,0.1184431825664193,9.69
2022-08-31,0.0527802469135803,8.08
2022-09-30,-0.1456637633172205,8.89
2022-10-31,0.3839996749553065,9.79
2022-11-30,-0.0582229174120867,10.23
2022-12-31,-0.2919397677690679,6.92
2023-01-31,0.6076098939750292,10.95
2023-02-28,0.0472924587562393,10.32
2023-03-31,-0.1578801860007853,11.56
2023-04-30,-0.0656663963233308,9.15
2023-05-31,0.1341628618734636,8.96
2023-06-30,-0.0205049675057893,9.59
2023-07-31,0.0142913337430856,8.3
2023-08-31,0.0257314311065446,9.31
2023-09-30,-0.2331618655692728,9.39
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
