period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,3.88
2019-02-28,0.2481480123655266,2.43
2019-03-31,-0.0606346131266877,3.12
2019-04-30,-0.0652013717654396,3.2
2019-05-31,0.065255237062781,1.98
2019-06-30,0.0107222000268121,3.4
2019-07-31,0.0261980999532769,2.41
2019-08-31,-0.0548609279287199,2.22
2019-09-30,0.12783636699053,2.76
2019-10-31,-0.117202625299096,2.39
2019-11-30,0.1056319376695451,1.77
2019-12-31,-0.085167245269295,3.04
2020-01-31,0.0260673953218977,1.87
2020-02-29,0.0339339068359103,2.64
2020-03-31,-0.0223408962813761,3.81
2020-04-30,-0.005266870211496,11.08
2020-05-31,-0.0720760460195633,9.28
2020-06-30,0.0943774144973588,9.5
2020-07-31,0.0037233688790927,10.63
2020-08-31,-0.0321884938419749,10.59
2020-09-30,-0.0145582329317269,15.7
2020-10-31,0.0104262314504899,12.95
2020-11-30,0.0529120514521976,11.86
2020-12-31,-0.1606776291949506,14.86
2021-01-31,0.0377713657143554,14.03
2021-02-28,0.0018160061422498,13.55
2021-03-31,0.0750268879907674,12.96
2021-04-30,0.0593775264643445,12.87
2021-05-31,-0.0370045341524062,12.71
2021-06-30,0.0638058874791367,10.15
2021-07-31,-0.0788432510829342,10.76
2021-08-31,0.0264343295107063,11.7
2021-09-30,0.0941258255014154,11.53
2021-10-31,-0.0520999834625249,11.37
2021-11-30,-0.0158865692663018,11.11
2021-12-31,-0.051968394818799,10.52
2022-01-31,0.1287456484563469,15.24
2022-02-28,0.0792942278605104,12.59
2022-03-31,-0.0625194067054533,13.86
2022-04-30,0.1119952420590193,18.08
2022-05-31,-0.0517062954779732,15.05
2022-06-30,-0.0496372356383896,12.48
2022-07-31,-0.060937029799721,13.62
2022-08-31,0.025076842619335,10.31
2022-09-30,0.0339075295067472,11.74
2022-10-31,-0.0490923219568192,10.92
2022-11-30,0.0081464735823129,9.96
2022-12-31,-0.1331888779233754,9.62
2023-01-31,0.0255515476145278,10.86
2023-02-28,0.052917543662911,10.18
2023-03-31,0.0631614849796666,12.53
2023-04-30,0.1406951071722841,10.9
2023-05-31,-0.1468698396165381,10.13
2023-06-30,0.0682332912618939,9.22
2023-07-31,0.0458083167042533,7.97
2023-08-31,-0.0733135380308871,6.9
2023-09-30,0.0382239076927299,8.59
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
