period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,1190000.0,1350000.0,854.8850574712643,1027.857142857143,7.0,7.0,8.0,18.0,2.6,47.0,1.0196930498785557,0.4285714285714285,0.1111111111111111,0.1428571428571428,3.88,0.0,CA,Santa Monica,Townhouse
2019-02-28,1096000.0,1696500.0,725.6990679094541,1074.797843665768,9.0,2.0,11.0,26.0,2.9,81.0,0.9899802934412232,0.3333333333333333,0.1538461538461538,1.0,2.43,-0.15111503989078978,CA,Santa Monica,Townhouse
2019-03-31,1242250.0,1414000.0,1034.1679618974904,926.2980763410528,10.0,10.0,14.0,25.0,2.5,39.0,0.99504293898534,0.5,0.2,0.2,3.12,0.42506447593580776,CA,Santa Monica,Townhouse
2019-04-30,1575000.0,1751500.0,850.785340314136,1068.2794498957053,9.0,11.0,11.0,21.0,2.3,55.0,1.0196068004370475,0.5555555555555555,0.238095238095238,0.0909090909090909,3.2,-0.17732382779184552,CA,Santa Monica,Townhouse
2019-05-31,1270000.0,1650000.0,886.6080156402737,1002.1284067355294,15.0,11.0,20.0,29.0,1.9,52.0,0.9845300729900048,0.2666666666666666,0.1379310344827586,0.4545454545454545,1.98,0.042105421460260306,CA,Santa Monica,Townhouse
2019-06-30,1425000.0,1995000.0,902.8794533918984,1011.7168136328744,5.0,7.0,10.0,31.0,6.2,21.0,1.022135217091956,0.5999999999999999,0.1612903225806451,0.0,3.4,0.018352459558888645,CA,Santa Monica,Townhouse
2019-07-31,1475000.0,1550000.0,1005.2754982415006,1043.577981651376,15.0,14.0,9.0,25.0,1.7,46.0,1.0012735622953446,0.4666666666666666,0.12,0.0714285714285714,2.41,0.11341053832261339,CA,Santa Monica,Townhouse
2019-08-31,1330500.0,1875000.0,883.9542841088111,1015.6372165754497,14.0,10.0,12.0,24.0,1.7,52.0,0.990590741067976,0.3571428571428571,0.2083333333333333,0.0,2.22,-0.1206845430381156,CA,Santa Monica,Townhouse
2019-09-30,1725000.0,1799000.0,944.3269908386188,980.0539278027084,11.0,11.0,15.0,26.0,2.4,42.0,1.0057475359893882,0.6363636363636364,0.1538461538461538,0.1818181818181818,2.76,0.06829844915642291,CA,Santa Monica,Townhouse
2019-10-31,1425000.0,1799000.0,882.6912018401379,1004.7892720306512,9.0,12.0,11.0,23.0,2.6,35.0,1.008175343649888,0.5555555555555555,0.217391304347826,0.0833333333333333,2.39,-0.06526954073794367,CA,Santa Monica,Townhouse
2019-11-30,1505454.5,1425000.0,985.777313591454,1000.776354766598,10.0,7.0,3.0,18.0,1.8,48.0,1.004862187331781,0.2999999999999999,0.3888888888888889,0.0,1.77,0.11678615526745206,CA,Santa Monica,Townhouse
2019-12-31,1400000.0,1649000.0,866.0035108250438,953.2207270279698,7.0,6.0,3.0,10.0,1.4,41.0,0.9847342564264124,0.4285714285714285,0.2,0.0,3.04,-0.1215018859888769,CA,Santa Monica,Townhouse
2020-01-31,1456250.0,1760000.0,853.405439339448,1066.320645905421,4.0,3.0,5.0,9.0,2.3,85.0,0.9893434186639886,0.25,0.2222222222222222,0.0,1.87,-0.014547367681677859,CA,Santa Monica,Townhouse
2020-02-29,1656000.0,1725000.0,1042.2077922077922,997.5244278313332,5.0,5.0,8.0,11.0,2.2,41.0,1.0066960026481269,0.8,0.4545454545454545,0.2,2.64,0.22123406316050764,CA,Santa Monica,Townhouse
2020-03-31,1048000.0,1794499.5,752.3330940416366,1017.4469322477464,3.0,3.0,8.0,15.0,5.0,90.0,1.0130587730587732,0.3333333333333333,0.2,0.0,3.81,-0.2781352244086477,CA,Santa Monica,Townhouse
2020-04-30,1859000.0,1447500.0,921.97628487763,969.1266405932467,2.0,1.0,7.0,20.0,10.0,16.0,1.0495421063208563,1.0,0.1,1.0,11.08,0.22548947026196453,CA,Santa Monica,Townhouse
2020-05-31,1440000.0,1595000.0,882.5526137135098,1029.042726679713,7.0,6.0,13.0,27.0,3.9,49.0,0.9903814066152892,0.2857142857142857,0.074074074074074,0.3333333333333333,9.28,-0.0427599622796726,CA,Santa Monica,Townhouse
2020-06-30,1645000.0,1399000.0,1077.9303569935623,916.11138035362,4.0,9.0,25.0,42.0,10.5,43.0,1.0711005092601895,0.5,0.2142857142857142,0.2222222222222222,9.5,0.22137801219347497,CA,Santa Monica,Townhouse
2020-07-31,1444000.0,1512000.0,872.6220016542596,1046.0595975459173,15.0,15.0,20.0,41.0,2.7,35.0,0.9966897322528646,0.4,0.3170731707317073,0.1333333333333333,10.63,-0.19046532459845067,CA,Santa Monica,Townhouse
2020-08-31,1137000.0,1399450.0,853.8013311720208,981.4587877288842,8.0,10.0,20.0,49.0,6.1,40.0,1.0073714797664972,0.5,0.2448979591836734,0.2999999999999999,10.59,-0.021567953187703104,CA,Santa Monica,Townhouse
2020-09-30,1362500.0,1414000.0,841.1472697186982,980.0076106215298,13.0,14.0,23.0,54.0,4.2,61.0,0.9759880562289164,0.2307692307692307,0.1851851851851851,0.0714285714285714,15.7,-0.014820849993232299,CA,Santa Monica,Townhouse
2020-10-31,1242500.0,1324500.0,825.9815261239762,992.5465838509316,12.0,12.0,22.0,59.0,4.9,45.0,0.9851142690255438,0.3333333333333333,0.2203389830508474,0.3333333333333333,12.95,-0.018029831565397392,CA,Santa Monica,Townhouse
2020-11-30,1190000.0,1399000.0,900.8079487024028,968.2819383259914,12.0,17.0,13.0,51.0,4.3,41.0,0.9863801508787507,0.1666666666666666,0.196078431372549,0.0588235294117647,11.86,0.09059091542828934,CA,Santa Monica,Townhouse
2020-12-31,1339000.0,1357500.0,841.8367346938776,975.0394423567884,21.0,15.0,9.0,35.0,1.7,49.0,1.0188220234103065,0.4761904761904761,0.1428571428571428,0.1333333333333333,14.86,-0.06546480200743354,CA,Santa Monica,Townhouse
2021-01-31,1192500.0,1687000.0,871.8122128458855,987.6190476190478,8.0,5.0,16.0,41.0,5.1,77.0,0.9655620316763364,0.125,0.1463414634146341,0.0,14.03,0.035607234653294295,CA,Santa Monica,Townhouse
2021-02-28,1225000.0,1500000.0,844.7729672650476,997.439180537772,7.0,10.0,27.0,54.0,7.7,66.0,0.9942557331456424,0.2857142857142857,0.037037037037037,0.2,13.55,-0.03101498829957061,CA,Santa Monica,Townhouse
2021-03-31,1410000.0,1717250.0,958.2863585118376,974.3326488706366,19.0,18.0,14.0,40.0,2.1,33.0,1.0231569644894605,0.5263157894736841,0.225,0.0,12.96,0.1343714768883877,CA,Santa Monica,Townhouse
2021-04-30,1500000.0,1695000.0,857.8431372549021,1000.8908507223114,23.0,21.0,30.0,44.0,1.9,55.0,1.0075445207735263,0.4782608695652174,0.0909090909090909,0.238095238095238,12.87,-0.10481545559400218,CA,Santa Monica,Townhouse
2021-05-31,1470000.0,1749000.0,895.2702702702702,1060.4404466303758,19.0,17.0,20.0,45.0,2.4,30.0,1.0279551591047245,0.7894736842105263,0.1777777777777777,0.0588235294117647,12.71,0.04362934362934334,CA,Santa Monica,Townhouse
2021-06-30,1374750.0,1888000.0,841.9540229885058,1043.557168784029,18.0,16.0,21.0,44.0,2.4,43.0,1.0133208439942594,0.5,0.2727272727272727,0.25,10.15,-0.05955324224680103,CA,Santa Monica,Townhouse
2021-07-31,1330000.0,1595000.0,902.1718776345244,1048.780487804878,26.0,24.0,26.0,44.0,1.7,47.0,1.0262115501555475,0.6153846153846154,0.159090909090909,0.0833333333333333,10.76,0.07152154749766026,CA,Santa Monica,Townhouse
2021-08-31,1419000.0,1465000.0,968.882602545969,1026.3458162949464,11.0,13.0,23.0,50.0,4.5,33.0,1.0125697958730606,0.2727272727272727,0.14,0.1538461538461538,11.7,0.07394458480168842,CA,Santa Monica,Townhouse
2021-09-30,1562500.0,1549000.0,893.677540105773,1039.1137855579868,26.0,18.0,22.0,47.0,1.8,54.0,1.0141164214740308,0.4615384615384615,0.1063829787234042,0.1666666666666666,11.53,-0.07762040751126797,CA,Santa Monica,Townhouse
2021-10-31,1392000.0,1800000.0,909.4202898550724,1107.0527947436608,24.0,23.0,17.0,35.0,1.5,55.0,0.98637928821982,0.375,0.1428571428571428,0.0434782608695652,11.37,0.01761569362863935,CA,Santa Monica,Townhouse
2021-11-30,1500000.0,1830000.0,923.3188195452344,1076.7093494941596,13.0,17.0,7.0,23.0,1.8,48.0,1.0127876744713873,0.3076923076923077,0.217391304347826,0.1764705882352941,11.11,0.015282845396353384,CA,Santa Monica,Townhouse
2021-12-31,1550000.0,1692000.0,986.283185840708,1067.046405749168,21.0,12.0,6.0,12.0,0.5999999999999999,65.0,1.0090648640045552,0.4285714285714285,0.1666666666666666,0.0833333333333333,10.52,0.06819352639913223,CA,Santa Monica,Townhouse
2022-01-31,1560000.0,1674999.5,917.191515508816,1058.4268208381654,8.0,8.0,14.0,15.0,1.9,55.0,0.9957927308275132,0.5,0.0666666666666666,0.625,15.24,-0.0700525683939327,CA,Santa Monica,Townhouse
2022-02-28,1520000.0,1600000.0,901.7571884984025,1067.4931129476583,11.0,11.0,16.0,19.0,1.7,36.0,1.0249637233303592,0.6363636363636364,,0.3636363636363636,12.59,-0.01682781267536182,CA,Santa Monica,Townhouse
2022-03-31,1510000.0,1479000.0,986.3945578231292,1070.655497939104,13.0,14.0,12.0,15.0,1.2,20.0,1.0422631477548907,0.5384615384615384,0.0666666666666666,0.4285714285714285,13.86,0.09385826961431154,CA,Santa Monica,Townhouse
2022-04-30,1535000.0,1399000.0,1159.9970283082216,1095.890410958904,14.0,12.0,16.0,19.0,1.4,34.0,1.0503672606801224,0.7857142857142857,,0.0833333333333333,18.08,0.17599698731936964,CA,Santa Monica,Townhouse
2022-05-31,1662500.0,1575000.0,1057.357176372165,1063.9147802929429,14.0,13.0,22.0,26.0,1.9,35.0,1.08250653394466,0.7857142857142857,0.0769230769230769,0.0769230769230769,15.05,-0.08848285765503217,CA,Santa Monica,Townhouse
2022-06-30,1594000.0,1895000.0,1072.1491228070176,1084.2013888888887,12.0,16.0,17.0,27.0,2.3,30.0,1.0538354302450248,0.6666666666666666,0.1851851851851851,0.0625,12.48,0.013989545600479492,CA,Santa Monica,Townhouse
2022-07-31,1411500.0,1762500.0,949.6124031007752,1115.0349953552775,12.0,18.0,17.0,26.0,2.2,39.0,1.0119817397045023,0.5,0.3076923076923077,0.1111111111111111,13.62,-0.11429074286366647,CA,Santa Monica,Townhouse
2022-08-31,1470000.0,1595000.0,864.8825065274151,1024.1273100616015,13.0,9.0,7.0,24.0,1.8,30.0,1.0207702814941488,0.6923076923076922,0.25,0.2222222222222222,10.31,-0.08922576863643628,CA,Santa Monica,Townhouse
2022-09-30,1352500.0,1542500.0,836.0917333698987,1040.502647611344,8.0,11.0,13.0,24.0,3.0,49.0,1.0347621330709689,0.625,0.2083333333333333,0.1818181818181818,11.74,-0.03328865243570944,CA,Santa Monica,Townhouse
2022-10-31,1499500.0,1892500.0,1054.8819220158518,1087.5771114781403,10.0,7.0,18.0,32.0,3.2,46.0,0.9899165386087934,0.2,0.1875,0.1428571428571428,10.92,0.2616820378837035,CA,Santa Monica,Townhouse
2022-11-30,1379000.0,1389000.0,960.144927536232,1095.166163141994,7.0,10.0,4.0,24.0,3.4,31.0,0.9734649619841514,0.1428571428571428,0.3333333333333333,0.1,9.96,-0.08980815056397962,CA,Santa Monica,Townhouse
