period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,1.57
2019-02-28,0.0285885334928963,2.91
2019-03-31,-0.0029636346081999,10.12
2019-04-30,0.0232402262237496,1.55
2019-05-31,-0.0380966912253176,1.82
2019-06-30,0.0023316284866978,1.14
2019-07-31,0.0477164280845259,0.98
2019-08-31,-0.0488571837813912,1.4
2019-09-30,-0.0113916151455345,2.04
2019-10-31,0.1288566552901024,1.62
2019-11-30,-0.0757338810535884,1.79
2019-12-31,-0.1011195010538096,1.56
2020-01-31,0.0545055892356847,1.42
2020-02-29,0.0229038442135003,1.39
2020-03-31,0.0869579437333862,2.08
2020-04-30,-0.0499793628358078,3.87
2020-05-31,-0.0479103455025937,4.09
2020-06-30,-0.0138863054187191,3.74
2020-07-31,0.0843115673142824,3.91
2020-08-31,0.0205283261948339,5.54
2020-09-30,-0.0042244723433916,5.35
2020-10-31,-0.0932960858231877,4.55
2020-11-30,0.0782414929386232,5.53
2020-12-31,0.0224040522111825,4.94
2021-01-31,-0.0102459016393442,5.92
2021-02-28,0.0106755561481917,5.18
2021-03-31,0.0170201317753122,5.1
2021-04-30,-0.0209782355819757,5.45
2021-05-31,-0.0162876998136575,5.35
2021-06-30,0.0333381129911096,4.35
2021-07-31,0.0583297562836842,4.86
2021-08-31,-0.0663438256658598,3.83
2021-09-30,0.0091978447432712,4.54
2021-10-31,0.0979598597985913,5.07
2021-11-30,0.0187425143061008,4.18
2021-12-31,-0.0195485194957487,5.08
2022-01-31,-0.0220332775976139,5.7
2022-02-28,0.0125291375291374,4.83
2022-03-31,0.015043071621954,6.83
2022-04-30,0.0502418986605175,5.41
2022-05-31,0.0277647348866789,5.88
2022-06-30,0.0058286357572363,7.59
2022-07-31,-0.0790109549799599,5.03
2022-08-31,0.1002792039601592,5.96
2022-09-30,-0.08511677384039,6.97
2022-10-31,0.0248888659813806,6.38
2022-11-30,-0.0379396378269619,8.59
2022-12-31,0.0277088502894957,6.53
2023-01-31,-0.1343373953506111,6.33
2023-02-28,0.0768697500206496,6.4
2023-03-31,0.1203500561746526,5.34
2023-04-30,-0.0171985246087033,5.61
2023-05-31,0.0617955945828838,5.77
2023-06-30,-0.0749197051054681,5.6
2023-07-31,-0.0549913776585556,5.34
2023-08-31,0.1428430269695209,5.55
2023-09-30,-0.0802252960893599,5.88
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
