period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.0
2019-02-28,-0.0907136237050487,0.14
2019-03-31,-0.016931022487681,0.59
2019-04-30,0.0914188721272351,0.72
2019-05-31,-0.0613553113553113,1.03
2019-06-30,0.0856805555555553,0.63
2019-07-31,-0.0012294234765483,0.51
2019-08-31,-0.0221312872975278,0.51
2019-09-30,0.0196542042263927,1.48
2019-10-31,-0.024909700153013,1.77
2019-11-30,-0.0053017294164071,2.08
2019-12-31,-0.017939131575495,1.35
2020-01-31,-0.0124901796818259,1.82
2020-02-29,0.0339866442448879,1.61
2020-03-31,0.0314290675464492,2.2
2020-04-30,-0.064295370057452,2.69
2020-05-31,0.035725456564585,3.07
2020-06-30,0.0038108602889133,2.91
2020-07-31,0.0248864418709997,2.49
2020-08-31,0.0348939220661481,3.09
2020-09-30,0.0198392764913382,3.53
2020-10-31,-0.0184675991907086,4.64
2020-11-30,0.1020518187295849,4.68
2020-12-31,-0.093628319859963,4.92
2021-01-31,0.0910013390675164,4.53
2021-02-28,-0.0229350183499048,5.68
2021-03-31,0.0447400862954592,6.25
2021-04-30,0.0625076904146673,5.76
2021-05-31,-0.0079347530419777,4.4
2021-06-30,0.071115221568361,3.76
2021-07-31,-0.0463115108535848,4.2
2021-08-31,0.0496896123603258,4.09
2021-09-30,-0.0566111400312339,4.53
2021-10-31,0.0143120730065327,4.5
2021-11-30,-0.0043655960648146,4.02
2021-12-31,-0.0267666102137215,3.3
2022-01-31,0.0015421259520149,3.21
2022-02-28,0.0577188383803544,4.19
2022-03-31,0.0332217504898757,5.31
2022-04-30,0.0071760628390658,5.38
2022-05-31,0.0491190968132548,5.08
2022-06-30,-0.0066140299144427,4.78
2022-07-31,-0.0447201716348323,5.55
2022-08-31,-0.054684350584897,5.24
2022-09-30,0.004535464999537,4.77
2022-10-31,-0.0155816097041102,4.18
2022-11-30,-0.0186392981229484,4.42
2022-12-31,-0.0799328352057181,3.91
2023-01-31,-0.0023191340966991,3.09
2023-02-28,0.040584035580524,2.64
2023-03-31,0.0271127318852071,2.79
2023-04-30,0.0317377225090873,2.82
2023-05-31,0.0074710122676961,2.71
2023-06-30,0.0345458758195937,2.57
2023-07-31,0.0104930971092553,2.74
2023-08-31,0.003483584925578,3.11
2023-09-30,-0.0740430212825895,3.11
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
