period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,3.41
2019-02-28,0.0,6.12
2019-03-31,-0.0889292102064001,10.07
2019-04-30,-0.1622806293894747,8.98
2019-05-31,-0.0757971158437409,8.57
2019-06-30,0.0943334585427047,6.6
2019-07-31,-0.0410698784722221,4.64
2019-08-31,0.159336439151966,2.95
2019-09-30,0.2068940235970968,1.51
2019-10-31,-0.1466213859194174,1.54
2019-11-30,-0.0313884615384615,1.43
2019-12-31,0.3278695194922398,1.08
2020-01-31,-0.0966931160987182,1.14
2020-02-29,-0.3795724133632924,1.22
2020-03-31,-0.0296328452929564,2.09
2020-04-30,-0.0583693966467852,3.64
2020-05-31,0.2281729349999066,4.34
2020-06-30,-0.0052297497894949,6.97
2020-07-31,-0.0628555408221692,7.26
2020-08-31,0.0890128767215148,9.77
2020-09-30,0.1611013751659289,9.76
2020-10-31,-0.0786169862510242,10.8
2020-11-30,0.0139004029672833,10.37
2020-12-31,-0.0137098307946248,9.68
2021-01-31,-0.0105029851070295,9.47
2021-02-28,0.1992968775155619,9.39
2021-03-31,-0.1758146052622266,8.82
2021-04-30,0.4461168075559971,8.18
2021-05-31,-0.2253663003663003,6.98
2021-06-30,0.1137915742793789,6.59
2021-07-31,-0.0347749180630021,5.91
2021-08-31,0.0757250767162782,5.65
2021-09-30,0.1910052910052906,5.5
2021-10-31,-0.1034127846369706,5.59
2021-11-30,0.0279400433447178,7.0
2021-12-31,-0.0656778205659793,7.95
2022-01-31,0.057902723513294,9.81
2022-02-28,-0.0268819950057128,9.95
2022-03-31,-0.0357681299672442,10.48
2022-04-30,-0.1634879511545348,9.08
2022-05-31,0.1856313497822932,8.64
2022-06-30,0.2029181706716343,7.16
2022-07-31,-0.1631962552386536,6.34
2022-08-31,0.2942509713028078,4.32
2022-09-30,0.1594031510466331,3.71
2022-10-31,-0.2496247342401187,3.3
2022-11-30,-0.1118864137970278,3.56
2022-12-31,0.2166430226244677,3.56
2023-01-31,-0.2770752855638771,3.71
2023-02-28,0.0106207245024876,4.13
2023-03-31,0.1250078636975959,3.85
2023-04-30,0.1369617496600279,3.72
2023-05-31,0.0223555070883314,3.45
2023-06-30,0.1341356469819947,3.41
2023-07-31,0.1178618283135106,3.32
2023-08-31,1.3339979548560104,2.75
2023-09-30,-0.6091477575039475,2.8
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
