period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.41
2019-02-28,0.0623939021559363,0.41
2019-03-31,0.0882300514008056,0.65
2019-04-30,0.0,0.59
2019-05-31,-0.0631139318298972,0.68
2019-06-30,-0.0887832568722074,0.74
2019-07-31,-0.2814119525904586,0.59
2019-08-31,0.0138620245003222,0.87
2019-09-30,0.2161819944756333,1.15
2019-10-31,-0.1282797914389034,1.62
2019-11-30,0.6170462320398791,2.0
2019-12-31,-0.4034650785056849,2.83
2020-01-31,0.4476361202822747,3.23
2020-02-29,-0.3903723364966548,3.71
2020-03-31,0.9998783824870784,3.54
2020-04-30,-0.2169973506743738,4.43
2020-05-31,0.1376477061671368,4.9
2020-06-30,-0.0328374651008092,5.51
2020-07-31,0.0339523750309784,5.47
2020-08-31,-0.054235436684611,5.67
2020-09-30,0.1375291375291376,5.79
2020-10-31,-0.0704892160750367,6.54
2020-11-30,0.0,6.1
2020-12-31,-0.2004425339566353,6.29
2021-01-31,0.0651796860708746,5.45
2021-02-28,0.0057171287885564,6.69
2021-03-31,0.1674857670665912,6.6
2021-04-30,0.0,7.09
2021-05-31,0.301565585469524,6.37
2021-06-30,-0.0309861767169836,5.57
2021-07-31,-0.2005499241300498,5.21
2021-08-31,0.3841737018853985,4.42
2021-09-30,0.0020997375328082,4.73
2021-10-31,-0.3690248565965581,4.53
2021-11-30,0.1331798135029271,4.99
2021-12-31,0.0,5.36
2022-01-31,0.0,5.49
2022-02-28,0.0,5.21
2022-03-31,0.1579295808485779,4.9
2022-04-30,0.4541790542302641,5.01
2022-05-31,-0.2649876662342099,5.26
2022-06-30,-0.2049429041298959,5.28
2022-07-31,0.2107654320987653,5.31
2022-08-31,0.3797858533419855,5.76
2022-09-30,-0.3916754820710862,6.04
2022-10-31,0.0,6.1
2022-11-30,-0.1064795297536593,5.26
2022-12-31,0.1191685398369255,4.79
2023-01-31,0.0,4.51
2023-02-28,0.0,4.61
2023-03-31,0.0,4.34
2023-04-30,-0.0387083046723268,3.77
2023-05-31,-0.066641418581689,3.96
2023-06-30,0.1145416044360809,4.07
2023-07-31,0.1931739650481698,4.07
2023-08-31,-0.16189924579889,3.8
2023-09-30,0.0,3.14
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
