period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.41
2019-02-28,-0.0206591131145608,0.41
2019-03-31,-0.0272057060078797,0.65
2019-04-30,0.0281751434033581,0.59
2019-05-31,-0.0246565526638825,0.68
2019-06-30,0.0059690874448419,0.74
2019-07-31,0.0115162803722255,0.59
2019-08-31,0.0197397587701879,0.87
2019-09-30,-0.0272229679317979,1.15
2019-10-31,0.0148439235643369,1.62
2019-11-30,-0.014702162210719,2.0
2019-12-31,0.0210887199642662,2.83
2020-01-31,-0.0508155732825333,3.23
2020-02-29,0.1134461764613883,3.71
2020-03-31,-0.006106812286053,3.54
2020-04-30,0.0174766962337173,4.43
2020-05-31,-0.0318732561061104,4.9
2020-06-30,-0.0250503933935887,5.51
2020-07-31,0.0645561861786254,5.47
2020-08-31,-0.0044692370300007,5.67
2020-09-30,0.0423787242964943,5.79
2020-10-31,-0.005723417220618,6.54
2020-11-30,0.0029507003825233,6.1
2020-12-31,0.0140201396610937,6.29
2021-01-31,0.0481721601255549,5.45
2021-02-28,-0.0009715638889532,6.69
2021-03-31,0.0526707053089154,6.6
2021-04-30,0.0639037531192479,7.09
2021-05-31,-0.0490358968796683,6.37
2021-06-30,0.1000478191915199,5.57
2021-07-31,-0.1058957476311284,5.21
2021-08-31,0.0616693740130065,4.42
2021-09-30,0.0099509708609852,4.73
2021-10-31,0.011664004534833,4.53
2021-11-30,-0.0254929075000955,4.99
2021-12-31,0.0322643775818121,5.36
2022-01-31,0.0022536748765662,5.49
2022-02-28,0.0700105178976144,5.21
2022-03-31,0.0518216078084403,4.9
2022-04-30,-0.0037614776866172,5.01
2022-05-31,-0.0047864348206495,5.26
2022-06-30,0.0003490658870812,5.28
2022-07-31,-0.0669566988091276,5.31
2022-08-31,-0.4484972692266218,5.76
2022-09-30,0.748980640750019,6.04
2022-10-31,-0.0184843733628168,6.1
2022-11-30,0.0166509192133472,5.26
2022-12-31,-0.02698987469492,4.79
2023-01-31,0.0402608430000088,4.51
2023-02-28,0.0295153835999677,4.61
2023-03-31,-0.0190471410263212,4.34
2023-04-30,0.0325975452003715,3.77
2023-05-31,-0.0312111101807308,3.96
2023-06-30,0.0171151314358928,4.07
2023-07-31,0.0337930168175246,4.07
2023-08-31,-0.02233257622393,3.8
2023-09-30,-0.0208819037218174,3.14
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
