period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.09
2019-02-28,-0.0932306643405425,0.09
2019-03-31,-0.0419792535629947,0.09
2019-04-30,-0.0644333810544319,0.0
2019-05-31,0.2459536461645286,0.0
2019-06-30,-0.045344515695742,0.0
2019-07-31,-0.0317009405294198,0.45
2019-08-31,0.1746635717223952,0.45
2019-09-30,0.0532980569474408,0.45
2019-10-31,-0.0295306524391694,0.0
2019-11-30,-0.0099588193795016,0.6
2019-12-31,-0.0294728298017771,1.29
2020-01-31,0.0151615029663809,1.54
2020-02-29,-0.078486413327903,2.0
2020-03-31,0.0529066404803415,1.32
2020-04-30,0.1240694834683997,2.37
2020-05-31,-0.0206387365402455,2.4
2020-06-30,-0.0321701037442443,3.84
2020-07-31,0.0050873935812232,3.52
2020-08-31,0.0462611365954157,3.24
2020-09-30,-0.1011046078639374,3.01
2020-10-31,0.0348685382529092,3.32
2020-11-30,0.0441504833050965,3.33
2020-12-31,-0.0045313671229914,3.57
2021-01-31,-0.0400766859474187,3.9
2021-02-28,0.2624999067113338,4.79
2021-03-31,-0.0903774405835499,4.46
2021-04-30,-0.1728763526488245,3.69
2021-05-31,0.2478468899521533,2.64
2021-06-30,-0.0004432624113474,2.46
2021-07-31,0.0057304732187364,2.39
2021-08-31,0.005806914912011,2.8
2021-09-30,0.0435557288037786,2.57
2021-10-31,-0.107264582992226,3.23
2021-11-30,0.1359153975894713,3.31
2021-12-31,-0.0806112018027275,4.4
2022-01-31,0.085915338336395,4.03
2022-02-28,0.0498269855468198,3.38
2022-03-31,-0.0817879220161672,2.92
2022-04-30,-0.0337615927848211,3.18
2022-05-31,0.1859302484179279,3.85
2022-06-30,-0.2221102213884425,3.48
2022-07-31,0.0991265927657483,3.5
2022-08-31,0.1287445216723552,2.96
2022-09-30,-0.1400224999013186,3.75
2022-10-31,0.2837763473876349,4.52
2022-11-30,-0.1654284974874892,5.68
2022-12-31,-0.1642423555506547,5.42
2023-01-31,0.3148312367699439,4.16
2023-02-28,-0.1903267098289554,3.85
2023-03-31,-0.0920337628763405,3.15
2023-04-30,0.3703051963862553,3.8
2023-05-31,-0.0600041429788017,3.49
2023-06-30,0.1084452631242465,4.51
2023-07-31,-0.0706203458237371,4.09
2023-08-31,0.0184794036634541,4.06
2023-09-30,-0.0448949086672105,2.87
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
