period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,2.96
2019-02-28,0.4347955057755406,2.5
2019-03-31,-0.2662692877916275,1.76
2019-04-30,0.2728402956181874,2.32
2019-05-31,-0.3352339047918086,2.47
2019-06-30,-0.0697323055853336,1.98
2019-07-31,1.1291963973064298,1.94
2019-08-31,-0.2478140262720444,1.86
2019-09-30,-0.1530384851698103,2.49
2019-10-31,0.0292246112132006,2.11
2019-11-30,-0.1678380484779227,2.15
2019-12-31,0.3057528078065603,2.86
2020-01-31,0.2721472567115741,2.13
2020-02-29,-0.2545948594200052,3.28
2020-03-31,0.0272818343326701,3.11
2020-04-30,0.1295041606852867,6.53
2020-05-31,-0.1056403233230559,7.36
2020-06-30,-0.0092012117393265,6.56
2020-07-31,-0.005543801456341,7.84
2020-08-31,-0.2962566578554451,7.78
2020-09-30,0.3949516708966287,9.1
2020-10-31,-0.0820307963887406,8.73
2020-11-30,0.396516844547105,9.21
2020-12-31,-0.3829012923713858,10.43
2021-01-31,0.2928487044710244,11.03
2021-02-28,-0.0711887301122152,11.15
2021-03-31,0.187111310074387,10.59
2021-04-30,-0.0906138772258964,9.4
2021-05-31,0.1859350886742465,8.96
2021-06-30,-0.1552311081618326,9.14
2021-07-31,0.0689220405728743,8.31
2021-08-31,-0.0690285573269459,9.69
2021-09-30,0.2112861722012331,10.59
2021-10-31,0.190980284334491,10.27
2021-11-30,0.1075004350367432,10.23
2021-12-31,-0.1832198552344858,10.17
2022-01-31,0.1065271425493687,9.53
2022-02-28,-0.2091533802586255,10.23
2022-03-31,-0.0412312913201453,12.16
2022-04-30,0.363929719528169,12.48
2022-05-31,-0.2233240092530244,13.07
2022-06-30,0.9118641159735532,14.07
2022-07-31,-0.3795389833524384,14.5
2022-08-31,0.0021900562659613,13.63
2022-09-30,-0.1351253339358499,16.14
2022-10-31,-0.3800542341657553,16.59
2022-11-30,-0.7727568913685039,16.5
2022-12-31,4.403811101905551,15.68
2023-01-31,0.6884279746383881,14.3
2023-02-28,0.1444847472893295,16.25
2023-03-31,-0.14987592684878,15.68
2023-04-30,0.0392920695215386,14.81
2023-05-31,-0.2569849993479701,16.76
2023-06-30,0.2643908471014078,15.46
2023-07-31,-0.021792773713259,15.15
2023-08-31,0.1901618868366688,14.59
2023-09-30,-0.1638217352609697,14.69
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
