period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,2.59
2019-02-28,-0.0399241465495441,2.62
2019-03-31,0.1377744196746102,3.84
2019-04-30,-0.0325552416474398,3.23
2019-05-31,0.076037238009659,2.12
2019-06-30,-0.0512710603083885,2.97
2019-07-31,0.0123823868860155,2.05
2019-08-31,-0.0555784389262647,2.13
2019-09-30,-0.0471630138360651,4.14
2019-10-31,0.0674664107485609,3.76
2019-11-30,-0.0300624457356577,5.67
2019-12-31,0.0130593843240913,4.53
2020-01-31,0.0835433766471347,3.91
2020-02-29,-0.0444773063360255,4.67
2020-03-31,0.1574931880108991,6.1
2020-04-30,-0.0606283526708848,7.48
2020-05-31,-0.014732650237314,8.29
2020-06-30,0.0197095449571973,8.07
2020-07-31,-0.0579876760211131,8.7
2020-08-31,-0.047692598212977,8.36
2020-09-30,0.1160698460554299,10.33
2020-10-31,-0.0095637415133869,9.98
2020-11-30,-0.0289404191155218,9.58
2020-12-31,0.0894672936878882,11.6
2021-01-31,0.0234423806948917,10.29
2021-02-28,-0.0661611387167896,9.66
2021-03-31,0.0959039529650491,11.37
2021-04-30,0.105631759976793,9.88
2021-05-31,0.1128929543217738,8.1
2021-06-30,-0.0670431518835772,9.57
2021-07-31,-0.0886132377044193,8.09
2021-08-31,-0.077388138938291,9.63
2021-09-30,-0.0114039732909898,9.46
2021-10-31,0.0203612479474546,9.86
2021-11-30,0.0740589198036005,11.99
2021-12-31,0.0694368736383443,9.06
2022-01-31,-0.0024428938228623,11.95
2022-02-28,0.1468170358769702,9.27
2022-03-31,-0.0104013085000088,11.38
2022-04-30,-0.0618582997710324,10.75
2022-05-31,0.0287249696116693,9.92
2022-06-30,0.0609326892062283,11.41
2022-07-31,-0.0443133599017896,11.53
2022-08-31,-0.0840953836220702,9.21
2022-09-30,0.0217603164092423,10.45
2022-10-31,-0.1047705045113837,13.53
2022-11-30,0.130223460639028,13.1
2022-12-31,-0.0042118071406812,12.37
2023-01-31,0.0102710645262977,13.06
2023-02-28,-0.0726676983085543,13.24
2023-03-31,0.152305834731844,11.73
2023-04-30,-0.117428885959838,12.58
2023-05-31,0.1080327399127085,10.8
2023-06-30,0.0004606052410078,11.82
2023-07-31,-0.146113720850424,13.01
2023-08-31,0.1318202468443281,11.07
2023-09-30,0.0720571748878924,10.49
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
