period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.41
2019-02-28,-0.06093750229982,1.19
2019-03-31,0.0143236552719314,1.57
2019-04-30,0.1286287120228033,1.34
2019-05-31,0.0320466440888416,0.9
2019-06-30,0.049593095677811,1.14
2019-07-31,-0.1883973433179362,1.24
2019-08-31,0.1085260526477391,1.13
2019-09-30,0.102556156891199,0.65
2019-10-31,-0.0845197283983502,0.65
2019-11-30,-0.0007571210510854,0.75
2019-12-31,-0.007079871549333,1.59
2020-01-31,0.1079321065792704,2.13
2020-02-29,-0.1237029811921897,2.79
2020-03-31,0.0479065409344978,2.33
2020-04-30,-0.0347986096912692,2.98
2020-05-31,-0.0602549364511085,3.79
2020-06-30,0.1460702875399357,4.17
2020-07-31,0.0642603750211161,3.72
2020-08-31,0.0449366341512695,3.37
2020-09-30,0.0249097419381409,3.89
2020-10-31,0.0115036956700673,4.69
2020-11-30,-0.1380267966035795,4.63
2020-12-31,0.0659377461488075,4.5
2021-01-31,0.0437938895823057,4.2
2021-02-28,-0.2600783337224081,4.57
2021-03-31,0.3569913402772924,5.23
2021-04-30,0.0809280558482616,5.12
2021-05-31,-0.1402082127601436,4.75
2021-06-30,0.0693630545891852,4.42
2021-07-31,0.2308688778213283,4.41
2021-08-31,-0.1971813091359303,4.5
2021-09-30,-0.1367746913580246,4.59
2021-10-31,0.3688212927756653,5.41
2021-11-30,-0.1324225077194134,5.3
2021-12-31,0.2201891674787566,5.38
2022-01-31,0.0423160629554868,4.73
2022-02-28,-0.1432903043248244,5.44
2022-03-31,-0.1797867552235152,6.25
2022-04-30,0.2754758901157721,6.31
2022-05-31,-0.0092868360587081,6.36
2022-06-30,0.0400269697031301,6.1
2022-07-31,-0.0370660913904687,6.63
2022-08-31,0.0088480402344235,6.08
2022-09-30,0.0566698647822798,5.63
2022-10-31,-0.0773467184514387,5.61
2022-11-30,0.0198032378001502,5.61
2022-12-31,-0.3243741924543882,5.34
2023-01-31,0.301080113285205,5.29
2023-02-28,0.2973711396259242,5.53
2023-03-31,-0.1194431260876444,5.45
2023-04-30,-0.041592039800995,5.46
2023-05-31,0.1759531518435313,5.33
2023-06-30,-0.2105640737851546,5.81
2023-07-31,0.2920793277310927,5.48
2023-08-31,-0.0261346200436082,5.3
2023-09-30,-0.0133602482361867,4.93
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
