period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.33
2019-02-28,-0.0718016987998665,1.26
2019-03-31,-0.1650989193971599,2.27
2019-04-30,0.4002101451367674,2.3
2019-05-31,-0.292442601031571,1.63
2019-06-30,0.2190942041005907,1.11
2019-07-31,-0.0318644067796611,0.78
2019-08-31,0.1437908496732025,0.82
2019-09-30,-0.2204184960672696,0.79
2019-10-31,-0.014502193557353,1.15
2019-11-30,-0.0564547054835453,1.11
2019-12-31,0.3308144445714081,1.19
2020-01-31,-0.171823590342386,1.14
2020-02-29,-0.0541146363091872,1.51
2020-03-31,0.0578928201514004,2.01
2020-04-30,-0.0172803954227421,3.51
2020-05-31,-0.1492541900155093,4.07
2020-06-30,0.6446037614798792,4.65
2020-07-31,-0.2949652777777778,4.02
2020-08-31,0.286989090827044,4.13
2020-09-30,-0.2032467796849367,4.13
2020-10-31,0.0056949572156692,4.47
2020-11-30,-0.0561066482258004,4.54
2020-12-31,0.0151028725465207,4.25
2021-01-31,0.1130099528378598,4.62
2021-02-28,-0.054063112229206,5.0
2021-03-31,-0.0183827579856263,5.49
2021-04-30,0.187538215959176,5.97
2021-05-31,-0.0934140673279135,5.54
2021-06-30,0.1617655850329928,5.4
2021-07-31,-0.1126610813844734,4.59
2021-08-31,0.1449551836669398,5.18
2021-09-30,0.0132469966058823,5.26
2021-10-31,-0.2675517799651242,5.65
2021-11-30,0.2362857303993388,6.39
2021-12-31,0.1355794892301396,7.15
2022-01-31,0.029613376752628,7.51
2022-02-28,0.0949064856401744,6.73
2022-03-31,-0.2531416239733387,6.76
2022-04-30,0.1185942086087761,6.92
2022-05-31,0.0153959702789838,7.41
2022-06-30,0.1891731208263467,7.32
2022-07-31,0.0958770391184669,7.37
2022-08-31,-0.2081327363092069,7.18
2022-09-30,-0.0024881054890782,7.31
2022-10-31,0.3095107737725873,7.29
2022-11-30,-0.3136488971596574,7.56
2022-12-31,0.2840406751416315,6.63
2023-01-31,-0.2314001063803333,6.07
2023-02-28,0.1417875112926816,5.61
2023-03-31,0.241451462988149,5.83
2023-04-30,-0.2027341652899694,5.64
2023-05-31,0.0944120518224638,5.98
2023-06-30,-0.0708314303403535,6.34
2023-07-31,0.099576169489304,6.41
2023-08-31,0.028878618790135,5.51
2023-09-30,0.0270436616768805,4.93
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
