period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.99
2019-02-28,-0.0139334577114428,1.91
2019-03-31,0.0197422091695218,3.82
2019-04-30,-0.0095737426310477,4.33
2019-05-31,-0.0625474587004781,4.71
2019-06-30,0.2579331434440159,3.49
2019-07-31,-0.1045584045140793,3.38
2019-08-31,-0.1883652123182064,3.21
2019-09-30,-0.5086206896551724,4.26
2019-10-31,1.7794526857083333,4.56
2019-11-30,-0.2001175609573019,5.03
2019-12-31,0.3061468154308537,5.77
2020-01-31,-0.5867761904761905,6.74
2020-02-29,1.0445473782322736,7.77
2020-03-31,0.2478744416640883,8.37
2020-04-30,-0.2288692401479852,9.04
2020-05-31,-0.1589638047514652,9.56
2020-06-30,-0.1175621786126561,9.55
2020-07-31,0.8331032550348512,9.72
2020-08-31,-0.2167286356010812,10.29
2020-09-30,0.1670738337743302,10.71
2020-10-31,-0.0690938835470085,11.24
2020-11-30,-0.1412343809163194,12.16
2020-12-31,0.2865467372134038,13.22
2021-01-31,-0.0521648483463756,13.68
2021-02-28,-0.0085906663570931,16.48
2021-03-31,0.0917840744570832,18.26
2021-04-30,0.0669633714895034,19.74
2021-05-31,0.7104021164021166,18.67
2021-06-30,-0.4568269764547753,20.93
2021-07-31,0.0022307381418351,23.83
2021-08-31,-0.0826703121794055,26.65
2021-09-30,0.0651013840518202,25.0
2021-10-31,0.0965226549236739,24.2
2021-11-30,0.0330412351579987,21.32
2021-12-31,-0.1544873678025853,20.13
2022-01-31,0.105768398019282,17.22
2022-02-28,0.2368671187029483,16.48
2022-03-31,-0.1407558713330203,18.98
2022-04-30,0.0753281021498213,20.73
2022-05-31,-0.0490824412063679,23.31
2022-06-30,-0.0086447371325949,22.16
2022-07-31,-0.2500231760452392,22.01
2022-08-31,0.4820294540229883,19.2
2022-09-30,-0.2179748035007525,19.09
2022-10-31,0.2466162712728825,20.78
2022-11-30,-0.0599935427430849,22.59
2022-12-31,-0.2312695953345848,22.15
2023-01-31,0.0009779595322958,17.54
2023-02-28,0.1655829828391541,14.9
2023-03-31,0.0326019138016857,11.18
2023-04-30,0.0206997084548106,14.64
2023-05-31,0.0820588403313336,15.63
2023-06-30,0.0716525672745951,17.43
2023-07-31,-0.0999581968926358,14.11
2023-08-31,-0.0522313793268848,13.06
2023-09-30,0.0221884763160404,12.88
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
