period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,145880.0,164409.9,94.98116296136028,95.3257555686184,7.2,8.75,9.6,30.8,4.2,62.2,0.9595118341903128,0.1733333333333333,0.2928200129954514,0.0752941176470588,8.69,0.0,CT,New Haven,Single Family Residential
2019-02-28,144066.66666666666,171360.0,82.00057995139817,93.92903313389236,6.166666666666667,5.0,9.4,27.666666666666668,4.0,72.16666666666667,0.9642431482687432,0.0541666666666666,0.1386657868275514,0.1388888888888888,7.83,-0.1366648144247592,CT,New Haven,Single Family Residential
2019-03-31,138928.57142857142,160925.0,93.775939469277,104.5812946542656,8.714285714285714,8.75,18.25,23.857142857142858,2.3857142857142857,86.14285714285714,0.967734118676683,0.0905483405483405,0.2651515151515151,0.13,9.15,0.14360092971120575,CT,New Haven,Single Family Residential
2019-04-30,152042.85714285713,154215.83333333334,90.71918786418136,96.89883797515164,8.714285714285714,13.0,18.5,29.142857142857142,4.228571428571429,70.0,0.9722319488605848,0.1402369560264297,0.2297608933122951,0.4126344086021505,5.63,-0.03259633145127916,CT,New Haven,Single Family Residential
2019-05-31,151179.66666666666,149420.0,99.38578530347928,84.99690361662553,12.5,18.0,22.4,36.16666666666666,2.9166666666666665,65.5,0.971756996088458,0.2132609621115367,0.2683435083435083,0.3473684210526315,8.5,0.09553213210278022,CT,New Haven,Single Family Residential
2019-06-30,159615.0,153460.0,103.77317479885758,99.05322555678885,16.8,16.0,14.8,41.4,3.24,43.6,0.9727342791644074,0.2745893719806763,0.2519612780482345,0.3548148148148147,5.46,0.04414504027896138,CT,New Haven,Single Family Residential
2019-07-31,157706.25,151271.42857142858,99.13959406145436,106.71259117005448,12.125,11.833333333333334,14.714285714285714,31.285714285714285,2.0142857142857142,67.875,0.9786364669918928,0.334097018572825,0.2718848086228693,0.1355311355311355,3.55,-0.04465104538224296,CT,New Haven,Single Family Residential
2019-08-31,169664.2857142857,187881.5,110.99170719750568,97.7834360381512,9.857142857142858,10.666666666666666,13.833333333333334,30.571428571428573,3.271428571428572,43.71428571428572,0.9811687281186862,0.1603758560280299,0.2158333333333333,0.1043956043956043,3.92,0.1195497444613749,CT,New Haven,Single Family Residential
2019-09-30,174614.2857142857,193017.0,104.45419095819264,118.758532453426,10.428571428571429,12.8,15.6,34.666666666666664,2.933333333333333,52.42857142857143,0.9603392554260868,0.0993589743589743,0.306845238095238,0.156578947368421,4.17,-0.058900943181996124,CT,New Haven,Single Family Residential
2019-10-31,159800.0,175206.125,96.97639196015406,100.78522644623172,6.375,7.0,9.0,29.0,5.571428571428571,63.0,0.9763479220500828,0.0870098039215686,0.1877616279069767,0.2019230769230769,4.13,-0.07158926730887738,CT,New Haven,Single Family Residential
2019-11-30,139016.66666666666,170491.5,88.14743702022533,103.63027350929592,11.5,9.0,7.666666666666667,30.0,2.5166666666666666,62.0,0.9805189246093606,0.2476088726088725,0.2654630403168414,0.0346491228070175,4.02,-0.09104231206659452,CT,New Haven,Single Family Residential
2019-12-31,155780.0,143700.0,89.87426773597872,103.49131291724544,10.4,12.666666666666666,8.0,30.0,3.3,49.6,0.977842176080086,0.2575757575757575,0.1288742690058479,0.0441176470588235,3.55,0.019590254397948925,CT,New Haven,Single Family Residential
2020-01-31,142666.66666666666,211365.0,87.86522030369515,95.98660590251852,9.0,11.25,10.0,22.666666666666668,2.833333333333333,69.33333333333333,0.9366272510696766,0.0878191856452725,0.2135246792781039,0.2363304093567251,4.37,-0.02235397831763697,CT,New Haven,Single Family Residential
2020-02-29,181547.8571428572,169996.08333333334,89.2372621231781,114.10396638706372,7.571428571428571,9.5,10.833333333333334,21.285714285714285,3.6714285714285713,82.57142857142857,0.9733494006739634,0.2700460829493087,0.1311126860382707,0.1211538461538461,3.98,0.015615300510721575,CT,New Haven,Single Family Residential
2020-03-31,183691.25,192666.66666666663,106.35569407985066,108.187852611286,10.25,11.0,28.33333333333333,42.75,4.15,71.0,0.9813225100133918,0.350438596491228,0.2651439920556107,0.2291666666666666,6.48,0.1918305374838063,CT,New Haven,Single Family Residential
2020-04-30,172287.5,192562.5,121.041209721281,113.07274740914296,11.75,14.666666666666666,13.25,41.75,3.95,36.25,0.9930912368390574,0.2636363636363636,0.09,0.1442307692307692,8.72,0.13807926099757872,CT,New Haven,Single Family Residential
2020-05-31,176021.0,194237.5,89.77253803068302,119.19572415789114,10.0,20.666666666666668,17.25,33.0,3.28,134.0,0.9468977876000608,0.2948717948717949,0.2311004784688995,0.2922619047619047,8.67,-0.25833079298033856,CT,New Haven,Single Family Residential
2020-06-30,178392.85714285713,163858.33333333334,95.84946158068703,99.33968648154531,12.571428571428571,18.0,14.5,23.142857142857142,2.7142857142857144,313.1428571428572,0.9733297971523608,0.2574568288854003,0.2060771889400921,0.367840909090909,6.48,0.06769245565862247,CT,New Haven,Single Family Residential
2020-07-31,191992.8571428572,188900.0,109.36202921116042,120.01649031670638,11.857142857142858,11.2,18.0,29.666666666666668,1.6833333333333331,91.28571428571428,0.9954540882640251,0.4150510204081632,0.2408333333333333,0.2636494252873563,7.85,0.14097698002297454,CT,New Haven,Single Family Residential
2020-08-31,192890.0,174330.0,111.85353215130166,102.99107068661098,17.0,18.25,17.2,33.2,1.82,28.6,0.9922828183681764,0.3447342995169082,0.2126436781609195,0.0818181818181818,7.96,0.02278215719032195,CT,New Haven,Single Family Residential
2020-09-30,180080.0,183653.2,114.9382355756322,116.8494254060329,18.0,16.25,15.4,33.2,2.2,39.2,0.998103664044797,0.3669683257918552,0.1213235294117647,0.3666666666666666,5.93,0.027578060030843954,CT,New Haven,Single Family Residential
2020-10-31,201880.0,186575.0,116.52351365724545,100.2658455615476,16.6,19.5,19.5,30.0,1.5399999999999998,79.4,0.9801792756933656,0.4052164502164502,0.2669424743892828,0.3208791208791208,8.24,0.013792434464248382,CT,New Haven,Single Family Residential
2020-11-30,150800.0,204411.25,94.70029512309615,119.89680413339076,12.0,21.33333333333333,14.5,21.0,1.25,82.0,0.9844967406479128,0.398125,0.5129746835443038,0.2289870689655172,9.69,-0.18728596357248894,CT,New Haven,Single Family Residential
2020-12-31,201012.5,183835.0,122.94121556846108,109.97632735375402,16.5,14.666666666666666,10.0,28.0,1.75,31.5,1.0062720794700244,0.5404761904761904,0.2145522388059701,0.3457792207792207,10.19,0.298213647683526,CT,New Haven,Single Family Residential
2021-01-31,177414.2857142857,166320.0,128.0132498329056,99.05747691097052,8.142857142857142,10.5,8.6,19.8,2.56,62.285714285714285,0.973326378175317,0.1584296710154833,0.1691919191919191,0.2199999999999999,10.14,0.04125576797815289,CT,New Haven,Single Family Residential
2021-02-28,206983.3333333333,257100.3333333333,119.00020707937848,125.33505287559804,13.666666666666666,16.333333333333332,18.0,29.33333333333333,1.9,37.66666666666666,1.00016093334312,0.5,0.0545454545454545,0.3424242424242424,11.98,-0.07040710836801456,CT,New Haven,Single Family Residential
2021-03-31,166133.5,205600.0,109.92701426470153,117.87224528137622,10.166666666666666,10.2,17.0,18.666666666666668,1.6666666666666667,55.333333333333336,0.9694174557279746,0.2801677489177489,0.2139639639639639,0.4183760683760684,10.27,-0.07624518509135647,CT,New Haven,Single Family Residential
2021-04-30,176514.58333333334,201359.8,110.51333615335534,127.706902238033,9.5,10.6,13.4,19.33333333333333,1.6333333333333335,73.83333333333333,0.9934493326008312,0.4833630421865715,0.2178030303030302,0.3066666666666666,9.02,0.005333737958550966,CT,New Haven,Single Family Residential
2021-05-31,180823.66666666663,175808.33333333334,110.43973937818367,119.75010345201372,9.0,14.0,12.666666666666666,21.0,1.8166666666666669,83.83333333333333,0.9905813312625752,0.3447802197802197,0.3404761904761904,0.3966666666666666,8.95,-0.0006659537910387314,CT,New Haven,Single Family Residential
2021-06-30,184900.0,202094.9,113.4113635203353,120.46092726736964,17.0,19.75,21.2,28.6,2.8,35.2,0.985455564017306,0.4868373764600179,0.2380217519106407,0.4706673940716494,11.47,0.026907199880070065,CT,New Haven,Single Family Residential
2021-07-31,215549.0,207475.0,140.41000581816428,113.03601830212256,14.6,13.0,20.0,28.8,2.1,29.2,1.036699923185891,0.5616410256410257,0.2304526748971193,0.1244239631336405,14.2,0.23805941009595544,CT,New Haven,Single Family Residential
2021-08-31,193600.0,180037.5,122.39156276103613,110.51351509350212,11.714285714285714,11.166666666666666,13.166666666666666,21.0,1.7428571428571429,44.42857142857143,1.0162187736418606,0.5552197802197802,0.3043981481481481,0.3491071428571429,12.96,-0.12832734356882403,CT,New Haven,Single Family Residential
2021-09-30,181784.0,231579.5,111.27586712700418,135.1732406999,13.8,10.2,23.666666666666668,37.25,1.9,32.2,1.0104021772138183,0.5107206518971223,0.2473867595818815,0.4192307692307692,11.37,-0.09082076724303978,CT,New Haven,Single Family Residential
2021-10-31,202340.0,197870.0,116.71909375699278,102.00680529670828,12.666666666666666,16.0,15.0,26.0,1.6333333333333335,51.333333333333336,1.0272743478099409,0.4121650452295613,0.3313725490196078,0.2903333333333333,11.0,0.04891650607203091,CT,New Haven,Single Family Residential
2021-11-30,205750.0,235600.0,129.44633503901892,126.7440294399867,17.0,15.25,14.333333333333334,28.0,1.6,35.0,1.0036231686028796,0.5639730639730639,0.0697343453510436,0.2668269230769231,11.45,0.10904163896717756,CT,New Haven,Single Family Residential
2021-12-31,196255.0,178625.0,134.57992976692535,111.29159453503308,12.0,11.5,11.4,21.8,1.6,40.4,1.0030405882128106,0.4956989247311828,0.2749999999999999,0.4881818181818181,10.82,0.03965809249337959,CT,New Haven,Single Family Residential
2022-01-31,181800.0,222377.5,118.78048439447116,131.49072035143558,10.6,9.0,10.5,20.4,1.56,32.6,1.0219226761418494,0.444110275689223,0.5603448275862069,0.1528846153846153,11.87,-0.11739822869440297,CT,New Haven,Single Family Residential
2022-02-28,179022.85714285713,220965.8333333333,118.83053163317228,128.3623459042498,5.714285714285714,8.2,7.166666666666667,15.0,1.7666666666666666,38.142857142857146,1.025625482144369,0.4345238095238095,0.2051282051282051,0.3978696741854636,12.59,0.0004213422681029755,CT,New Haven,Single Family Residential
2022-03-31,208605.0,250075.0,133.990532828551,145.76271495896015,10.4,14.666666666666666,19.5,22.0,1.64,38.2,1.0080205882298574,0.3587301587301587,0.0806451612903225,0.3012422360248447,10.75,0.12757665043675281,CT,New Haven,Single Family Residential
2022-04-30,206571.4285714285,218716.5833333333,124.23936857744856,145.1263035632682,9.571428571428571,12.8,13.5,20.166666666666668,2.1166666666666667,42.0,1.0149758957617685,0.6408730158730158,0.1289682539682539,0.2944466706738796,12.23,-0.07277502406516778,CT,New Haven,Single Family Residential
2022-05-31,258166.66666666663,204440.0,156.9065701477294,141.3450734989456,10.833333333333334,18.0,16.0,23.8,2.9,31.666666666666668,1.032172372075111,0.6963953920475658,0.2603670634920634,0.302512077294686,13.09,0.2629376013764648,CT,New Haven,Single Family Residential
2022-06-30,234666.2,217850.0,153.793729069241,131.5778219994133,16.0,16.0,16.6,25.0,3.4799999999999995,21.6,1.0283232268240186,0.685128205128205,0.2910447761194029,0.4311794871794872,12.29,-0.01983881921297259,CT,New Haven,Single Family Residential
2022-07-31,222787.5,235587.5,141.3079977073679,129.4082462625148,15.0,19.0,18.75,31.75,2.425,29.25,1.0057644265751686,0.4988095238095238,0.2975434491978609,0.3964102564102564,11.53,-0.08118491851024556,CT,New Haven,Single Family Residential
