period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.23
2019-02-28,0.0130832174801174,0.46
2019-03-31,0.0268193315314493,0.51
2019-04-30,0.0041779408885178,0.81
2019-05-31,-0.0455866726383361,1.24
2019-06-30,0.0532791249493602,1.62
2019-07-31,-0.1474259476037864,1.16
2019-08-31,0.1779384285708873,0.93
2019-09-30,-0.1484919722286655,0.86
2019-10-31,-0.0958516656191075,1.13
2019-11-30,0.1460910120285121,1.16
2019-12-31,-0.0146810916923918,1.22
2020-01-31,-0.0389602717471572,1.16
2020-02-29,0.1031336651921894,0.95
2020-03-31,0.0368150919013743,1.08
2020-04-30,0.0365634266477528,2.12
2020-05-31,-0.0007322431047108,2.68
2020-06-30,-0.0851851851851852,3.02
2020-07-31,0.115863132000602,2.95
2020-08-31,-0.0596648113128096,3.52
2020-09-30,0.1659884890090839,4.28
2020-10-31,0.0667826864742942,4.58
2020-11-30,-0.1479074358716358,4.46
2020-12-31,0.0824229286794913,4.19
2021-01-31,0.1030640254292425,3.72
2021-02-28,-0.1054445446701702,3.85
2021-03-31,-0.1923519801865779,3.96
2021-04-30,0.35730807655567,4.28
2021-05-31,-0.0244280782136688,3.87
2021-06-30,0.0236577587011517,3.41
2021-07-31,0.1281923817808985,3.18
2021-08-31,0.1070901736854628,3.32
2021-09-30,-0.2600044997605992,3.56
2021-10-31,-0.0566351196359526,3.6
2021-11-30,0.4064552166796658,3.51
2021-12-31,-0.171920684981656,3.57
2022-01-31,0.0540736782675972,3.73
2022-02-28,0.2511070969822258,4.18
2022-03-31,0.0091623501496453,4.05
2022-04-30,0.0100870467687634,3.87
2022-05-31,-0.1130870610407709,3.45
2022-06-30,-0.0600029604962775,2.89
2022-07-31,0.2326245112603298,2.46
2022-08-31,0.1723685709558378,2.07
2022-09-30,-0.2784168048669042,2.79
2022-10-31,0.0555305166369821,2.95
2022-11-30,-0.0164416955631999,3.2
2022-12-31,0.2091427406043988,2.43
2023-01-31,-0.088806876849937,2.09
2023-02-28,0.1212908086061599,2.06
2023-03-31,-0.2192702552341141,2.08
2023-04-30,0.2204498455251962,1.97
2023-05-31,0.0627256593601253,1.97
2023-06-30,-0.1479663269827208,2.08
2023-07-31,-0.2035813686222152,2.42
2023-08-31,0.3120652473290422,2.42
2023-09-30,0.1258846733959857,2.49
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
