period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.0
2019-02-28,0.0903376035947567,0.0
2019-03-31,-0.1117181462596483,0.0
2019-04-30,0.1343797288075241,0.0
2019-05-31,-0.1135998997835816,0.31
2019-06-30,0.1349210720995699,0.31
2019-07-31,-0.0711985277202668,0.41
2019-08-31,0.0134993355249353,0.56
2019-09-30,-0.0922805527331845,0.56
2019-10-31,0.2282712655796965,0.82
2019-11-30,-0.0471869328493648,0.64
2019-12-31,0.0209916176208311,0.78
2020-01-31,0.0368071689346167,0.83
2020-02-29,0.0066070023243469,1.31
2020-03-31,-0.0397893016074833,2.02
2020-04-30,0.06113074204947,3.95
2020-05-31,-0.0218703609748764,5.98
2020-06-30,0.076167756245991,6.68
2020-07-31,-0.020595238095238,6.87
2020-08-31,0.0210283213808191,5.75
2020-09-30,-0.1128048780487803,6.54
2020-10-31,0.0109387242119201,6.59
2020-11-30,0.0986021844651827,6.63
2020-12-31,-0.1302879488091006,6.85
2021-01-31,0.196321756772885,6.47
2021-02-28,0.0311194431408454,6.96
2021-03-31,-0.0497117318935903,7.29
2021-04-30,0.0283477818758131,8.3
2021-05-31,-0.1020175048212432,8.21
2021-06-30,0.2157088402327069,7.85
2021-07-31,0.0338438735177866,6.08
2021-08-31,0.0288065843621396,6.12
2021-09-30,-0.0076086956521738,5.07
2021-10-31,0.1247998706234332,5.82
2021-11-30,-0.0903540903540904,6.11
2021-12-31,0.0375586854460094,6.27
2022-01-31,-0.0314181574743176,6.51
2022-02-28,0.1087855797828014,7.13
2022-03-31,0.0102911646586345,7.85
2022-04-30,-0.0311262971536593,8.1
2022-05-31,0.1220572250901534,7.93
2022-06-30,0.0039357271384554,8.58
2022-07-31,0.0494637548275957,8.91
2022-08-31,-0.0285317309556116,8.06
2022-09-30,0.0119571676047451,7.61
2022-10-31,0.0693609053970492,6.96
2022-11-30,-0.0276558265582657,6.77
2022-12-31,-0.054304642821923,6.38
2023-01-31,0.0367919245393699,6.05
2023-02-28,0.01223259147313,6.4
2023-03-31,-0.0112749840511252,6.77
2023-04-30,0.0424690586522298,6.87
2023-05-31,-0.0178749618249742,7.28
2023-06-30,0.0351212419572732,7.17
2023-07-31,-0.0458210021430759,7.0
2023-08-31,0.0684848484848485,6.46
2023-09-30,-0.0448504983388702,6.05
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
