period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,1.07
2019-02-28,0.1498302583210624,2.73
2019-03-31,-0.0843034245115941,10.03
2019-04-30,0.0882367346472026,9.86
2019-05-31,-0.2059987439672596,8.19
2019-06-30,0.1517753945925031,0.89
2019-07-31,0.0228184330154201,0.17
2019-08-31,0.2545459730778006,0.72
2019-09-30,-0.1252063860109808,1.54
2019-10-31,-0.1294850628247961,1.87
2019-11-30,0.4837098554365646,1.33
2019-12-31,0.1080774778487532,0.74
2020-01-31,-0.344148476016349,0.53
2020-02-29,0.1077324561403507,0.53
2020-03-31,0.0158227848101266,0.67
2020-04-30,-0.0290784647446862,1.82
2020-05-31,0.3350808914412739,3.13
2020-06-30,-0.2233380480905235,3.84
2020-07-31,-0.1381884294661174,3.54
2020-08-31,0.1453769652773631,3.62
2020-09-30,0.1283415235998324,3.13
2020-10-31,0.0583774544434654,2.87
2020-11-30,-0.1342246466717014,2.05
2020-12-31,0.1085260276639092,1.79
2021-01-31,-0.0899318193229623,1.78
2021-02-28,0.09912273213282,2.3
2021-03-31,0.2173913043478261,2.57
2021-04-30,-0.1085746951219509,2.84
2021-05-31,-0.1871623951269971,2.41
2021-06-30,0.2112212899398251,2.3
2021-07-31,0.1574712643678166,2.1
2021-08-31,0.0080229875587047,2.32
2021-09-30,-0.1531543270200259,2.77
2021-10-31,0.0074657827991002,2.31
2021-11-30,-0.0602752518412851,2.17
2021-12-31,0.3520014591164013,1.77
2022-01-31,0.1672204684683016,1.49
2022-02-28,0.0048784105449215,1.59
2022-03-31,-0.2471564687598124,1.68
2022-04-30,0.0772296918767507,2.21
2022-05-31,0.0384452603118534,2.78
2022-06-30,0.0025746652935119,2.55
2022-07-31,0.0349435917617737,2.38
2022-08-31,0.0074487154931515,1.26
2022-09-30,0.1046580958025307,1.65
2022-10-31,0.1073571245340447,2.14
2022-11-30,-0.4946952373106957,2.68
2022-12-31,0.7205158697568783,2.55
2023-01-31,-0.5575094954928412,2.73
2023-02-28,1.5061209439528027,2.8
2023-03-31,0.022545784898726,2.76
2023-04-30,-0.0483268073310912,1.89
2023-05-31,0.0504034820180454,1.96
2023-06-30,-0.0842287803277664,1.82
2023-07-31,-0.0942578548212349,2.02
2023-08-31,-0.0502575029284646,2.05
2023-09-30,0.3304616517416718,2.34
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
