period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,1750000.0,399000.0,585.7868164284092,436.1344537815126,10.0,6.0,65.0,370.0,37.0,207.0,0.9176349449475256,0.0,0.2162162162162162,0.3333333333333333,0.29,0.0,FL,Miami Beach,Single Family Residential
2019-02-28,1287500.0,449950.0,389.3097731546254,462.1642670708092,14.0,13.0,48.0,362.0,25.9,325.0,0.8875394639533611,0.0714285714285714,0.1961325966850828,0.0769230769230769,0.54,-0.3354070760276249,FL,Miami Beach,Single Family Residential
2019-03-31,1501750.0,389500.0,534.3342241388036,440.83526682134567,26.0,20.0,40.0,341.0,13.1,159.0,0.8882945872392534,0.0,0.2111436950146627,0.1499999999999999,1.05,0.37251685157818426,FL,Miami Beach,Single Family Residential
2019-04-30,1475000.0,456000.0,714.7887323943662,476.3927376970855,31.0,14.0,53.0,345.0,11.1,169.0,0.8965561181001486,0.032258064516129,0.1739130434782608,0.3571428571428571,0.97,0.337718416869899,FL,Miami Beach,Single Family Residential
2019-05-31,1325000.0,457000.0,564.760557688422,480.440879450632,23.0,7.0,49.0,342.0,14.9,187.0,0.907841793859378,0.0,0.1549707602339181,0.1428571428571428,1.07,-0.2098916335787594,FL,Miami Beach,Single Family Residential
2019-06-30,1700000.0,450000.0,553.5826195947358,473.4617682198327,19.0,10.0,44.0,351.0,18.5,150.0,0.9166162843761482,0.0,0.1965811965811965,0.2,1.01,-0.019792349061056536,FL,Miami Beach,Single Family Residential
2019-07-31,1300000.0,390900.0,449.73544973544966,420.2493934636792,27.0,10.0,26.0,327.0,12.1,205.0,0.8961717703583723,0.0,0.1804281345565749,0.2999999999999999,1.17,-0.1875910951382651,FL,Miami Beach,Single Family Residential
2019-08-31,1270000.0,369000.0,423.1311706629055,429.9363057324841,21.0,11.0,33.0,308.0,14.7,193.0,0.895047915169067,0.0,0.1461038961038961,0.0909090909090909,1.38,-0.05915539699659822,FL,Miami Beach,Single Family Residential
2019-09-30,2079500.0,399000.0,676.5461111391775,461.0705596107056,22.0,4.0,42.0,308.0,14.0,142.0,0.8816218853937314,0.0,0.172077922077922,0.0,1.49,0.5989039759922561,FL,Miami Beach,Single Family Residential
2019-10-31,1492500.0,534950.0,597.6968726891504,482.5367647058824,12.0,8.0,54.0,315.0,26.3,200.0,0.906907653430632,0.0,0.165079365079365,0.125,1.68,-0.11654673222089718,FL,Miami Beach,Single Family Residential
2019-11-30,2250000.0,497500.0,775.486842105263,497.4509103952741,18.0,7.0,55.0,330.0,18.3,164.0,0.9084934706939592,0.0,0.1666666666666666,0.1428571428571428,1.7,0.2974584233914461,FL,Miami Beach,Single Family Residential
