period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.29
2019-02-28,-0.2629877518092122,0.54
2019-03-31,-0.0717617127511229,1.05
2019-04-30,-0.2677419776614352,0.97
2019-05-31,0.5970422273963107,1.07
2019-06-30,-0.3691716364309867,1.01
2019-07-31,-0.4331657524074165,1.17
2019-08-31,0.7051184110007644,1.38
2019-09-30,-0.0984528555773135,1.49
2019-10-31,0.3952366385160897,1.68
2019-11-30,0.2154523925748614,1.7
2019-12-31,0.0,1.78
2020-01-31,-0.4677984489285577,1.82
2020-02-29,0.1040072961946958,1.75
2020-03-31,0.7622185387405358,1.79
2020-04-30,-0.2109438100205455,3.72
2020-05-31,-0.3042681691125088,5.33
2020-06-30,-0.0235209950886371,6.0
2020-07-31,-0.0508522024188672,5.08
2020-08-31,0.1094191715342307,5.55
2020-09-30,0.2801735378121184,6.02
2020-10-31,-0.1956552290591857,5.28
2020-11-30,0.1414945187043497,3.77
2020-12-31,0.6512029136713504,2.88
2021-01-31,-0.0542846715874674,2.77
2021-02-28,-0.0622618503276937,2.59
2021-03-31,-0.269728680756596,2.63
2021-04-30,0.0667838969611067,2.84
2021-05-31,0.6597935251819196,2.98
2021-06-30,0.7932932784296265,3.02
2021-07-31,-0.6692802572897997,3.84
2021-08-31,0.4087387008681169,3.7
2021-09-30,-0.2405473233645505,4.01
2021-10-31,0.1310887804878049,3.66
2021-11-30,0.4186633039092053,3.66
2021-12-31,-0.2056968906283974,3.03
2022-01-31,0.161984241583573,2.47
2022-02-28,0.2349272727272728,2.41
2022-03-31,-0.2876230469282579,2.48
2022-04-30,0.2466108452950559,2.78
2022-05-31,-0.4679821569141958,2.77
2022-06-30,0.7698649845737942,3.2
2022-07-31,-0.0208239825938082,2.97
2022-08-31,0.049123184264284,3.03
2022-09-30,0.0704872716812885,2.83
2022-10-31,-0.2795805745441605,2.97
2022-11-30,-0.4021920173131009,3.11
2022-12-31,0.4558241758241759,3.01
2023-01-31,0.7309673879588368,2.72
2023-02-28,-0.5285101250867774,3.1
2023-03-31,0.6646999969344483,3.23
2023-04-30,0.4727260469283068,3.35
2023-05-31,-0.2506182236907746,2.99
2023-06-30,0.1182686379902546,3.43
2023-07-31,-0.0924475524475525,3.93
2023-08-31,-0.0067597813551674,3.77
2023-09-30,-0.0696885958000398,3.09
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
