period_begin,asset_value_momentum,occupancy,rank_desirability,remote_work_share
2019-01-31,0.04971329,0.88059592,35.0,3.7
2019-02-28,0.04971329,0.87920924,35.0,3.72
2019-03-31,0.04971329,0.87920924,35.0,3.94
2019-04-30,0.04765554,0.87920924,35.0,3.77
2019-05-31,0.04765554,0.87920924,35.0,3.89
2019-06-30,0.04498009,0.87920924,35.0,3.67
2019-07-31,0.04498009,0.87920924,35.0,3.25
2019-08-31,0.02606514,0.869076,29.0,3.87
2019-09-30,0.02606514,0.869076,29.0,4.46
2019-10-31,0.01984714,0.86883689,29.0,3.93
2019-11-30,0.01984714,0.86883689,29.0,3.86
2019-12-31,0.01984714,0.86883689,29.0,3.83
2020-01-31,0.01789288,0.86883689,29.0,3.82
2020-02-29,0.03785642,0.87995877,29.0,4.31
2020-03-31,0.03785642,0.87995877,29.0,5.12
2020-04-30,0.02519947,0.87880349,29.0,11.25
2020-05-31,-0.0927014,0.87880349,29.0,11.19
2020-06-30,-0.0927014,0.87880349,29.0,9.67
2020-07-31,-0.06973314,0.87976096,29.0,10.28
2020-08-31,-0.06979837,0.87976283,19.0,10.7
2020-09-30,-0.0751278,0.87976283,19.0,10.58
2020-10-31,-0.0751278,0.87976283,19.0,10.22
2020-11-30,-0.0751278,0.87976283,19.0,9.02
2020-12-31,-0.0751278,0.87976283,19.0,9.49
2021-01-31,-0.07935432,0.88,19.0,9.15
2021-02-28,-0.05974985,0.84846081,9.0,9.69
2021-03-31,-0.05974985,0.84846081,9.0,9.46
2021-04-30,-0.06717155,0.84498829,9.0,10.11
2021-05-31,-0.06717155,0.84498829,9.0,10.16
2021-06-30,-0.06717155,0.84498829,9.0,9.72
2021-07-31,0.02719748,0.844,9.0,9.18
2021-08-31,0.03689889,0.844,9.0,13.4
2021-09-30,0.03689889,0.844,9.0,9.73
2021-10-31,0.06972594,0.844,9.0,10.97
2021-11-30,0.06972594,0.844,9.0,10.84
2021-12-31,0.06972594,0.844,9.0,9.71
2022-01-31,0.06989773,0.844,9.0,13.43
2022-02-28,0.06990354,0.83911149,9.0,12.59
2022-03-31,0.06990354,0.83911149,9.0,11.87
2022-04-30,0.08435615,0.847,9.0,12.86
2022-05-31,0.08435615,0.847,9.0,11.35
2022-06-30,0.08435615,0.847,9.0,10.77
2022-07-31,0.06505401,0.847,9.0,10.56
2022-08-31,0.0054976,0.847,10.0,10.6
2022-09-30,-0.01979986,0.847,10.0,11.78
2022-10-31,-0.01979986,0.847,10.0,13.74
2022-11-30,-0.13654152,0.847,10.0,13.77
2022-12-31,-0.13654152,0.847,10.0,14.21
2023-01-31,-0.12225694,0.847,10.0,13.7
2023-02-28,-0.19998861,0.84893062,4.0,11.8
2023-03-31,-0.19998861,0.84893062,4.0,11.84
2023-04-30,-0.33549552,0.848,4.0,11.87
2023-05-31,-0.33549552,0.848,4.0,10.71
2023-06-30,-0.34013529,0.848,4.0,10.27
2023-07-31,-0.34013529,0.848,4.0,10.32
2023-08-31,-0.39786186,0.848,7.0,10.22
2023-09-30,,,,
2023-10-31,,,,
2023-11-30,,,,
2023-12-31,,,,
2024-01-31,,,,
2024-02-29,,,,
2024-03-31,,,,
2024-04-30,,,,
2024-05-31,,,,
2024-06-30,,,,
2024-07-31,,,,
2024-08-31,,,,
2024-09-30,,,,
2024-10-31,,,,
2024-11-30,,,,
2024-12-31,,,,
2025-01-31,,,,
2025-02-28,,,,
2025-03-31,,,,
2025-04-30,,,,
2025-05-31,,,,
2025-06-30,,,,
2025-07-31,,,,
2025-08-31,,,,
2025-09-30,,,,
2025-10-31,,,,
2025-11-30,,,,
2025-12-31,,,,
