period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,3.01
2019-02-28,0.0721678084913619,3.24
2019-03-31,-0.0439297444307055,3.04
2019-04-30,-0.0008116883116883,3.03
2019-05-31,0.0125961059720658,3.48
2019-06-30,0.0188582944705473,3.35
2019-07-31,0.0062075738967368,3.16
2019-08-31,0.0503365542944809,3.42
2019-09-30,-0.0582734320938835,3.79
2019-10-31,0.0352810948777058,4.06
2019-11-30,-0.0100577562134364,3.03
2019-12-31,0.0310844080030952,3.72
2020-01-31,0.0075722527700463,3.51
2020-02-29,-0.0128466644903437,3.55
2020-03-31,0.0226565650352321,4.81
2020-04-30,0.0385750776494406,10.11
2020-05-31,-0.0655547496395001,9.45
2020-06-30,-0.0245506081172355,8.32
2020-07-31,0.0283385789329968,8.88
2020-08-31,0.0353442067741556,9.25
2020-09-30,0.0175768147054879,10.97
2020-10-31,-0.042042042042042,9.53
2020-11-30,0.0570714575172226,9.63
2020-12-31,-0.0181338971376089,9.41
2021-01-31,-0.012568306010929,9.23
2021-02-28,0.0355029585798818,9.79
2021-03-31,0.0036587872559095,8.99
2021-04-30,0.004234291799787,8.54
2021-05-31,0.0701336198213926,8.75
2021-06-30,0.0210343574629576,8.06
2021-07-31,-0.0204597074588898,9.54
2021-08-31,0.0626845780691933,14.35
2021-09-30,-0.0141049517966694,10.46
2021-10-31,-0.0192531662050307,9.74
2021-11-30,0.0414309216611639,10.46
2021-12-31,0.0453584018801409,9.67
2022-01-31,0.021135676492819,13.88
2022-02-28,0.0346093276801939,11.98
2022-03-31,0.0181441581560259,10.86
2022-04-30,0.0186268739396875,13.41
2022-05-31,0.0695743620099973,12.71
2022-06-30,0.03515354516801,11.44
2022-07-31,0.0278531262795795,10.67
2022-08-31,-0.0229693801215328,10.66
2022-09-30,-0.0175970339728915,11.03
2022-10-31,-0.0088684267709692,13.55
2022-11-30,0.0217888829670502,12.45
2022-12-31,-0.0493461941942351,13.55
2023-01-31,0.0257777777777779,15.17
2023-02-28,0.0219486081370448,12.34
2023-03-31,-0.0261233899244809,11.84
2023-04-30,0.0236297436190693,12.52
2023-05-31,0.0097738664179973,11.16
2023-06-30,0.0083931228612501,11.0
2023-07-31,-0.0244045090347689,10.45
2023-08-31,-0.0085018841293724,10.95
2023-09-30,0.0139534883720933,10.64
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
