period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,125000.0,205000.0,124.6288798920378,121.45106911542898,20.0,12.0,15.0,91.0,4.6,75.0,0.9618677366421116,0.1,,0.0833333333333333,5.74,0.0,FL,Pensacola,Condo
2019-02-28,252500.0,210950.0,153.2652388671104,127.3925343000046,12.0,8.0,31.0,103.0,8.599999999999998,89.0,0.9667704729089112,0.0833333333333333,,0.25,7.17,0.2297730590203444,FL,Pensacola,Condo
2019-03-31,392500.0,207000.0,244.8275145757454,120.24537279682876,16.0,6.0,22.0,93.0,5.8,121.0,0.9770602671365676,0.125,,0.1666666666666666,5.2,0.5974105830221856,FL,Pensacola,Condo
2019-04-30,179500.0,215000.0,218.75,118.0516694738278,17.0,9.0,17.0,92.0,5.4,95.0,0.9519433165618658,0.0,,0.0,6.29,-0.10651382309269597,FL,Pensacola,Condo
2019-05-31,332000.0,235500.0,237.06896551724137,132.72727272727272,25.0,13.0,22.0,87.0,3.5,107.0,0.9647933550340624,0.04,,0.0,7.68,0.08374384236453203,FL,Pensacola,Condo
2019-06-30,247750.0,227950.0,201.23751628310896,131.87248413944246,16.0,13.0,20.0,88.0,5.5,61.0,0.972996752272135,0.0625,,0.0,5.24,-0.1511435676785221,FL,Pensacola,Condo
2019-07-31,211250.0,207450.0,199.4871794871795,122.18923611111111,16.0,8.0,21.0,88.0,5.5,93.0,0.9681759731117164,0.0,,0.0,5.78,-0.008697865230392843,FL,Pensacola,Condo
2019-08-31,420000.0,217000.0,290.0858814647037,122.30317725902133,14.0,9.0,24.0,91.0,6.5,100.0,0.9593938924367906,0.1428571428571428,,0.1111111111111111,4.23,0.4541580176251212,FL,Pensacola,Condo
2019-09-30,305000.0,250000.0,206.2807881773399,132.78388278388277,19.0,10.0,19.0,89.0,4.7,100.0,0.9805088840480696,0.0526315789473684,,0.0,6.14,-0.2888975253266878,FL,Pensacola,Condo
2019-10-31,297500.0,200000.0,267.1665351223362,120.05649717514125,21.0,12.0,18.0,84.0,4.0,88.0,0.9653727340473968,0.0,,0.0833333333333333,5.3,0.2951595613094746,FL,Pensacola,Condo
2019-11-30,428000.0,239900.0,280.10302640051515,132.15144230769232,19.0,9.0,21.0,84.0,4.4,66.0,0.9741100924976892,0.0,,0.0,4.56,0.048421076660126294,FL,Pensacola,Condo
2019-12-31,372750.0,216500.0,237.20417896002124,131.8253986866792,14.0,9.0,14.0,79.0,5.6,155.0,0.962869628710149,0.0714285714285714,,0.2222222222222222,4.94,-0.15315381626456792,FL,Pensacola,Condo
2020-01-31,189000.0,239000.0,182.29758747000128,135.71428571428572,12.0,7.0,26.0,92.0,7.7,46.0,0.9743808116674908,0.0,,0.2857142857142857,5.15,-0.23147396361543027,FL,Pensacola,Condo
2020-02-29,146000.0,249000.0,160.82608695652175,133.44017094017093,16.0,11.0,17.0,86.0,5.4,72.0,0.9525318355730532,0.0,,0.0,3.53,-0.11778269154007792,FL,Pensacola,Condo
2020-03-31,430000.0,241499.5,321.7436429683446,136.08326371484267,17.0,10.0,16.0,82.0,4.8,63.0,0.9700739464460402,0.0588235294117647,,0.0,3.9,1.0005687451397471,FL,Pensacola,Condo
2020-04-30,227000.0,234500.0,190.8396946564885,133.54700854700857,9.0,7.0,22.0,88.0,9.8,153.0,0.9557738916050708,0.0,,0.0,3.1,-0.40685791676926886,FL,Pensacola,Condo
2020-05-31,135000.0,235000.0,137.86160420775803,139.75323408895483,16.0,8.0,20.0,91.0,5.7,81.0,0.9349396859316724,0.0,,0.125,2.64,-0.27760519395134764,FL,Pensacola,Condo
2020-06-30,290000.0,260000.0,200.22246941045609,140.11208967173738,13.0,7.0,24.0,100.0,7.7,69.0,0.954094513149444,0.0769230769230769,,0.2857142857142857,2.41,0.45234396887417594,FL,Pensacola,Condo
2020-07-31,327000.0,259900.0,215.54400508788007,148.7190082644628,34.0,20.0,23.0,85.0,2.5,81.0,0.9705677898105304,0.0294117647058823,,0.05,4.74,0.07652255874446756,FL,Pensacola,Condo
2020-08-31,372500.0,264950.0,277.1616541353383,146.99068156901507,21.0,17.0,21.0,79.0,3.8,50.0,0.97365397485666,0.0476190476190476,,0.0588235294117647,5.23,0.28587039116367885,FL,Pensacola,Condo
2020-09-30,373500.0,229900.0,185.9981515711645,142.26190476190476,22.0,13.0,13.0,70.0,3.2,85.0,0.965735971572474,0.0454545454545454,,0.0,5.28,-0.3289181645584298,FL,Pensacola,Condo
2020-10-31,335900.0,249500.0,224.7536945812808,153.0669378692244,15.0,9.0,9.0,57.0,3.8,84.0,0.97557381689827,0.0666666666666666,,0.0,6.36,0.208365205152526,FL,Pensacola,Condo
2020-11-30,350000.0,244900.0,235.69023569023568,142.4812030075188,9.0,4.0,13.0,58.0,6.4,93.0,0.9737496317099572,0.0,,0.0,6.84,0.04866011715326768,FL,Pensacola,Condo
2020-12-31,405000.0,222450.0,211.7588440458396,137.65018586050775,19.0,8.0,8.0,48.0,2.5,97.0,0.972535711745012,0.0526315789473684,,0.0,5.53,-0.10153747597693763,FL,Pensacola,Condo
2021-01-31,270000.0,246500.0,247.41707449700925,141.75531914893617,11.0,5.0,26.0,59.0,5.4,95.0,0.9750846872567492,0.0,,0.4,6.15,0.1683907494482293,FL,Pensacola,Condo
2021-02-28,281500.0,269092.5,229.4478527607362,166.82569974554707,17.0,11.0,19.0,59.0,3.5,43.0,0.9680682434586132,0.1176470588235294,,0.1818181818181818,6.29,-0.07262725005056292,FL,Pensacola,Condo
2021-03-31,450000.0,246750.0,271.34502923976606,144.7637728125533,29.0,23.0,30.0,56.0,1.9,66.0,0.981113694805175,0.1724137931034482,0.0535714285714285,0.3043478260869565,7.92,0.1825999937455045,FL,Pensacola,Condo
2021-04-30,376500.0,255000.0,229.3008715422509,157.39528695340687,32.0,25.0,30.0,53.0,1.7,44.0,0.9764466996935038,0.0625,0.1132075471698113,0.16,7.19,-0.15494721910075637,FL,Pensacola,Condo
2021-05-31,402000.0,275000.0,275.7683691615176,163.01128185737107,30.0,18.0,31.0,57.0,1.9,50.0,0.9824656038356728,0.1333333333333333,0.0526315789473684,0.1666666666666666,8.68,0.20264858701465793,FL,Pensacola,Condo
2021-06-30,359000.0,269000.0,244.6034854552656,154.4837980406933,40.0,36.0,25.0,43.0,1.1,47.0,0.985744878636695,0.125,0.1395348837209302,0.1944444444444444,6.11,-0.11301108898388101,FL,Pensacola,Condo
2021-07-31,407500.0,269900.0,258.79684972678365,160.0299016839433,24.0,20.0,24.0,43.0,1.8,41.0,0.9989891702591592,0.25,0.2093023255813953,0.25,7.58,0.05802600991192253,FL,Pensacola,Condo
2021-08-31,405500.0,265500.0,251.5984654731457,162.03703703703704,22.0,16.0,23.0,47.0,2.1,26.0,0.9816325642997946,0.1363636363636363,0.1702127659574468,0.375,7.46,-0.027814806328737784,FL,Pensacola,Condo
2021-09-30,281500.0,275000.0,255.28461064505427,164.23877327491786,18.0,16.0,31.0,58.0,3.2,37.0,1.0187144491674427,0.5,0.2068965517241379,0.25,8.93,0.014650904825578293,FL,Pensacola,Condo
2021-10-31,393928.5,296950.0,248.87574393152488,178.18531812709455,19.0,16.0,28.0,68.0,3.6,57.0,0.9953214561390464,0.1578947368421052,0.088235294117647,0.25,6.96,-0.025104790677884736,FL,Pensacola,Condo
2021-11-30,284500.0,284500.0,263.84268884268886,177.55344418052258,22.0,21.0,28.0,72.0,3.3,40.0,0.9800263412235752,0.1363636363636363,0.0833333333333333,0.0952380952380952,7.03,0.06013822269189051,FL,Pensacola,Condo
2021-12-31,267500.0,245000.0,256.14931433896953,161.39044072004967,32.0,26.0,20.0,58.0,1.8,57.0,0.9845222047506036,0.09375,0.0689655172413793,0.1538461538461538,7.2,-0.029158945193688335,FL,Pensacola,Condo
2022-01-31,375000.0,295000.0,261.5132037867464,185.09485094850947,21.0,20.0,16.0,51.0,2.4,49.0,0.990359275381508,0.1428571428571428,0.0392156862745098,0.2,6.02,0.02094047942942634,FL,Pensacola,Condo
2022-02-28,415000.0,312500.0,270.74542897327706,184.49656750572083,21.0,22.0,15.0,37.0,1.8,65.0,0.9791183838064588,0.0476190476190476,0.081081081081081,0.4545454545454545,7.07,0.03530309388912989,FL,Pensacola,Condo
2022-03-31,447500.0,299999.5,325.31479680069174,186.51892869392825,26.0,10.0,22.0,41.0,1.6,55.0,0.977279837929836,0.1923076923076923,0.1951219512195122,0.2999999999999999,7.79,0.20155231441710053,FL,Pensacola,Condo
2022-04-30,272500.0,326750.0,249.3975734163448,191.7852321174105,12.0,11.0,32.0,54.0,4.5,39.0,0.9846325445694256,0.3333333333333333,0.0925925925925925,0.1818181818181818,4.91,-0.23336541753081885,FL,Pensacola,Condo
2022-05-31,207500.0,300000.0,243.75,189.49468085106383,24.0,26.0,19.0,45.0,1.9,46.0,0.9852674385759252,0.25,0.2222222222222222,0.2307692307692307,6.9,-0.02264486113069253,FL,Pensacola,Condo
2022-06-30,420000.0,349000.0,303.852788959172,211.55217016384017,31.0,23.0,32.0,48.0,1.5,34.0,0.9905698503958074,0.2903225806451613,0.1666666666666666,0.3913043478260869,5.01,0.2465755444478852,FL,Pensacola,Condo
2022-07-31,420000.0,289900.0,287.06624605678235,185.03766263410185,15.0,11.0,24.0,60.0,4.0,38.0,0.9920233211568787,0.1333333333333333,0.1666666666666666,0.1818181818181818,4.97,-0.055245643654912246,FL,Pensacola,Condo
2022-08-31,480500.0,299250.0,328.064924601755,181.95575205448725,14.0,12.0,29.0,70.0,5.0,45.0,0.960497929058199,0.0,0.2,0.1666666666666666,5.62,0.14281957251380595,FL,Pensacola,Condo
2022-09-30,250000.0,304950.0,251.4146244271768,197.08637270464413,22.0,27.0,19.0,59.0,2.7,47.0,0.9785290284270614,0.1363636363636363,0.2372881355932203,0.1851851851851851,5.84,-0.2336436919235595,FL,Pensacola,Condo
2022-10-31,415000.0,323900.0,367.85512167515566,192.748967416246,15.0,12.0,19.0,63.0,4.2,73.0,0.9640677206358402,0.0666666666666666,0.2222222222222222,0.3333333333333333,5.9,0.46314130497888484,FL,Pensacola,Condo
2022-11-30,487500.0,299950.0,366.1971830985916,196.34051845590307,15.0,11.0,15.0,62.0,4.1,70.0,0.9513483946626908,0.0666666666666666,0.2580645161290322,0.2727272727272727,4.63,-0.004507042253521054,FL,Pensacola,Condo
2022-12-31,260000.0,349000.0,288.14102564102564,220.7498160412068,7.0,6.0,15.0,64.0,9.1,51.0,0.9403867521537118,0.0,0.171875,0.1666666666666666,6.38,-0.2131533530571994,FL,Pensacola,Condo
2023-01-31,178500.0,299000.0,227.98391561077625,197.10843373493967,8.0,10.0,25.0,73.0,9.1,36.0,0.979495095900322,0.125,0.2054794520547945,0.2999999999999999,5.69,-0.2087766221294528,FL,Pensacola,Condo
2023-02-28,395000.0,349000.0,279.6875,208.92680688876345,19.0,13.0,15.0,69.0,3.6,66.0,0.9415839367380552,0.1052631578947368,0.0579710144927536,0.3076923076923077,6.46,0.22678610572464364,FL,Pensacola,Condo
2023-03-31,414750.0,348900.0,301.08792683260765,198.02663854578915,16.0,10.0,21.0,68.0,4.3,54.0,0.9763046952005404,0.1875,0.2058823529411764,0.1,5.7,0.07651549258585977,FL,Pensacola,Condo
2023-04-30,537500.0,325000.0,314.81640356897736,195.1331496786042,20.0,9.0,26.0,76.0,3.8,99.0,0.9761444928635647,0.05,0.2105263157894736,0.1111111111111111,6.26,0.045596237885693114,FL,Pensacola,Condo
2023-05-31,285000.0,344900.0,256.7567567567568,203.4883720930233,19.0,16.0,14.0,65.0,3.4,59.0,0.9585131424851902,0.0,0.2615384615384615,0.125,5.95,-0.18442382974335558,FL,Pensacola,Condo
2023-06-30,492450.0,292500.0,342.9487179487179,192.0487516869096,22.0,10.0,28.0,72.0,3.3,76.0,0.9800532716268848,0.1363636363636363,0.2777777777777777,0.1,4.0,0.3356950067476381,FL,Pensacola,Condo
2023-07-31,420000.0,299000.0,275.1581368602645,201.0933229207341,13.0,11.0,22.0,72.0,5.5,95.0,0.9623566631088492,0.0769230769230769,0.2083333333333333,0.1818181818181818,4.35,-0.19766973177193892,FL,Pensacola,Condo
2023-08-31,352000.0,289000.0,282.92121909143185,196.25246548323472,21.0,18.0,18.0,66.0,3.1,50.0,0.972063036841794,0.1428571428571428,0.3939393939393939,0.0555555555555555,4.8,0.028213166144200663,FL,Pensacola,Condo
2023-09-30,397500.0,336500.0,360.4636104636105,210.9435345238448,26.0,17.0,38.0,77.0,3.0,71.0,0.9711284755480456,0.0,0.2467532467532467,0.3529411764705882,5.16,0.2740776800736153,FL,Pensacola,Condo
