period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,5.74
2019-02-28,0.0253905551313931,7.17
2019-03-31,0.0230795636060825,5.2
2019-04-30,0.0284098401338619,6.29
2019-05-31,0.0292007465006471,7.68
2019-06-30,0.0317384458139033,5.24
2019-07-31,-0.0323392633147487,5.78
2019-08-31,0.0047945864188108,4.23
2019-09-30,0.047059821288055,6.14
2019-10-31,-0.0992571987428307,5.3
2019-11-30,0.0923836919926719,4.56
2019-12-31,0.0041824687883391,4.94
2020-01-31,0.0082988772491787,5.15
2020-02-29,0.0138930075772181,3.53
2020-03-31,-0.0280129998042404,3.9
2020-04-30,0.0758479178601863,3.1
2020-05-31,-0.0601392386313138,2.64
2020-06-30,0.0760024549918165,2.41
2020-07-31,0.0023278060326139,4.74
2020-08-31,-0.0240329272071284,5.23
2020-09-30,0.0818876684921086,5.28
2020-10-31,-0.0057744791319976,6.36
2020-11-30,0.1163635721471876,6.84
2020-12-31,-0.0336260220996743,5.53
2021-01-31,-0.1460141013835325,6.15
2021-02-28,0.110594971672816,6.29
2021-03-31,0.0137287621359223,7.92
2021-04-30,0.0255032776848229,7.19
2021-05-31,0.0576860577214184,8.68
2021-06-30,0.0176723671344081,6.11
2021-07-31,-0.0057761361765114,7.58
2021-08-31,-0.02778540297717,7.46
2021-09-30,0.0643068063973266,8.93
2021-10-31,-0.0606796116504855,6.96
2021-11-30,0.0267945700150498,7.03
2021-12-31,0.0674199098477623,7.2
2022-01-31,0.0294334069168507,6.02
2022-02-28,-0.0518047340978085,7.07
2022-03-31,0.0782674547306669,7.79
2022-04-30,-0.0230080223526252,4.91
2022-05-31,0.0450517910209589,6.9
2022-06-30,0.0556250057123381,5.01
2022-07-31,-0.0144468114498436,4.97
2022-08-31,-0.0311215753424655,5.62
2022-09-30,-0.0524185491927428,5.84
2022-10-31,0.0399792890875791,5.9
2022-11-30,-0.0709271629367177,4.63
2022-12-31,0.1058541500541685,6.38
2023-01-31,0.012438434489395,5.69
2023-02-28,-0.0450350150671171,6.46
2023-03-31,0.0772908579365982,5.7
2023-04-30,-0.0138746629384355,6.26
2023-05-31,0.0005669380805946,5.95
2023-06-30,0.0363926142566681,4.0
2023-07-31,-0.0643313685988433,4.35
2023-08-31,0.0919501027151448,4.8
2023-09-30,0.0210775483541991,5.16
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
