period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,277645.0,,116.7083260150464,,2.0,1.0,,9.0,4.5,165.0,0.938462893999556,0.0,0.3333333333333333,0.0,0.0,0.0,FL,Vero Beach,Townhouse
2019-02-28,174100.5,284500.0,105.37869822485207,151.2481089258699,4.0,6.0,5.0,8.0,2.0,35.0,0.9188492691411254,0.0,0.125,0.0,0.0,-0.0970764312799215,FL,Vero Beach,Townhouse
2019-03-31,182585.0,266000.0,108.03846153846152,141.27604166666666,5.0,1.0,1.0,6.0,1.2,69.0,0.9502208326378058,0.0,0.3333333333333333,0.0,0.37,0.02524004716716255,FL,Vero Beach,Townhouse
2019-04-30,237114.0,,147.82668329177056,,3.0,1.0,,4.0,1.3,58.0,0.931557088867948,0.0,0.5,0.0,0.37,0.3682783074353988,FL,Vero Beach,Townhouse
2019-05-31,300000.0,230000.0,121.11425111021396,142.59259259259258,1.0,,1.0,4.0,4.0,517.0,0.967741935483871,0.0,0.5,,0.37,-0.1807010181567381,FL,Vero Beach,Townhouse
2019-06-30,,,176.81135074308622,,,,,,,,,,,,0.0,0.4598723859687488,FL,Vero Beach,Townhouse
2019-07-31,191730.0,242450.0,113.44970414201184,151.06534440344404,1.0,,1.0,5.0,5.0,222.0,0.9986457628001458,0.0,1.0,,0.0,-0.358357347165688,FL,Vero Beach,Townhouse
2019-08-31,,,176.81135074308622,,,,,,,,,,,,0.0,0.5584998839817228,FL,Vero Beach,Townhouse
2019-09-30,165000.0,221500.0,103.125,149.23875511131305,1.0,1.0,1.0,5.0,5.0,14.0,0.9433962264150944,0.0,0.2,1.0,0.0,-0.41675124607896563,FL,Vero Beach,Townhouse
2019-10-31,105000.0,237500.0,127.27272727272728,144.96161186731774,1.0,,1.0,5.0,5.0,112.0,0.9545454545454544,0.0,0.8,,0.0,0.2341597796143251,FL,Vero Beach,Townhouse
2019-11-30,,,176.81135074308622,,,,,,,,,,,,0.52,0.3892320415528203,FL,Vero Beach,Townhouse
2019-12-31,110000.0,,98.2142857142857,,1.0,,,6.0,6.0,40.0,0.9565217391304348,0.0,0.6666666666666666,,1.0,-0.44452499626568165,FL,Vero Beach,Townhouse
2020-01-31,,,176.81135074308622,,,,,,,,,,,,1.36,0.8002610257477873,FL,Vero Beach,Townhouse
2020-02-29,167000.0,259900.0,98.3510011778563,157.33333333333334,1.0,1.0,3.0,6.0,6.0,185.0,0.9542857142857142,0.0,0.6666666666666666,0.0,1.14,-0.4437517683988279,FL,Vero Beach,Townhouse
2020-03-31,,,176.81135074308622,,,,,,,,,,,,1.41,0.7977585243219185,FL,Vero Beach,Townhouse
2020-04-30,,,176.81135074308622,,,,,,,,,,,,2.07,0.0,FL,Vero Beach,Townhouse
2020-05-31,,,176.81135074308622,,,,,,,,,,,,2.33,0.0,FL,Vero Beach,Townhouse
2020-06-30,225000.0,245000.0,140.625,158.02725802725803,1.0,,1.0,4.0,4.0,432.0,0.9414225941422592,0.0,0.25,,2.78,-0.20466079010768035,FL,Vero Beach,Townhouse
2020-07-31,309000.0,279500.0,195.9851551956816,162.39340808557233,2.0,,1.0,4.0,2.0,283.0,0.9253526470243032,0.0,1.0,,2.73,0.39367221472484704,FL,Vero Beach,Townhouse
2020-08-31,247218.0,269950.0,154.51125,160.68222621184918,1.0,1.0,1.0,4.0,4.0,75.0,1.013138698096815,1.0,0.5,0.0,3.47,-0.2116175847822349,FL,Vero Beach,Townhouse
2020-09-30,820000.0,,301.69242089771893,,1.0,,,4.0,4.0,46.0,0.9479768786127168,0.0,0.5,,2.96,0.9525595767150867,FL,Vero Beach,Townhouse
2020-10-31,407500.0,224750.0,163.93467643467642,156.81342687551455,2.0,1.0,1.0,3.0,1.5,143.0,0.9871060171919772,0.0,0.3333333333333333,0.0,3.17,-0.45661652372018235,FL,Vero Beach,Townhouse
2020-11-30,192500.0,,114.65157832042884,,1.0,1.0,,1.0,1.0,151.0,0.9994807892004152,0.0,,0.0,2.41,-0.30062643966534786,FL,Vero Beach,Townhouse
2020-12-31,137000.0,,85.625,,1.0,,,1.0,1.0,17.0,0.9654686398872444,0.0,1.0,,2.37,-0.25317207792207796,FL,Vero Beach,Townhouse
2021-01-31,,,176.81135074308622,,,,,,,,,,,,1.93,1.0649500816710802,FL,Vero Beach,Townhouse
2021-02-28,,,176.81135074308622,,,,,,,,,,,,2.21,0.0,FL,Vero Beach,Townhouse
2021-03-31,455900.0,,271.3690476190476,,1.0,,,3.0,3.0,4.0,1.0131111111111113,1.0,0.3333333333333333,,2.31,0.5347942678937925,FL,Vero Beach,Townhouse
2021-04-30,,,176.81135074308622,,,,,,,,,,,,2.53,-0.348446875963183,FL,Vero Beach,Townhouse
2021-05-31,275000.0,300000.0,121.61366313309776,196.35825108166577,3.0,2.0,1.0,2.0,0.6999999999999998,89.0,0.9447307078886026,0.0,,0.0,2.55,-0.3121840729003471,FL,Vero Beach,Townhouse
2021-06-30,,,176.81135074308622,,,,,,,,,,,,2.56,0.45387735380997785,FL,Vero Beach,Townhouse
2021-07-31,235000.0,265000.0,139.4658753709199,188.90028959591223,3.0,2.0,3.0,5.0,1.7,70.0,0.9524355502718888,0.0,0.2,0.0,2.45,-0.21121650400392433,FL,Vero Beach,Townhouse
2021-08-31,235000.0,347000.0,139.0532544378698,213.41463414634143,1.0,3.0,2.0,4.0,4.0,41.0,0.940376150460184,0.0,0.25,0.3333333333333333,2.39,-0.002958579881656931,FL,Vero Beach,Townhouse
2021-09-30,265000.0,,157.2700296735905,,2.0,,,4.0,2.0,12.0,1.0,0.0,,,2.52,0.1310057453122042,FL,Vero Beach,Townhouse
2021-10-31,250000.0,,132.8374070138151,,1.0,1.0,,3.0,3.0,69.0,1.0040160642570282,1.0,0.3333333333333333,0.0,2.58,-0.1553546006857417,FL,Vero Beach,Townhouse
2021-11-30,275000.0,325000.0,162.72189349112426,208.3333333333333,1.0,2.0,1.0,2.0,2.0,4.0,1.0,0.0,1.0,0.5,2.55,0.22497041420118347,FL,Vero Beach,Townhouse
2021-12-31,240000.0,256000.0,141.3427561837456,194.2446043165468,1.0,,2.0,4.0,4.0,84.0,1.0,0.0,,,2.24,-0.13138451654352712,FL,Vero Beach,Townhouse
2022-01-31,,,176.81135074308622,,,,,,,,,,,,2.11,0.250940306507335,FL,Vero Beach,Townhouse
2022-02-28,275000.0,331950.0,177.60385310054184,217.51740139211137,3.0,3.0,3.0,3.0,1.0,59.0,1.019197424399218,0.6666666666666666,,0.3333333333333333,2.18,0.0044821916360289205,FL,Vero Beach,Townhouse
2022-03-31,265000.0,349000.0,161.19221411192214,227.1694684234439,3.0,2.0,3.0,4.0,1.3,7.0,0.9868024132730016,0.3333333333333333,0.25,0.0,2.3,-0.09240587240710951,FL,Vero Beach,Townhouse
2022-04-30,315000.0,,191.9561243144424,,1.0,1.0,,3.0,3.0,22.0,0.9545454545454544,0.0,,1.0,2.72,0.19085233348280495,FL,Vero Beach,Townhouse
2022-05-31,120000.0,379450.0,107.14285714285714,235.7155732883459,3.0,2.0,2.0,3.0,1.0,229.0,0.874430538582913,0.0,0.6666666666666666,0.5,3.04,-0.4418367346938775,FL,Vero Beach,Townhouse
