period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.0
2019-02-28,0.1784081010452962,0.0
2019-03-31,1.114345865230587,0.0
2019-04-30,0.0,0.0
2019-05-31,0.0,0.0
2019-06-30,-0.3209473647746295,0.0
2019-07-31,0.2056515542563286,0.0
2019-08-31,-0.081846112519517,0.0
2019-09-30,-0.3089778468713563,0.0
2019-10-31,0.9251620983802784,0.0
2019-11-30,-0.5707845644619959,0.09
2019-12-31,1.3298323340737743,0.5
2020-01-31,-0.5069295971557276,0.58
2020-02-29,0.8461538461538465,0.97
2020-03-31,0.0985584686123259,0.64
2020-04-30,0.0,0.85
2020-05-31,-0.2410583015044041,1.01
2020-06-30,-0.0678887680596549,1.47
2020-07-31,0.4135912356113067,1.74
2020-08-31,0.0,2.03
2020-09-30,0.0,2.99
2020-10-31,-0.1779850180247262,3.54
2020-11-30,-0.2691820413334389,3.73
2020-12-31,0.6646044683124501,3.72
2021-01-31,-0.3344716265305812,3.37
2021-02-28,0.2737111791039295,4.22
2021-03-31,-0.1765413977595672,4.66
2021-04-30,0.2976557773744706,5.02
2021-05-31,0.9471203869739432,3.89
2021-06-30,-0.4330191579380513,2.67
2021-07-31,-0.5859631867653605,2.49
2021-08-31,0.2442141909814323,2.93
2021-09-30,0.5453891922482756,3.04
2021-10-31,0.2022699004975121,3.07
2021-11-30,-0.0151515151515148,2.72
2021-12-31,0.026854802002731,2.31
2022-01-31,0.0331124321843574,1.89
2022-02-28,0.0,2.13
2022-03-31,0.0668025232040259,2.73
2022-04-30,0.5120041377714311,3.34
2022-05-31,-0.3614664749972427,2.96
2022-06-30,0.5843189368770769,3.21
2022-07-31,-0.2321428571428574,2.94
2022-08-31,-0.0599118165784832,3.17
2022-09-30,0.0744747438742146,3.32
2022-10-31,-0.0304878048780485,3.66
2022-11-30,0.2963965059399021,3.53
2022-12-31,-0.1278716907150806,2.75
2023-01-31,-0.0065937558951141,2.41
2023-02-28,-0.2744070783409541,2.88
2023-03-31,0.0,2.92
2023-04-30,0.3983056866236079,2.9
2023-05-31,0.0473184890877553,2.05
2023-06-30,-0.2135814185814184,2.42
2023-07-31,-0.1662463265472841,2.36
2023-08-31,0.9730648795996252,2.98
2023-09-30,-0.1182028133529288,3.46
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
