period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.0
2019-02-28,0.0376195323364538,0.0
2019-03-31,0.025093309859155,0.0
2019-04-30,-0.0106769165065129,0.7
2019-05-31,0.0586627417351379,0.85
2019-06-30,0.0326239932733471,1.19
2019-07-31,0.0140160894212311,1.12
2019-08-31,-0.0245310768897596,1.35
2019-09-30,0.003902236108741,1.42
2019-10-31,-0.0072097617829325,1.48
2019-11-30,-0.0525906395957218,1.48
2019-12-31,0.0726689673560783,2.52
2020-01-31,0.0568450039339103,2.56
2020-02-29,-0.0050300058477745,3.15
2020-03-31,-0.0143322087026012,2.68
2020-04-30,-0.0052212389380529,3.54
2020-05-31,0.0290628224504734,3.3
2020-06-30,-0.0074152416289753,3.26
2020-07-31,-0.0242069498417636,2.63
2020-08-31,0.0845416919507242,3.17
2020-09-30,-0.044562307094126,3.16
2020-10-31,0.0388692502501697,3.81
2020-11-30,0.0539741844647181,4.07
2020-12-31,0.054059443859711,4.11
2021-01-31,-0.0752283502977031,4.07
2021-02-28,0.0353937739191942,3.9
2021-03-31,0.0624987142765744,4.52
2021-04-30,-0.0077497332586928,4.17
2021-05-31,0.0134233234609395,3.94
2021-06-30,0.0679903857675527,3.87
2021-07-31,0.0502850618898627,4.57
2021-08-31,0.0192661697140834,4.81
2021-09-30,0.0575944406648205,4.65
2021-10-31,-0.0399945643911201,4.87
2021-11-30,0.0496664135825404,4.83
2021-12-31,-0.0497605113452754,5.11
2022-01-31,0.0504224270712378,4.35
2022-02-28,0.0265399222454438,4.59
2022-03-31,0.0487132352941175,4.42
2022-04-30,0.042452830188679,4.27
2022-05-31,-0.0010832713489756,4.75
2022-06-30,0.0345903003418612,5.34
2022-07-31,-0.0164433037951641,6.5
2022-08-31,0.008439984279605,6.07
2022-09-30,-0.0431494892021208,4.93
2022-10-31,0.0954183571979343,3.79
2022-11-30,-0.0533659297261714,3.27
2022-12-31,-0.1735103966451159,3.57
2023-01-31,0.2162180579216355,3.78
2023-02-28,-0.1346219599923865,4.79
2023-03-31,0.204399537674454,5.17
2023-04-30,-0.0191739084381122,4.72
2023-05-31,-0.0267031269011494,3.58
2023-06-30,-0.0159182594697524,2.7
2023-07-31,-0.0866564903320397,2.53
2023-08-31,0.1038915238881963,2.98
2023-09-30,-0.0103026144239346,2.79
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
