period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,3.28
2019-02-28,0.0,3.35
2019-03-31,0.54248806188618,2.67
2019-04-30,-0.351696765304502,2.32
2019-05-31,0.0,3.42
2019-06-30,-0.1505344572258785,2.33
2019-07-31,0.1772107868369496,2.01
2019-08-31,0.0,3.04
2019-09-30,0.0,3.08
2019-10-31,-0.2580153170272383,3.18
2019-11-30,0.3477367160646767,3.02
2019-12-31,-0.242609393680416,4.05
2020-01-31,-0.128952205882353,3.15
2020-02-29,0.2963216467665472,3.21
2020-03-31,0.1692983238465746,1.95
2020-04-30,-0.1626237869554397,6.84
2020-05-31,-0.3578626242587054,5.29
2020-06-30,0.6769122807017549,4.22
2020-07-31,0.109024360824532,4.25
2020-08-31,-0.2157384921692517,4.3
2020-09-30,0.0429933055563152,5.97
2020-10-31,0.222524521674114,4.14
2020-11-30,0.0,5.17
2020-12-31,0.0,6.71
2021-01-31,0.0,6.03
2021-02-28,-0.1561301979508129,6.01
2021-03-31,0.0500992063492065,7.81
2021-04-30,-0.1700680272108843,7.1
2021-05-31,0.3597270204759792,6.61
2021-06-30,-0.0623106182372035,7.43
2021-07-31,0.1292791615742097,8.21
2021-08-31,0.3538714817426633,9.58
2021-09-30,-0.327862933643259,7.02
2021-10-31,0.0595381161323549,8.86
2021-11-30,-0.0205374924382875,8.08
2021-12-31,0.0304707483596931,7.95
2022-01-31,0.0250780260376621,6.98
2022-02-28,-0.0533108319693325,6.86
2022-03-31,0.1670385181334546,7.71
2022-04-30,-0.2125647485304267,7.55
2022-05-31,-0.1436428571428571,6.97
2022-06-30,0.6199059664341438,9.31
2022-07-31,-0.09761044872112,7.48
2022-08-31,-0.1307170347199377,6.18
2022-09-30,0.0,8.28
2022-10-31,0.0,8.47
2022-11-30,0.2950183488160169,9.3
2022-12-31,-0.1986823863840763,8.7
2023-01-31,-0.0363498593500078,9.54
2023-02-28,0.2307597352693238,8.29
2023-03-31,-0.139728997289973,7.81
2023-04-30,0.1530480041978907,7.73
2023-05-31,-0.1808865681573015,8.25
2023-06-30,0.0,7.99
2023-07-31,0.0,7.5
2023-08-31,0.2227677889364061,8.04
2023-09-30,0.1315583075335398,7.37
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
