period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,,,75.66274113737883,,,,,,,,,,,,0.27,0.0,IA,Council Bluffs,Multi-Family (2-4 Unit)
2019-02-28,,,75.66274113737883,,,,,,,,,,,,0.27,0.0,IA,Council Bluffs,Multi-Family (2-4 Unit)
2019-03-31,140000.0,140000.0,74.78632478632478,92.61956865277854,1.0,1.0,2.0,5.0,5.0,25.0,0.9655172413793104,0.0,,0.0,0.63,-0.011583195875269237,IA,Council Bluffs,Multi-Family (2-4 Unit)
2019-04-30,145000.0,153000.0,80.55555555555556,100.76160471948413,1.0,1.0,5.0,9.0,9.0,13.0,1.0,0.0,0.1111111111111111,1.0,0.6,0.07714285714285718,IA,Council Bluffs,Multi-Family (2-4 Unit)
2019-05-31,55000.0,137450.0,31.356898517673887,99.56359102244387,1.0,1.0,1.0,9.0,9.0,70.0,0.9322033898305084,0.0,0.1111111111111111,0.0,0.86,-0.6107419494357724,IA,Council Bluffs,Multi-Family (2-4 Unit)
2019-06-30,83500.0,,48.65967365967366,,1.0,,,8.0,8.0,126.0,0.8349999999999999,0.0,0.125,,0.49,0.5518012290739562,IA,Council Bluffs,Multi-Family (2-4 Unit)
2019-07-31,,,75.66274113737883,,,,,,,,,,,,0.26,0.5549372909190669,IA,Council Bluffs,Multi-Family (2-4 Unit)
2019-08-31,145750.0,153000.0,68.0788210085085,100.91145833333331,2.0,2.0,2.0,7.0,3.5,30.0,0.9606918238993712,0.0,,0.0,0.0,-0.10023321934768936,IA,Council Bluffs,Multi-Family (2-4 Unit)
2019-09-30,103000.0,140000.0,55.429733673167846,101.30246020260492,2.0,,3.0,9.0,4.5,137.0,0.9814335648463388,0.5,,,0.11,-0.18580062268939368,IA,Council Bluffs,Multi-Family (2-4 Unit)
2019-10-31,,,75.66274113737883,,,,,,,,,,,,0.51,0.3650208313016896,IA,Council Bluffs,Multi-Family (2-4 Unit)
2019-11-30,146000.0,132000.0,75.22796352583586,93.35443037974684,5.0,5.0,1.0,5.0,1.0,75.0,0.9615911907487106,0.0,,0.2,0.67,-0.00574625773540971,IA,Council Bluffs,Multi-Family (2-4 Unit)
2019-12-31,91000.0,,54.42583732057416,,1.0,,,5.0,5.0,1.0,0.9528795811518324,0.0,,,0.83,-0.27652119278913534,IA,Council Bluffs,Multi-Family (2-4 Unit)
2020-01-31,,,75.66274113737883,,,,,,,,,,,,0.78,0.3901989360626088,IA,Council Bluffs,Multi-Family (2-4 Unit)
2020-02-29,,,75.66274113737883,,,,,,,,,,,,1.52,0.0,IA,Council Bluffs,Multi-Family (2-4 Unit)
2020-03-31,,,75.66274113737883,,,,,,,,,,,,1.99,0.0,IA,Council Bluffs,Multi-Family (2-4 Unit)
2020-04-30,119500.0,,51.93450661737333,,2.0,1.0,,3.0,1.5,151.0,0.98,0.0,0.3333333333333333,0.0,2.55,-0.31360527207073785,IA,Council Bluffs,Multi-Family (2-4 Unit)
2020-05-31,,,75.66274113737883,,,,,,,,,,,,2.46,0.4568876468746088,IA,Council Bluffs,Multi-Family (2-4 Unit)
2020-06-30,,,75.66274113737883,,,,,,,,,,,,2.55,0.0,IA,Council Bluffs,Multi-Family (2-4 Unit)
2020-07-31,131750.0,155375.0,65.55825898891592,114.65705821163417,4.0,2.0,3.0,4.0,1.0,56.0,0.9191137566137568,0.5,,0.0,2.18,-0.13354633993654108,IA,Council Bluffs,Multi-Family (2-4 Unit)
2020-08-31,162000.0,155000.0,80.0,105.6338028169014,1.0,3.0,2.0,2.0,2.0,50.0,0.9818181818181818,0.0,,0.3333333333333333,2.42,0.2202886597938145,IA,Council Bluffs,Multi-Family (2-4 Unit)
2020-09-30,140000.0,149950.0,68.45965770171149,99.78150036416606,1.0,3.0,2.0,1.0,1.0,65.0,1.0,0.0,,0.6666666666666666,2.04,-0.1442542787286063,IA,Council Bluffs,Multi-Family (2-4 Unit)
2020-10-31,117500.0,150000.0,75.32051282051283,102.6541095890411,1.0,,1.0,2.0,2.0,5.0,0.94,0.0,,,2.49,0.1002174908424911,IA,Council Bluffs,Multi-Family (2-4 Unit)
2020-11-30,,,75.66274113737883,,,,,,,,,,,,2.52,0.004543627015412444,IA,Council Bluffs,Multi-Family (2-4 Unit)
2020-12-31,144000.0,130000.0,109.09090909090908,103.89254385964912,1.0,,2.0,4.0,4.0,1.0,1.0,0.0,,,3.2,0.441804875834932,IA,Council Bluffs,Multi-Family (2-4 Unit)
2021-01-31,,,75.66274113737883,,,,,,,,,,,,3.04,-0.30642487290736065,IA,Council Bluffs,Multi-Family (2-4 Unit)
2021-02-28,165000.0,,95.64777327935222,,3.0,1.0,,2.0,0.6999999999999998,121.0,0.9786363636363636,0.0,,0.0,3.19,0.26413307053847146,IA,Council Bluffs,Multi-Family (2-4 Unit)
2021-03-31,200000.0,150000.0,80.58017727639,105.01212611156022,1.0,1.0,3.0,4.0,4.0,64.0,0.9302325581395348,0.0,,0.0,3.06,-0.15753211482462093,IA,Council Bluffs,Multi-Family (2-4 Unit)
2021-04-30,145000.0,166250.0,72.5,126.58227848101266,2.0,2.0,1.0,3.0,1.5,45.0,1.0,0.0,,0.0,3.91,-0.10027499999999989,IA,Council Bluffs,Multi-Family (2-4 Unit)
