period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,129000.0,347450.0,132.88506191950464,190.87437953417336,15.0,22.0,22.0,58.0,3.9,36.0,0.9601546344330092,0.1333333333333333,0.2068965517241379,0.2272727272727272,0.94,0.0,IL,Arlington Heights,Condo
2019-02-28,136000.0,339900.0,131.0,194.01694501586417,23.0,11.0,23.0,62.0,2.7,61.0,0.9524458132576548,0.0434782608695652,0.2741935483870967,0.4545454545454545,1.0,-0.014185657080451386,IL,Arlington Heights,Condo
2019-03-31,173000.0,324950.0,139.44444444444446,183.48164627363727,13.0,19.0,43.0,79.0,6.1,78.0,0.9707619530850108,0.1538461538461538,0.2278481012658227,0.6842105263157894,1.4,0.06446140797285849,IL,Arlington Heights,Condo
2019-04-30,144500.0,343499.5,133.1818181818182,191.89765458422173,24.0,24.0,36.0,85.0,3.5,24.0,0.9660137508188584,0.0416666666666666,0.3411764705882353,0.2916666666666666,0.9,-0.04491126403477008,IL,Arlington Heights,Condo
2019-05-31,142000.0,339900.0,135.0,185.34817620650955,32.0,26.0,42.0,97.0,3.0,48.0,0.9491858795896329,0.03125,0.2886597938144329,0.3846153846153846,1.44,0.013651877133105783,IL,Arlington Heights,Condo
2019-06-30,148000.0,335000.0,138.97916666666669,198.41024014057007,24.0,31.0,44.0,101.0,4.2,34.0,0.9591658330751988,0.1666666666666666,0.3267326732673267,0.4193548387096774,1.04,0.02947530864197545,IL,Arlington Heights,Condo
2019-07-31,140500.0,337750.0,123.95833333333334,189.91719434973209,32.0,22.0,22.0,90.0,2.8,36.0,0.9620611378163648,0.09375,0.2999999999999999,0.1818181818181818,0.67,-0.1080797481636937,IL,Arlington Heights,Condo
2019-08-31,133500.0,334500.0,147.05882352941177,202.10058661145607,30.0,22.0,29.0,84.0,2.8,59.0,0.9614752511376852,0.0666666666666666,0.4404761904761904,0.3181818181818181,0.57,0.18635689569945613,IL,Arlington Heights,Condo
2019-09-30,165000.0,342900.0,140.1482213438735,189.8581167227576,19.0,20.0,26.0,82.0,4.3,52.0,0.957177191779674,0.0526315789473684,0.4146341463414633,0.25,0.8,-0.04699209486166023,IL,Arlington Heights,Condo
2019-10-31,142500.0,329400.0,127.05882352941175,196.76268115942028,20.0,21.0,25.0,82.0,4.1,52.0,0.942229367182694,0.05,0.3536585365853658,0.2857142857142857,1.4,-0.0933968172335563,IL,Arlington Heights,Condo
2019-11-30,140750.0,304962.5,124.0,192.9226051194781,18.0,13.0,12.0,68.0,3.8,82.0,0.9552333942654024,0.1111111111111111,0.25,0.3846153846153846,1.39,-0.024074074074074026,IL,Arlington Heights,Condo
2019-12-31,132500.0,319900.0,113.63112693757856,196.19157530294288,12.0,13.0,9.0,53.0,2.3,92.0,0.976653361730293,0.5217391304347826,0.1320754716981132,0.0769230769230769,1.57,-0.08361994405178585,IL,Arlington Heights,Condo
2020-01-31,139250.0,365000.0,130.63676907829534,196.26870932117765,12.0,10.0,15.0,52.0,4.3,43.0,0.9687978630130628,0.1666666666666666,0.25,0.5,1.43,0.14965654745339774,IL,Arlington Heights,Condo
2020-02-29,125750.0,364450.0,120.57522123893806,192.70182577719768,10.0,17.0,30.0,56.0,5.6,81.0,0.9665226418038476,0.1,0.1964285714285714,0.7647058823529411,1.11,-0.07701926425727079,IL,Arlington Heights,Condo
