period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,128000.0,102000.0,36.9427337071422,67.04278074866309,5.0,,4.0,19.0,3.8,163.0,0.965203785595889,0.2,0.0526315789473684,0.0,0.0,0.0,IL,Belleville,Multi-Family (2-4 Unit)
2019-02-28,46106.0,107500.0,30.26161638148842,67.47747747747748,4.0,,3.0,18.0,4.5,52.0,0.7794418032786885,0.0,0.1111111111111111,0.5,0.0,-0.18085064788700544,IL,Belleville,Multi-Family (2-4 Unit)
2019-03-31,94282.5,114400.0,52.62926269492304,72.51704842600498,4.0,,2.0,14.0,3.5,10.0,0.9536999201268184,0.0,0.4285714285714285,1.0,0.0,0.7391424843755974,IL,Belleville,Multi-Family (2-4 Unit)
2019-04-30,62000.0,125900.0,49.24098671726755,69.96770721205597,5.0,,7.0,11.0,2.2,126.0,0.9247524667096828,0.0,0.0909090909090909,0.3333333333333333,0.0,-0.06438007686515324,IL,Belleville,Multi-Family (2-4 Unit)
2019-05-31,190000.0,129900.0,49.01960784313726,71.45409074669524,3.0,1.0,3.0,7.0,1.8,61.0,0.9109070282954276,0.0,0.5384615384615384,0.0,0.0,-0.004495825305073864,IL,Belleville,Multi-Family (2-4 Unit)
2019-06-30,87250.0,117950.0,90.49079754601227,68.67196479669127,1.0,,3.0,7.5,7.5,10.0,0.9708333333333334,0.0,0.2307692307692307,0.0,0.0,0.8460122699386503,IL,Belleville,Multi-Family (2-4 Unit)
2019-07-31,228900.0,109900.0,79.149377593361,73.24046920821114,1.0,,8.0,18.0,18.0,107.0,0.9956502827316224,0.0,0.4444444444444444,0.5,0.0,-0.12533230184963784,IL,Belleville,Multi-Family (2-4 Unit)
2019-08-31,227800.0,106255.0,54.77228682170542,66.46511627906976,1.5,,3.0,17.0,8.5,129.0,0.966142659387988,0.0,0.2352941176470588,0.0,0.16,-0.3079884076523719,IL,Belleville,Multi-Family (2-4 Unit)
2019-09-30,75000.0,122449.5,43.20276497695853,79.78021032974593,7.0,,2.0,17.0,2.4,63.0,0.8995313162580647,0.1428571428571428,0.1764705882352941,,0.94,-0.2112294833043573,IL,Belleville,Multi-Family (2-4 Unit)
2019-10-31,90000.0,88900.0,54.90196078431372,63.20040348768119,3.0,,4.0,17.0,5.7,74.0,0.9602446483180428,0.0,0.3529411764705882,0.0,0.94,0.27079738562091493,IL,Belleville,Multi-Family (2-4 Unit)
