period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.0
2019-02-28,-0.0280118404163356,0.0
2019-03-31,0.102295839502758,0.36
2019-04-30,0.0479717823455996,0.36
2019-05-31,-0.0151609109366444,0.7
2019-06-30,0.043660637302842,0.34
2019-07-31,-0.0612812713682769,0.34
2019-08-31,-0.0352266593737585,0.0
2019-09-30,-0.1001730082378907,0.0
2019-10-31,0.1079620498444804,0.0
2019-11-30,0.0214697815189635,0.0
2019-12-31,0.0655994978028875,0.0
2020-01-31,-0.0786574870912221,0.0
2020-02-29,-0.0292351573739768,0.0
2020-03-31,-0.0450248022870485,0.44
2020-04-30,0.1449991099277709,0.44
2020-05-31,-0.058722212305854,0.56
2020-06-30,0.0694158391827883,1.1
2020-07-31,0.0250354274917337,1.18
2020-08-31,-0.006686033348311,1.96
2020-09-30,-0.0384020732012115,1.57
2020-10-31,-0.0148168407679278,2.79
2020-11-30,0.1440330273469008,2.75
2020-12-31,-0.1305805769488142,3.35
2021-01-31,0.0691907817609676,2.67
2021-02-28,-0.0274867372091278,3.35
2021-03-31,-0.0199392620466205,3.1
2021-04-30,0.1077369187161896,3.54
2021-05-31,0.0192614489715323,2.64
2021-06-30,0.0253448955459203,2.05
2021-07-31,0.0101130753304667,1.25
2021-08-31,0.0082139213521852,1.48
2021-09-30,0.0012579507446779,1.54
2021-10-31,0.0025981562322778,1.8
2021-11-30,-0.0431476625411182,1.98
2021-12-31,-0.020385513273546,2.63
2022-01-31,0.1374016243929519,2.92
2022-02-28,-0.0640542649772513,2.72
2022-03-31,0.0350579804650277,3.14
2022-04-30,0.0367933721049253,3.87
2022-05-31,0.0422255057816891,4.18
2022-06-30,0.0362477860822307,3.62
2022-07-31,-0.0522119341563787,2.84
2022-08-31,-0.0436263736263736,2.81
2022-09-30,0.001713160812848,2.85
2022-10-31,0.0286926994906624,3.19
2022-11-30,-0.0615095353209778,3.38
2022-12-31,0.050791633825526,3.28
2023-01-31,-0.0284771046035337,3.73
2023-02-28,-0.076738488387703,3.72
2023-03-31,0.0542821362275847,3.36
2023-04-30,0.0845486472199332,2.67
2023-05-31,0.161208949390494,2.29
2023-06-30,-0.0997341675985098,3.13
2023-07-31,0.0487260483090872,3.76
2023-08-31,-0.0224592988168573,4.44
2023-09-30,0.0219186193666733,5.25
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
