period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,272000.0,273450.0,176.5756798429727,193.64161849710985,2.0,4.0,4.0,24.0,12.0,71.0,0.9743589743589745,0.0,0.0833333333333333,0.0,0.68,0.0,IL,Skokie,Townhouse
2019-02-28,200000.0,314950.0,178.68384022909055,207.5812274368231,2.0,,8.0,25.0,12.5,53.0,0.9059583632447952,0.0,0.16,,0.68,0.011939132206613134,IL,Skokie,Townhouse
2019-03-31,212500.0,339900.0,162.21374045801528,209.89618369987065,3.0,4.0,15.0,32.0,10.7,119.0,0.9714774872817388,0.0,0.25,0.25,0.68,-0.09217453436169132,IL,Skokie,Townhouse
2019-04-30,225000.0,335000.0,192.7419354838709,199.9006036217304,6.0,9.0,10.0,29.0,4.8,22.0,0.9761961234648074,0.3333333333333333,0.2068965517241379,0.2222222222222222,0.64,0.1881973434535098,IL,Skokie,Townhouse
2019-05-31,280000.0,349000.0,195.79940650671296,201.28721876495928,10.0,13.0,12.0,27.0,2.7,61.0,0.9737434022576832,0.1,0.2592592592592592,0.3076923076923077,0.99,0.01586302957457808,IL,Skokie,Townhouse
2019-06-30,240750.0,342450.0,173.27492024647117,210.47708138447143,8.0,12.0,13.0,27.0,3.4,45.0,0.9669648744106654,0.0,0.1481481481481481,0.4166666666666666,1.33,-0.11503858291556945,IL,Skokie,Townhouse
2019-07-31,258000.0,329900.0,189.5306859205776,197.6190476190476,11.0,4.0,7.0,26.0,2.4,40.0,0.9660114898705046,0.0,0.0769230769230769,0.25,0.69,0.0938148789852784,IL,Skokie,Townhouse
2019-08-31,220000.0,326950.0,198.69402985074623,202.6409344845099,13.0,9.0,10.0,23.0,1.8,57.0,0.979113653468574,0.0769230769230769,0.1739130434782608,0.4444444444444444,0.42,0.04834754797441354,IL,Skokie,Townhouse
2019-09-30,280000.0,349000.0,161.94331983805668,209.5233333333333,3.0,5.0,9.0,25.0,8.3,22.0,0.9305934792823524,0.0,0.16,0.4,0.54,-0.18496131987607134,IL,Skokie,Townhouse
2019-10-31,325000.0,299000.0,173.05893358278766,190.51075845897253,7.0,3.0,6.0,23.0,3.3,101.0,0.9695329076413084,0.1428571428571428,0.217391304347826,0.6666666666666666,1.12,0.06863891487371387,IL,Skokie,Townhouse
2019-11-30,245000.0,299450.0,191.7057902973396,207.3476474981329,3.0,8.0,2.0,16.0,5.3,179.0,0.9565310224307136,0.3333333333333333,0.1875,0.0,1.04,0.10774859366408673,IL,Skokie,Townhouse
2019-12-31,222500.0,269900.0,178.72698988851437,196.40921409214093,6.0,6.0,7.0,13.0,2.2,75.0,0.9884391986632785,0.5,0.1538461538461538,0.3333333333333333,1.55,-0.06770166090807617,IL,Skokie,Townhouse
2020-01-31,215000.0,320000.0,188.62559241706165,201.3168086754454,5.0,6.0,9.0,15.0,3.0,58.0,0.9582077533871436,0.0,0.1333333333333333,0.5,1.22,0.05538392681889737,IL,Skokie,Townhouse
2020-02-29,,,201.15088120892733,,,,,,,,,,,,1.75,0.06640291294180045,IL,Skokie,Townhouse
2020-03-31,272500.0,338000.0,193.2226526343472,201.3937282229965,6.0,3.0,9.0,17.0,2.8,6.0,0.9795220036310428,0.3333333333333333,0.1764705882352941,0.6666666666666666,1.27,-0.03941433677511652,IL,Skokie,Townhouse
2020-04-30,235000.0,322400.0,195.0,196.48317307692307,3.0,6.0,3.0,14.0,4.7,24.0,0.9901192660422816,0.3333333333333333,0.0714285714285714,0.3333333333333333,2.26,0.009198442011953079,IL,Skokie,Townhouse
2020-05-31,233500.0,325000.0,196.8787596373803,189.55484275913108,6.0,2.0,5.0,17.0,2.8,50.0,0.94625803149694,0.0,0.2352941176470588,0.5,2.56,0.009634664807078419,IL,Skokie,Townhouse
2020-06-30,225000.0,319450.0,175.82417582417582,208.3055555555556,3.0,7.0,12.0,20.0,6.7,7.0,0.9737413737205316,0.3333333333333333,0.2,0.8571428571428571,2.4,-0.10694187555825585,IL,Skokie,Townhouse
2020-07-31,235500.0,367000.0,188.26555023923447,224.32432432432432,10.0,4.0,3.0,17.0,1.7,31.0,1.0320632990942047,0.2999999999999999,0.1176470588235294,0.0,1.47,0.07076031698564611,IL,Skokie,Townhouse
2020-08-31,224750.0,325000.0,208.1616340256482,209.2793560606061,6.0,4.0,12.0,24.0,4.0,20.0,0.962701310903212,0.0,0.0833333333333333,1.0,1.03,0.10568095841820879,IL,Skokie,Townhouse
