period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,5.86
2019-02-28,0.0882997731432528,5.72
2019-03-31,0.0390774635921278,4.09
2019-04-30,-0.000823599899057,4.98
2019-05-31,0.0512873681502441,4.93
2019-06-30,0.0202702264962302,5.39
2019-07-31,-0.0229382580911376,4.18
2019-08-31,-0.0008243011528363,4.3
2019-09-30,-0.0130582047504996,6.45
2019-10-31,0.0079411764705878,5.73
2019-11-30,-0.0103141155977963,4.66
2019-12-31,0.0320385317768618,4.33
2020-01-31,-0.0819817901700038,4.7
2020-02-29,0.070095065497201,5.96
2020-03-31,0.0594935742315123,5.36
2020-04-30,0.0081582502181636,8.43
2020-05-31,0.0140865573846988,7.97
2020-06-30,0.0333486713551016,8.08
2020-07-31,-0.0026001346145911,7.81
2020-08-31,-0.0052283513479068,9.81
2020-09-30,0.0166812077875619,8.69
2020-10-31,0.0193442297348391,11.14
2020-11-30,-0.0182543257448531,10.37
2020-12-31,0.0195124024623378,10.12
2021-01-31,-0.0044141237438023,10.99
2021-02-28,-0.0118491921005385,12.28
2021-03-31,0.05223507113042,13.08
2021-04-30,0.0466812911289242,12.33
2021-05-31,0.053109282230243,11.66
2021-06-30,0.0108925549915397,11.79
2021-07-31,-0.0021772714712753,11.65
2021-08-31,-0.0249564600688555,16.13
2021-09-30,0.0235961458719624,13.1
2021-10-31,0.0107412045735038,13.42
2021-11-30,-0.0204069829027436,13.95
2021-12-31,0.0107451278953156,11.11
2022-01-31,-0.0201924112012281,12.78
2022-02-28,0.0520669308946928,13.26
2022-03-31,0.0078130297322118,13.15
2022-04-30,0.0919930575361829,14.29
2022-05-31,0.0291250962931723,16.61
2022-06-30,-0.0073339319633088,16.59
2022-07-31,-0.0151392517079188,14.84
2022-08-31,-0.0173332803155242,13.27
2022-09-30,-0.0074979314885423,14.93
2022-10-31,-0.0156882745077793,16.25
2022-11-30,-0.0152475951277768,15.46
2022-12-31,-0.0242873496253279,14.82
2023-01-31,-0.0186722778661736,13.49
2023-02-28,0.0385184003032166,15.0
2023-03-31,0.0166801553784243,15.12
2023-04-30,0.0321873409130128,15.48
2023-05-31,0.006375012306854,13.18
2023-06-30,0.0471882763337943,12.89
2023-07-31,0.0016666666666667,12.33
2023-08-31,-0.0145543341303464,12.33
2023-09-30,-0.0377017061717317,13.41
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
