period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,80000.0,99000.0,67.47953173794153,63.833333333333336,62.0,41.0,85.0,381.0,6.1,73.0,0.9593163614249484,0.1612903225806451,,0.0,5.62,0.0,IN,South Bend,Single Family Residential
2019-02-28,83000.0,98838.5,68.90060240963855,69.88191489361702,77.0,47.0,86.0,384.0,5.0,70.0,0.9499173834722056,0.1688311688311688,,0.0851063829787234,8.29,0.021059284720821525,IN,South Bend,Single Family Residential
2019-03-31,92000.0,86600.0,66.66666666666667,63.72881355932204,103.0,54.0,113.0,398.0,3.9,76.0,0.9583236967631958,0.1650485436893204,,0.074074074074074,7.79,-0.032422586520947094,IN,South Bend,Single Family Residential
2019-04-30,87635.0,119900.0,62.67871717142274,77.2905357849747,116.0,81.0,131.0,419.0,3.6,47.0,0.9490376190732052,0.2068965517241379,,0.037037037037037,6.76,-0.05981924242865899,IN,South Bend,Single Family Residential
2019-05-31,98750.0,97900.0,68.1552891415702,72.39382239382239,152.0,100.0,159.0,430.0,2.8,52.0,0.9633122268748632,0.2434210526315789,,0.05,6.24,0.08737530404729466,IN,South Bend,Single Family Residential
2019-06-30,118000.0,102749.5,79.47554697554698,73.51580858276513,129.0,95.0,150.0,444.0,3.4,50.0,0.9800295333721996,0.3023255813953488,,0.0,6.07,0.16609507459447004,IN,South Bend,Single Family Residential
2019-07-31,98000.0,99450.0,70.83333333333333,74.02191667276139,145.0,112.0,140.0,434.0,3.0,48.0,0.971835216589944,0.2275862068965517,,0.0178571428571428,4.38,-0.10874053682037166,IN,South Bend,Single Family Residential
2019-08-31,105000.0,104900.0,76.24521072796935,75.5952380952381,119.0,99.0,145.0,444.0,3.7,46.0,0.9821420888514824,0.2773109243697479,,0.0404040404040404,3.3,0.07640297498309678,IN,South Bend,Single Family Residential
2019-09-30,104950.0,96000.0,74.01165635658518,69.76744186046511,122.0,94.0,145.0,457.0,3.7,47.0,0.9659762882726892,0.180327868852459,,0.0212765957446808,2.6,-0.02929435632820443,IN,South Bend,Single Family Residential
2019-10-31,92000.0,107450.0,63.24404761904762,77.43945432250153,103.0,81.0,127.0,466.0,4.5,47.0,0.9669620281385406,0.203883495145631,,0.0,3.21,-0.1454853095796107,IN,South Bend,Single Family Residential
2019-11-30,100750.0,99450.0,71.29507596558668,71.61993069467758,106.0,87.0,111.0,460.0,4.3,56.0,0.9558361461396114,0.150943396226415,,0.0344827586206896,3.1,0.1273009658558646,IN,South Bend,Single Family Residential
2019-12-31,95000.0,91700.0,69.44444444444444,70.01990151661204,101.0,74.0,57.0,411.0,4.1,51.0,0.957281386238621,0.1386138613861386,,0.0405405405405405,3.14,-0.02595735394174359,IN,South Bend,Single Family Residential
2020-01-31,95000.0,95000.0,64.375,68.85964912280701,93.0,63.0,70.0,377.0,4.1,65.0,0.9595236143836792,0.1827956989247311,,0.0476190476190476,2.89,-0.07299999999999995,IN,South Bend,Single Family Residential
2020-02-29,55475.0,96500.0,47.448681962168834,83.52528665028666,38.5,40.0,76.0,363.0,4.8,51.0,0.77610460269421,0.0526315789473684,,0.025,3.28,-0.2629330957332997,IN,South Bend,Single Family Residential
2020-03-31,90750.0,99950.0,69.77733349014073,74.16391774284111,94.0,58.0,124.0,385.0,4.1,65.0,0.974450404344839,0.2872340425531915,,0.0344827586206896,4.07,0.47058528508283315,IN,South Bend,Single Family Residential
