period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,3.31
2019-02-28,-0.1103676350103555,3.27
2019-03-31,0.2049383045201724,2.64
2019-04-30,-0.2210237977896002,2.28
2019-05-31,0.4743207737531343,1.92
2019-06-30,-0.2531144434313314,1.98
2019-07-31,-0.1747640758390712,1.78
2019-08-31,0.4746889863622012,1.71
2019-09-30,0.1234094997002202,2.58
2019-10-31,-0.2235712122908441,2.2
2019-11-30,0.1126024832878327,2.6
2019-12-31,0.0605928304783782,2.27
2020-01-31,-0.0424327723543151,2.58
2020-02-29,-0.1141001859597101,3.33
2020-03-31,0.1017660870030467,3.43
2020-04-30,0.3090199478172042,6.36
2020-05-31,-0.2838373335226404,5.43
2020-06-30,0.0831033884552969,4.55
2020-07-31,-0.0134312325896037,4.59
2020-08-31,-0.0422598193920326,4.64
2020-09-30,0.0537169792791907,4.99
2020-10-31,0.225144365616235,6.08
2020-11-30,-0.062250293671105,6.47
2020-12-31,-0.1812848820799113,6.15
2021-01-31,0.2137668017929639,6.73
2021-02-28,0.1010149862381555,8.47
2021-03-31,-0.2716271154002067,8.16
2021-04-30,0.1547351652370661,7.58
2021-05-31,0.1212226977465686,7.75
2021-06-30,-0.1054933346548391,8.2
2021-07-31,0.175011357687653,8.72
2021-08-31,-0.113544247408021,8.12
2021-09-30,0.0548595337420005,8.95
2021-10-31,-0.1215241751400705,10.36
2021-11-30,0.108603464956962,8.38
2021-12-31,-0.2068047740681531,8.19
2022-01-31,0.1667251331034791,7.9
2022-02-28,0.1048878904153636,9.42
2022-03-31,-0.0673086509312205,9.38
2022-04-30,-0.0434072960470489,8.82
2022-05-31,0.6990000000000005,10.16
2022-06-30,-0.276485788113695,10.17
2022-07-31,-0.097959258483452,9.07
2022-08-31,0.061948477480864,8.73
2022-09-30,-0.1372489742285421,15.65
2022-10-31,0.1536876619301617,7.86
2022-11-30,0.1596837944664031,9.09
2022-12-31,0.0318142734307824,7.07
2023-01-31,-0.0611992303474604,7.18
2023-02-28,0.0226522912141444,8.04
2023-03-31,0.009686031484313,7.41
2023-04-30,0.0867330136410291,6.54
2023-05-31,0.0017928192148275,6.76
2023-06-30,-0.1866599653642566,6.04
2023-07-31,0.294706026547691,6.64
2023-08-31,-0.1984369332843719,6.67
2023-09-30,0.148729355033153,6.08
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
