period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,7.28
2019-02-28,0.063315120138818,16.14
2019-03-31,-0.1188562971183082,21.81
2019-04-30,-0.1218715106568132,19.86
2019-05-31,0.276028841014228,16.83
2019-06-30,-0.1682721021946092,15.87
2019-07-31,0.1355258049434593,11.82
2019-08-31,0.0163963559519046,10.11
2019-09-30,-0.0464467715620057,9.02
2019-10-31,0.2674760266501266,11.08
2019-11-30,-0.0828430549498587,9.88
2019-12-31,-0.3058759625300685,10.35
2020-01-31,0.20722042061841,10.61
2020-02-29,-0.0920196324692167,13.66
2020-03-31,0.2091017886486994,15.34
2020-04-30,0.2717271893346178,15.44
2020-05-31,-0.2028524595741599,14.29
2020-06-30,-0.0569212229971844,13.43
2020-07-31,0.3011306177387636,13.17
2020-08-31,-0.0287440529312431,14.27
2020-09-30,0.036310677280293,14.5
2020-10-31,-0.0321240669981781,15.85
2020-11-30,-0.0988166429605142,15.77
2020-12-31,0.205811215528517,18.23
2021-01-31,-0.1798219184375532,20.53
2021-02-28,-0.1862945991622667,23.22
2021-03-31,0.6843918872492616,26.61
2021-04-30,-0.0873506733298014,28.55
2021-05-31,-0.0099863514340454,29.83
2021-06-30,-0.1660325034861179,28.37
2021-07-31,0.0521350773934115,29.53
2021-08-31,0.1487300873389874,30.0
2021-09-30,-0.0100975706390812,30.71
2021-10-31,0.1490104780154513,29.92
2021-11-30,-0.2009042026092727,27.78
2021-12-31,-0.0444374579907203,21.65
2022-01-31,-0.0047207662831395,16.94
2022-02-28,-0.009461514910539,15.01
2022-03-31,0.165836030044131,17.81
2022-04-30,-0.177398306217806,18.66
2022-05-31,0.3123148996334295,18.53
2022-06-30,-0.0248699083729101,18.13
2022-07-31,-0.0501732917240557,19.5
2022-08-31,0.067692079848006,19.77
2022-09-30,0.0483459515084758,21.17
2022-10-31,-0.031006445311021,20.58
2022-11-30,-0.062079676458705,20.86
2022-12-31,0.5254316502186569,19.42
2023-01-31,-0.2938560382587369,20.51
2023-02-28,-0.0543719719856088,22.55
2023-03-31,-0.0115226280098544,23.89
2023-04-30,0.1731490552736887,22.22
2023-05-31,0.0735655826329848,20.51
2023-06-30,0.0831905902933951,18.78
2023-07-31,-0.1938669093609716,20.2
2023-08-31,0.3722565978141334,19.11
2023-09-30,-0.1775067301572109,18.18
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
