period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,3.73
2019-02-28,-0.1162708871127089,4.36
2019-03-31,0.1338602451987527,3.51
2019-04-30,0.0654245352649427,3.99
2019-05-31,0.050602533157692,3.3
2019-06-30,-0.0582797399175148,3.38
2019-07-31,0.0261129175656693,2.92
2019-08-31,0.0489075122621351,3.87
2019-09-30,-0.1174940166466738,5.23
2019-10-31,0.0400787902496526,4.39
2019-11-30,0.0454299960880251,4.44
2019-12-31,-0.0382160956007335,3.85
2020-01-31,0.0225330875708398,5.2
2020-02-29,0.0410038938260632,4.69
2020-03-31,0.0155344500000333,5.14
2020-04-30,-0.0228969052409695,9.75
2020-05-31,-0.0035510350438192,8.73
2020-06-30,-0.0121396123561476,7.88
2020-07-31,0.0408287071481714,9.11
2020-08-31,-0.0418069506603568,8.36
2020-09-30,-0.0086181962202981,10.5
2020-10-31,0.0912512439864554,9.56
2020-11-30,-0.0226108036353425,9.41
2020-12-31,-0.005581045169828,10.16
2021-01-31,-0.0209929427167561,9.09
2021-02-28,0.0254604423890481,9.63
2021-03-31,0.0777211482797368,9.08
2021-04-30,-0.0195712728593918,8.4
2021-05-31,0.0405010333182112,7.66
2021-06-30,0.0333835119100327,8.1
2021-07-31,-0.0255981981553674,7.66
2021-08-31,0.0205303224089277,7.93
2021-09-30,0.0373100724914858,11.02
2021-10-31,-0.0824443015988632,8.45
2021-11-30,-0.045436437850779,8.23
2021-12-31,0.0675206252713851,7.84
2022-01-31,0.1209983337951448,8.19
2022-02-28,-0.0850174242801365,8.22
2022-03-31,-0.0532811684924359,8.54
2022-04-30,0.172329113890862,8.94
2022-05-31,-0.0417028342831262,8.31
2022-06-30,0.1175524792298234,9.97
2022-07-31,-0.1770464263340678,9.18
2022-08-31,-0.0326784487271775,8.73
2022-09-30,-0.0414632386002205,10.05
2022-10-31,0.0087424492420491,9.46
2022-11-30,-0.0097386980967562,9.34
2022-12-31,0.0741709863658803,8.7
2023-01-31,-0.1368273911362583,8.53
2023-02-28,0.1332618978315527,9.22
2023-03-31,0.0134434258532736,8.37
2023-04-30,-0.0103457683411422,9.14
2023-05-31,0.0695512557479554,8.48
2023-06-30,-0.0072291077631592,7.68
2023-07-31,-0.0647163929029741,8.4
2023-08-31,-0.1167180325897346,7.6
2023-09-30,0.1157113518798642,8.55
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
