period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,3.73
2019-02-28,0.0239241339586933,4.36
2019-03-31,2.1328671328671334,3.51
2019-04-30,-0.70655090765588,3.99
2019-05-31,0.1252377622377625,3.3
2019-06-30,-0.4488188976377952,3.38
2019-07-31,-0.1767554479418885,2.92
2019-08-31,1.7669837866809597,3.87
2019-09-30,-0.4602271543190582,5.23
2019-10-31,7.746990562403701,4.39
2019-11-30,-0.6486963710987097,4.44
2019-12-31,-0.4059903657661041,3.85
2020-01-31,0.0,5.2
2020-02-29,-0.1011836448860384,4.69
2020-03-31,-0.0483636101131709,5.14
2020-04-30,0.1691170464683506,9.75
2020-05-31,-0.52613682721854,8.73
2020-06-30,1.4192117298557312,7.88
2020-07-31,-0.4447432750461827,9.11
2020-08-31,0.6112538940809968,8.36
2020-09-30,-0.2909722147496282,10.5
2020-10-31,0.3751564202469386,9.56
2020-11-30,0.0,9.41
2020-12-31,0.0,10.16
2021-01-31,1.7930992570276674,9.09
2021-02-28,-0.8111198512585812,9.63
2021-03-31,-0.3101124343762833,9.08
2021-04-30,1.3281062790175229,8.4
2021-05-31,-0.3346589308849208,7.66
2021-06-30,1.1444723745554717,8.1
2021-07-31,0.4043169053019646,7.66
2021-08-31,-0.4109986591348292,7.93
2021-09-30,0.1214501870826947,11.02
2021-10-31,-0.1082974424380198,8.45
2021-11-30,-0.487537297333483,8.23
2021-12-31,0.9513615230858,7.84
2022-01-31,-0.1114607136906274,8.19
2022-02-28,0.8236809591163192,8.22
2022-03-31,-0.4087715071460026,8.54
2022-04-30,0.0589123376623377,8.94
2022-05-31,0.3145301317071107,8.31
2022-06-30,-0.391748021068107,9.97
2022-07-31,-0.2590438859807982,9.18
2022-08-31,-0.1201398601398601,8.73
2022-09-30,0.8910322355704354,10.05
2022-10-31,-0.5804398925537289,9.46
2022-11-30,0.3433035714285715,9.34
2022-12-31,0.7743187527958619,8.7
2023-01-31,0.0,8.53
2023-02-28,0.0,9.22
2023-03-31,0.0,8.37
2023-04-30,-0.360871935930798,9.14
2023-05-31,0.747461259493778,8.48
2023-06-30,-0.4549652077883959,7.68
2023-07-31,0.6427834899246798,8.4
2023-08-31,-0.1946265866173571,7.6
2023-09-30,-0.6024163126707441,8.55
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
