period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,215362.5,439450.0,201.2491289685624,243.8803962452527,4.5,4.0,5.5,3.5,1.0499999999999998,28.0,0.9878348421781604,0.3928571428571428,0.2916666666666666,0.6666666666666666,0.69,0.0,MA,Framingham,Condo
2019-02-28,250000.0,469000.0,280.1120448179272,261.4651578320429,7.0,7.0,9.0,5.0,0.6999999999999998,49.0,0.9953547595292968,0.4285714285714285,,0.8571428571428571,0.0,0.391867116412137,MA,Framingham,Condo
2019-03-31,224500.0,432400.0,231.78083289911424,250.00512409387863,5.0,4.5,4.0,5.0,0.6999999999999998,14.0,0.9853838048242952,0.3809523809523809,,0.6785714285714286,0.52,-0.17254242655016228,MA,Framingham,Condo
2019-04-30,284500.0,446150.0,232.889018254872,256.8353560660321,7.0,3.0,6.0,5.5,0.7,12.0,1.0082594609818416,0.2666666666666666,,0.9,0.78,0.004781177726805863,MA,Framingham,Condo
2019-05-31,231675.0,453700.0,262.23000768935026,257.4762742718425,6.5,10.5,15.5,10.5,4.1,8.5,0.992170510025437,0.25,0.1428571428571428,0.3421052631578947,0.6,0.12598700296966214,MA,Framingham,Condo
2019-06-30,327250.0,449450.0,281.2761229553673,257.1729130155378,5.0,8.0,6.0,8.5,2.0,16.0,1.020706097460044,0.4375,0.2833333333333333,0.5727272727272726,1.3,0.07263133397219734,MA,Framingham,Condo
2019-07-31,276631.25,412500.0,230.70480254690784,264.5293522970584,7.5,5.0,7.0,10.0,1.65,23.0,0.9882421438096144,0.3068181818181817,0.2474747474747474,0.1111111111111111,0.66,-0.17979243981716897,MA,Framingham,Condo
2019-08-31,272500.0,492250.0,223.9989049199576,243.03953424104503,6.5,10.5,5.0,3.5,0.5,35.0,0.9856842728924288,0.2272727272727272,0.5833333333333333,0.2777777777777778,1.27,-0.02906700490375258,MA,Framingham,Condo
2019-09-30,299337.5,452450.0,256.29448295110944,252.5333517484092,9.5,6.0,9.5,7.0,0.65,42.5,1.005142529191152,0.314102564102564,,0.7222222222222221,1.01,0.14417739248632566,MA,Framingham,Condo
2019-10-31,239250.0,441050.0,247.8186209401548,255.73142034426843,7.0,5.5,5.0,6.5,0.9,16.0,1.0295913310343416,0.225,0.1,0.3392857142857142,1.52,-0.033070793851506686,MA,Framingham,Condo
2019-11-30,151000.0,462950.0,273.68270332187853,244.84650987266625,5.0,6.0,7.0,7.5,1.2999999999999998,18.0,1.015450972106961,0.7857142857142857,0.6153846153846153,0.5142857142857142,0.95,0.10436698535244293,MA,Framingham,Condo
2019-12-31,199250.0,434175.0,257.93491041075583,261.21062593777145,5.0,2.5,2.0,7.0,1.25,10.0,1.011361543409814,0.5,0.375,0.8333333333333333,0.77,-0.05754032943982468,MA,Framingham,Condo
2020-01-31,130000.0,462400.0,234.23423423423424,270.1297318867579,3.0,3.5,3.5,6.5,2.15,4.0,0.9683812933258024,0.0,0.0833333333333333,0.5833333333333333,1.26,-0.09188626750360696,MA,Framingham,Condo
2020-02-29,324125.0,478450.0,248.0053565842978,260.3522731509487,3.5,4.5,6.5,6.5,1.6,57.0,1.006401644367016,0.35,,0.7857142857142857,1.52,0.058792099263732966,MA,Framingham,Condo
2020-03-31,179500.0,450000.0,305.83053310326034,256.15301879643687,4.5,8.5,14.5,11.5,2.5,8.0,1.035442745401275,0.9166666666666666,0.125,0.3916666666666666,1.98,0.23316099827588843,MA,Framingham,Condo
2020-04-30,285000.0,531175.0,234.8675540326832,253.52809446398152,4.0,4.5,4.0,11.0,2.6,15.5,0.9753462099832112,0.3666666666666667,0.125,0.6749999999999999,5.81,-0.2320336637108018,MA,Framingham,Condo
2020-05-31,163750.0,465420.5,279.1000939849624,263.83569966418395,6.5,6.0,9.0,13.5,2.05,4.5,0.975148525914652,0.1111111111111111,0.1776315789473684,0.4375,5.06,0.18832971686725197,MA,Framingham,Condo
2020-06-30,315000.0,499900.0,235.97839207595308,266.57725256813615,5.5,10.0,7.5,8.0,1.3,17.5,0.9908662857738096,0.0625,0.4102564102564102,0.1458333333333333,4.32,-0.15450264202108333,MA,Framingham,Condo
2020-07-31,228000.0,449900.0,257.1428571428572,283.252242926156,12.0,5.0,7.5,12.5,1.0,37.5,0.9879752550166262,0.3666666666666667,0.1547619047619047,0.0,5.77,0.08968814848137474,MA,Framingham,Condo
2020-08-31,154000.0,484075.0,273.57142857142856,278.8787288419642,8.0,8.5,10.5,12.0,1.45,19.0,0.9913594357397524,0.3818181818181818,0.3319327731092436,0.3173076923076923,7.63,0.06388888888888844,MA,Framingham,Condo
2020-09-30,227250.0,485500.0,280.880087992157,271.6342850100016,7.5,13.5,11.5,10.0,1.25,25.0,0.990467294107431,0.3863636363636363,0.0625,0.1944444444444444,5.61,0.026715726342088297,MA,Framingham,Condo
2020-10-31,337575.0,465950.0,288.43885507419344,291.0823584820833,7.0,7.5,7.5,10.0,1.4,44.5,0.9915163325598968,0.1499999999999999,0.2666666666666666,0.1363636363636363,6.92,0.02691101080204561,MA,Framingham,Condo
2020-11-30,240000.0,454900.0,291.66666666666663,257.0589104959225,8.0,7.0,7.0,8.5,0.95,19.0,0.9829215718364696,0.3818181818181818,,0.3541666666666666,7.77,0.011190626837160655,MA,Framingham,Condo
2020-12-31,258000.0,424749.75,293.4225225327414,283.1653181260747,14.0,7.5,6.0,7.0,0.4499999999999999,19.0,0.9859512587755396,0.1333333333333333,0.375,0.4318181818181817,6.46,0.006020077255113554,MA,Framingham,Condo
2021-01-31,178750.0,498450.0,265.0265380044792,298.350390100665,2.5,1.5,3.0,7.0,2.15,8.5,1.0346474889624724,0.625,0.2307692307692307,0.75,8.04,-0.09677506785490075,MA,Framingham,Condo
2021-02-28,223000.0,495750.0,252.8760401816796,285.54415656105425,5.0,3.0,5.5,11.0,1.85,14.0,0.977929555307948,0.3809523809523809,0.1052631578947368,0.3333333333333333,8.28,-0.04584634397101117,MA,Framingham,Condo
2021-03-31,171500.0,526225.0,263.2676794441501,282.45048219630144,5.0,8.0,12.0,14.5,3.3,49.5,0.9770909326670338,0.125,0.2053571428571428,0.3974358974358974,8.87,0.04109380728599099,MA,Framingham,Condo
2021-04-30,225000.0,504950.0,302.14424951267057,297.3838661338661,7.0,13.0,17.0,24.0,3.4,20.0,1.0081209468712495,0.7142857142857143,0.125,0.4615384615384615,6.53,0.1476693612774742,MA,Framingham,Condo
2021-05-31,338250.0,549900.0,298.31468681857285,282.89373159159254,4.5,13.5,4.5,5.5,1.15,19.5,0.9752406096148027,0.3928571428571428,0.3611111111111111,0.256578947368421,8.42,-0.012674617174658898,MA,Framingham,Condo
2021-06-30,252550.0,523700.0,288.41539942865825,297.31400745156657,11.0,3.0,9.0,11.5,1.1,14.5,1.00327122253388,0.4166666666666666,0.225,0.875,6.12,-0.033184042983224304,MA,Framingham,Condo
2021-07-31,238500.0,533675.0,290.7679738562092,287.6611532010269,4.5,5.5,7.0,12.5,2.65,15.0,0.997122051941124,0.325,0.5964912280701753,0.3541666666666666,6.87,0.008156896033330252,MA,Framingham,Condo
2021-08-31,185416.5,524925.0,315.20823535839986,304.28302634184985,9.5,8.0,5.0,7.5,0.8499999999999999,42.0,0.9922758548204004,0.3142857142857143,0.2499999999999999,0.1909090909090909,6.86,0.08405417274144811,MA,Framingham,Condo
2021-09-30,183500.0,499900.0,299.074074074074,302.22849968612684,8.5,6.0,7.0,7.0,0.9,46.5,0.9912765864118638,0.1833333333333333,0.2666666666666666,0.5142857142857142,6.89,-0.05118572256204179,MA,Framingham,Condo
2021-10-31,197000.0,548725.0,278.68852979964095,291.0828249386986,7.0,7.0,4.5,4.5,0.65,7.5,1.0469472021189152,0.4375,0.75,0.6458333333333333,9.56,-0.0681621913820053,MA,Framingham,Condo
2021-11-30,180500.0,512000.0,264.02640264026405,304.71285215953577,4.0,5.5,4.0,2.0,0.4,10.5,0.9982388520232844,0.1,,0.4166666666666666,8.03,-0.052611161176665644,MA,Framingham,Condo
2021-12-31,291875.0,382400.0,300.8158534474324,290.7210056341023,6.0,7.0,8.5,1.5,0.2999999999999999,20.5,0.9906170981437415,0.3125,,1.0,7.26,0.13934004493215002,MA,Framingham,Condo
2022-01-31,190250.0,457225.0,312.6138712935779,315.21557427736093,6.5,5.0,8.5,5.0,0.8499999999999999,2.5,1.0316455982613384,0.7083333333333333,,1.0,7.81,0.039220066731646464,MA,Framingham,Condo
2022-02-28,125000.0,539000.0,317.46031746031747,333.7625178826896,4.0,3.0,4.0,4.0,0.95,5.5,1.087042448451391,0.6333333333333333,0.6666666666666666,0.625,8.36,0.015502978632026876,MA,Framingham,Condo
2022-03-31,220000.0,599450.0,326.1667216806816,320.86107484769366,6.0,5.5,4.5,3.0,0.4499999999999998,8.0,1.038986334074978,0.4375,,0.4791666666666666,7.6,0.027425173294146843,MA,Framingham,Condo
2022-04-30,260500.0,591200.0,365.0864750528804,316.1979400832072,3.5,6.5,7.5,4.0,1.5,30.5,1.021506602751306,0.3333333333333333,0.3333333333333333,0.6590909090909092,6.44,0.11932472194481392,MA,Framingham,Condo
2022-05-31,358750.0,588450.0,311.5708910372439,309.91171875457906,6.0,5.0,4.0,5.0,0.5,9.5,1.0512929465364382,0.65,,0.3809523809523809,6.49,-0.14658331018119786,MA,Framingham,Condo
2022-06-30,264593.75,574950.0,296.5109697674709,297.6039470912649,10.5,5.5,7.5,4.5,0.35,17.5,1.0124848891043787,0.5499999999999999,0.125,0.8125,7.31,-0.048335456562188184,MA,Framingham,Condo
2022-07-31,320500.0,559450.0,282.3103757314284,324.9263969852205,2.5,4.5,3.0,3.0,1.5,8.5,1.0240034527917847,0.375,0.375,0.3928571428571428,7.88,-0.047892305796237045,MA,Framingham,Condo
2022-08-31,369000.0,574450.0,268.48710657907634,320.4358202761392,4.0,4.5,7.0,5.5,1.25,15.5,1.0308604972699609,0.9166666666666666,0.3055555555555556,0.5,7.16,-0.04896479315199742,MA,Framingham,Condo
2022-09-30,242750.0,552400.0,336.6791160908808,319.9952982889614,3.0,6.5,7.0,6.0,2.0,21.5,1.0043759025483814,0.5,0.25,0.4166666666666666,9.33,0.25398616112584227,MA,Framingham,Condo
2022-10-31,274725.0,587000.0,286.8432212411992,314.43755416319,2.5,4.0,4.5,6.5,2.4,47.0,0.9731978618883768,0.0,0.6363636363636364,0.0,10.72,-0.1480219368172193,MA,Framingham,Condo
2022-11-30,294750.0,522400.0,280.11530362877403,327.6266357990462,5.0,4.0,2.5,5.0,0.8999999999999999,18.0,0.9934252389805625,0.2916666666666666,0.2222222222222222,0.0833333333333333,9.33,-0.023455034367947825,MA,Framingham,Condo
2022-12-31,289450.0,448500.0,291.5057915057915,327.6139399461163,7.0,7.0,5.0,5.0,0.5999999999999999,20.0,0.9905906543224388,0.3111111111111111,,0.5777777777777777,7.26,0.04066356864283582,MA,Framingham,Condo
2023-01-31,314750.0,549900.0,292.6843510176843,340.0578728980127,4.5,5.0,4.5,4.0,0.8,8.0,1.022826989360024,0.775,0.25,0.75,7.87,0.004043005477884165,MA,Framingham,Condo
2023-02-28,314950.0,582400.0,299.2213642213642,328.3333333333333,4.0,5.0,5.5,2.0,0.7,10.5,0.9962707736236558,0.6428571428571428,,0.9166666666666666,9.22,0.022334686432500472,MA,Framingham,Condo
2023-03-31,286000.0,559950.0,311.1940124285428,316.77265640584733,11.5,2.0,5.5,4.5,0.4,11.5,1.0275113191119425,0.7410714285714286,,1.0,9.5,0.040012678367181254,MA,Framingham,Condo
2023-04-30,285000.0,561825.0,343.1372549019608,301.4121527677644,2.0,10.0,7.5,2.0,1.0,18.0,1.116175179919256,1.0,0.8333333333333333,0.6648351648351649,12.81,0.10264735566129457,MA,Framingham,Condo
2023-05-31,293000.0,649450.0,321.41821775335706,330.7902488352159,8.0,4.0,7.0,3.0,0.2999999999999999,9.0,1.0365874505789794,0.7333333333333334,0.3333333333333333,0.7857142857142857,9.05,-0.06329547969021654,MA,Framingham,Condo
2023-06-30,277749.75,579725.0,322.64396478892434,333.4214839892997,3.5,5.0,5.0,1.5,0.6499999999999999,12.0,1.047584184035103,0.8333333333333333,,0.9285714285714286,9.54,0.0038135580619387266,MA,Framingham,Condo
