period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.69
2019-02-28,0.391867116412137,0.0
2019-03-31,-0.1725424265501622,0.52
2019-04-30,0.0047811777268058,0.78
2019-05-31,0.1259870029696621,0.6
2019-06-30,0.0726313339721973,1.3
2019-07-31,-0.1797924398171689,0.66
2019-08-31,-0.0290670049037525,1.27
2019-09-30,0.1441773924863256,1.01
2019-10-31,-0.0330707938515066,1.52
2019-11-30,0.1043669853524429,0.95
2019-12-31,-0.0575403294398246,0.77
2020-01-31,-0.0918862675036069,1.26
2020-02-29,0.0587920992637329,1.52
2020-03-31,0.2331609982758884,1.98
2020-04-30,-0.2320336637108018,5.81
2020-05-31,0.1883297168672519,5.06
2020-06-30,-0.1545026420210833,4.32
2020-07-31,0.0896881484813747,5.77
2020-08-31,0.0638888888888884,7.63
2020-09-30,0.0267157263420882,5.61
2020-10-31,0.0269110108020456,6.92
2020-11-30,0.0111906268371606,7.77
2020-12-31,0.0060200772551135,6.46
2021-01-31,-0.0967750678549007,8.04
2021-02-28,-0.0458463439710111,8.28
2021-03-31,0.0410938072859909,8.87
2021-04-30,0.1476693612774742,6.53
2021-05-31,-0.0126746171746588,8.42
2021-06-30,-0.0331840429832243,6.12
2021-07-31,0.0081568960333302,6.87
2021-08-31,0.0840541727414481,6.86
2021-09-30,-0.0511857225620417,6.89
2021-10-31,-0.0681621913820053,9.56
2021-11-30,-0.0526111611766656,8.03
2021-12-31,0.13934004493215,7.26
2022-01-31,0.0392200667316464,7.81
2022-02-28,0.0155029786320268,8.36
2022-03-31,0.0274251732941468,7.6
2022-04-30,0.1193247219448139,6.44
2022-05-31,-0.1465833101811978,6.49
2022-06-30,-0.0483354565621881,7.31
2022-07-31,-0.047892305796237,7.88
2022-08-31,-0.0489647931519974,7.16
2022-09-30,0.2539861611258422,9.33
2022-10-31,-0.1480219368172193,10.72
2022-11-30,-0.0234550343679478,9.33
2022-12-31,0.0406635686428358,7.26
2023-01-31,0.0040430054778841,7.87
2023-02-28,0.0223346864325004,9.22
2023-03-31,0.0400126783671812,9.5
2023-04-30,0.1026473556612945,12.81
2023-05-31,-0.0632954796902165,9.05
2023-06-30,0.0038135580619387,9.54
2023-07-31,-0.006758670744176,10.3
2023-08-31,0.0805816080285664,10.79
2023-09-30,0.1261060411532732,10.79
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
