period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.0
2019-02-28,-0.0903015969884288,0.0
2019-03-31,-0.190648473763645,0.0
2019-04-30,0.5027481796866851,0.0
2019-05-31,-0.0217555908096356,0.0
2019-06-30,0.0540039827738763,0.0
2019-07-31,-0.2140112107494335,0.0
2019-08-31,0.3294402316603693,0.0
2019-09-30,0.0290477526703902,0.0
2019-10-31,-0.2612223436863192,0.0
2019-11-30,0.2421002172908595,0.0
2019-12-31,-0.2737814821813604,0.0
2020-01-31,0.3913429126177128,0.0
2020-02-29,0.0979551226525166,0.45
2020-03-31,-0.2036983540299068,0.45
2020-04-30,0.1607621729164985,0.74
2020-05-31,-0.2423025234806298,0.72
2020-06-30,0.1698632215872999,1.2
2020-07-31,0.0390291467377046,2.28
2020-08-31,0.0368205220151949,2.91
2020-09-30,-0.1925535054674714,3.75
2020-10-31,0.1184266584838236,3.75
2020-11-30,-0.2022007016179055,3.79
2020-12-31,0.0370057920279101,3.29
2021-01-31,0.4397760674691615,2.55
2021-02-28,0.1961527154950484,2.17
2021-03-31,0.0073809249221543,1.96
2021-04-30,-0.0199345475735429,1.89
2021-05-31,-0.077421311238548,1.76
2021-06-30,0.2012012012012012,2.12
2021-07-31,0.0206458275410095,2.37
2021-08-31,-0.3447050656260377,2.59
2021-09-30,0.167565012956018,2.23
2021-10-31,0.0785210580867921,2.41
2021-11-30,-0.1309048860514653,2.2
2021-12-31,0.3616725301804655,1.66
2022-01-31,-0.2663145364473002,2.57
2022-02-28,-0.1954947162464949,3.78
2022-03-31,0.4634802840319598,5.49
2022-04-30,-0.1580836744222019,5.57
2022-05-31,0.2712541549979894,5.14
2022-06-30,0.2994185365283683,4.51
2022-07-31,-0.3433479849685658,3.07
2022-08-31,-0.0476814561768728,2.6
2022-09-30,-0.0665160263037165,2.2
2022-10-31,0.0554680454488301,2.61
2022-11-30,0.1764702960319371,3.75
2022-12-31,-0.0720847101458854,4.68
2023-01-31,-0.0307840285211669,5.08
2023-02-28,0.3336885444938353,4.2
2023-03-31,-0.4913242962656362,3.45
2023-04-30,1.1921155432961497,3.44
2023-05-31,0.0101190811187239,2.71
2023-06-30,-0.3226398637468375,3.34
2023-07-31,0.4475954816781093,3.48
2023-08-31,0.0486491884863036,4.03
2023-09-30,-0.3293839932722777,3.65
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
