period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,2.26
2019-02-28,0.1799606734730661,3.98
2019-03-31,-0.1439723724429595,5.39
2019-04-30,0.0785624812983469,4.69
2019-05-31,-0.2710260325389068,4.93
2019-06-30,-0.1083180809832096,7.65
2019-07-31,0.3366097637324645,6.78
2019-08-31,0.3469687873496483,8.36
2019-09-30,-0.384320065078591,7.97
2019-10-31,0.1935238351052692,10.3
2019-11-30,-0.0304229222686613,10.33
2019-12-31,0.0951080960159511,8.92
2020-01-31,-0.1431608943095665,8.02
2020-02-29,0.1757491138038747,7.22
2020-03-31,0.0444781972118868,6.41
2020-04-30,0.8614536228393506,8.55
2020-05-31,-0.4663657189300594,8.46
2020-06-30,0.035560456028906,11.71
2020-07-31,-0.0168848792738376,11.97
2020-08-31,0.0560190004865845,14.49
2020-09-30,0.2021584725859102,15.26
2020-10-31,-0.1736479670465041,15.97
2020-11-30,-0.0848950390059093,15.71
2020-12-31,0.1052492898757593,14.33
2021-01-31,0.1348975543978738,15.66
2021-02-28,-0.2418937538916151,14.4
2021-03-31,0.1928835537561242,14.12
2021-04-30,-0.0334421912296266,11.14
2021-05-31,0.8374404458312179,10.35
2021-06-30,-0.5254283862596829,9.84
2021-07-31,0.133086319026304,9.77
2021-08-31,-0.0638224194308455,10.91
2021-09-30,0.0227471667458041,11.29
2021-10-31,0.0832463106164991,11.87
2021-11-30,-0.0163494333730864,11.49
2021-12-31,0.0032893929181219,12.28
2022-01-31,-0.0176745807655555,12.53
2022-02-28,0.3476667340975883,13.89
2022-03-31,-0.2846214763841765,14.57
2022-04-30,0.0574479217734711,15.57
2022-05-31,0.2378856856321234,14.04
2022-06-30,-0.1522204356360733,11.8
2022-07-31,-0.008741916886779,8.49
2022-08-31,-0.0335034247422526,6.7
2022-09-30,0.0589342487411708,6.74
2022-10-31,-0.0962976242310376,7.53
2022-11-30,0.1537928979363549,8.88
2022-12-31,-0.0628388023583335,7.74
2023-01-31,0.0914787572008404,9.12
2023-02-28,0.3168695471813381,8.08
2023-03-31,0.3344666185742537,9.89
2023-04-30,-0.1525423282599751,9.13
2023-05-31,-0.2805277248440045,10.33
2023-06-30,0.0185618846751465,9.54
2023-07-31,-0.0458877121245128,10.07
2023-08-31,-0.1012696245228967,10.44
2023-09-30,0.1753857411014736,9.45
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
